turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5d497f8d3c428d0017121681,5.04,170.44,"doesn't Mhm Mhm Yeah. Yeah. Mhm Oh yeah. Mhm Okay. Mhm, Mhm, mhm Okay. Yeah. Mhm Yeah. Okay. Uh huh. Okay. What you find? Yeah. Yeah. Okay. Yeah. Mhm. Okay. Yeah. Yeah. Okay. Okay. Yeah. Yeah. Mhm Yeah. Look, Yeah, Yeah. Mhm. Mhm Yeah, Yeah. Yeah. Mm. Yeah, Yeah, Yeah, yeah. Oh yeah. Okay. Fuck it. Yeah. Okay. Yeah. Mhm Yeah.",,165.4,1,False,False,62
1,5e531b2205acdb33c0f5f24c,171.34,172.45,Hello?,0.9000000000000057,1.1099999999999852,1,True,False,1
2,5d497f8d3c428d0017121681,172.74,173.76,"Hi, how you doing?",0.29000000000002046,1.0199999999999818,1,True,False,4
3,5e531b2205acdb33c0f5f24c,174.54,175.66,"Oh, walk.",0.7800000000000011,1.1200000000000045,0,False,False,2
4,5d497f8d3c428d0017121681,175.64,177.76,"Hi, can you hear me? Okay,",-0.020000000000010232,2.1200000000000045,1,False,True,6
5,5e531b2205acdb33c0f5f24c,177.44,179.45,I can you hear me?,-0.3199999999999932,2.009999999999991,1,True,True,5
6,5d497f8d3c428d0017121681,179.54,180.76,yep. Perfect.,0.09000000000000341,1.2199999999999989,0,False,False,2
7,5e531b2205acdb33c0f5f24c,181.44,182.85,How you doing?,0.6800000000000068,1.4099999999999966,1,True,False,3
8,5d497f8d3c428d0017121681,182.44,183.46,Good. How about yourself?,-0.4099999999999966,1.0200000000000102,1,True,True,4
9,5e531b2205acdb33c0f5f24c,183.94,184.66,Okay.,0.47999999999998977,0.7199999999999989,0,False,False,1
10,5d497f8d3c428d0017121681,185.24,185.96,Yes.,0.5800000000000125,0.7199999999999989,0,False,False,1
11,5e531b2205acdb33c0f5f24c,185.54,186.35,What's your name?,-0.4200000000000159,0.8100000000000023,1,True,True,4
12,5d497f8d3c428d0017121681,186.74,187.96,J j what about you?,0.3900000000000148,1.2199999999999989,1,True,False,5
13,5e531b2205acdb33c0f5f24c,188.54,189.26,"And if,",0.5799999999999841,0.7199999999999989,0,False,False,2
