turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5d30a875ad3457001743fbc9,8.84,212.46,Yeah. Yeah. Yeah. Yeah. Oh well. Oh. Oh yes. Oh. Mhm. Oh okay. Oh okay. Oh yeah. Mhm. Mhm. Hey? Oh,,203.62,1,False,False,21
1,5f8f590a06d17e1aafb3e50d,211.94,216.16,"Okay,",-0.5200000000000102,4.219999999999999,0,False,True,1
2,5d30a875ad3457001743fbc9,215.84,217.16,very good evening.,-0.3199999999999932,1.3199999999999932,0,False,True,3
3,5f8f590a06d17e1aafb3e50d,216.94,218.26,how's it going?,-0.21999999999999886,1.3199999999999932,1,True,True,4
4,5d30a875ad3457001743fbc9,218.34,219.26,Good. Are you sir?,0.0800000000000125,0.9199999999999875,1,True,False,4
5,5f8f590a06d17e1aafb3e50d,219.54,221.16,"I'm all right, I'm cooking some dinner",0.28000000000000114,1.6200000000000045,0,False,False,9
6,5d30a875ad3457001743fbc9,221.44,224.95,It's all right trying to get some work done.,0.28000000000000114,3.509999999999991,0,False,False,10
7,5f8f590a06d17e1aafb3e50d,224.04,227.16,"nice or getting paid either way,",-0.9099999999999966,3.1200000000000045,0,False,True,6
8,5d30a875ad3457001743fbc9,227.04,227.75,Yeah.,-0.12000000000000455,0.710000000000008,0,False,True,1
9,5f8f590a06d17e1aafb3e50d,227.94,228.28,I gotta,0.18999999999999773,0.3400000000000034,0,False,False,3
10,5d30a875ad3457001743fbc9,228.14,228.46,Right,-0.14000000000001478,0.3200000000000216,0,False,True,1
11,5f8f590a06d17e1aafb3e50d,228.28,229.46,make Yeah.,-0.18000000000000682,1.1800000000000068,0,False,True,2
12,5d30a875ad3457001743fbc9,229.14,230.34,but where are you out,-0.3200000000000216,1.200000000000017,0,False,True,5
13,5f8f590a06d17e1aafb3e50d,230.14,230.35,"All right,",-0.20000000000001705,0.21000000000000796,0,False,True,2
14,5d30a875ad3457001743fbc9,230.34,230.66,of,-0.009999999999990905,0.3199999999999932,0,False,True,1
15,5f8f590a06d17e1aafb3e50d,231.24,233.87,"I'm from Miami, but right now I'm in new york, so I have",0.5800000000000125,2.6299999999999955,0,False,False,15
16,5d30a875ad3457001743fbc9,233.74,234.06,uh,-0.12999999999999545,0.3199999999999932,0,False,True,1
17,5f8f590a06d17e1aafb3e50d,233.87,234.15,a,-0.18999999999999773,0.28000000000000114,0,False,True,1
18,5d30a875ad3457001743fbc9,234.54,236.85,I was going to say you don't look like you're dressed for Miami.,0.38999999999998636,2.3100000000000023,0,False,False,15
19,5f8f590a06d17e1aafb3e50d,236.84,240.16,"well I'm in a house that doesn't have teeth, so it's like",-0.009999999999990905,3.319999999999993,0,False,True,15
20,5d30a875ad3457001743fbc9,240.04,243.65,I just I just saw breath come from your,-0.12000000000000455,3.6100000000000136,0,False,True,9
21,5f8f590a06d17e1aafb3e50d,243.64,243.96,"yeah,",-0.010000000000019327,0.3200000000000216,0,False,True,1
22,5d30a875ad3457001743fbc9,243.65,244.47,mouth as,-0.3100000000000023,0.8199999999999932,0,False,True,2
23,5f8f590a06d17e1aafb3e50d,244.44,244.94,"Yeah,",-0.030000000000001137,0.5,0,False,True,1
24,5d30a875ad3457001743fbc9,244.47,246.76,you said it. Yeah. Yeah I see it,-0.46999999999999886,2.289999999999992,0,False,True,8
25,5f8f590a06d17e1aafb3e50d,247.34,249.0,I,0.5800000000000125,1.6599999999999966,0,False,False,1
26,5d30a875ad3457001743fbc9,247.54,248.16,wow.,-1.460000000000008,0.6200000000000045,0,False,True,1
27,5f8f590a06d17e1aafb3e50d,249.01,252.26,"mean I have like a room with a fire, but I'm cooking right now.",0.8499999999999943,3.25,0,False,False,15
28,5d30a875ad3457001743fbc9,251.94,252.75,Okay.,-0.3199999999999932,0.8100000000000023,0,False,True,1
29,5f8f590a06d17e1aafb3e50d,252.94,254.35,Okay.,0.18999999999999773,1.4099999999999966,0,False,False,1
30,5d30a875ad3457001743fbc9,253.54,256.75,Well I'm not too terribly far away. I'm in Delaware.,-0.8100000000000023,3.210000000000008,0,False,True,12
31,5f8f590a06d17e1aafb3e50d,257.04,257.76,"Oh, nice.",0.29000000000002046,0.7199999999999704,0,False,False,2
32,5d30a875ad3457001743fbc9,257.84,259.29,Yeah. Are,0.07999999999998408,1.4500000000000455,0,False,False,2
33,5f8f590a06d17e1aafb3e50d,259.14,259.56,Uh,-0.1500000000000341,0.4200000000000159,0,False,True,1
34,5d30a875ad3457001743fbc9,259.29,260.1,you you're,-0.2699999999999818,0.8100000000000023,0,False,True,3
35,5f8f590a06d17e1aafb3e50d,260.04,260.25,wow.,-0.060000000000002274,0.20999999999997954,0,False,True,1
36,5d30a875ad3457001743fbc9,260.11,260.88,upstate new york,-0.13999999999998636,0.7699999999999818,0,False,True,3
37,5f8f590a06d17e1aafb3e50d,260.64,260.84,"Yeah,",-0.2400000000000091,0.19999999999998863,0,False,True,1
38,5d30a875ad3457001743fbc9,260.88,261.36,now?,0.040000000000020464,0.4800000000000182,1,True,False,1
39,5f8f590a06d17e1aafb3e50d,261.84,264.86,I'm on an island off of Long Island Fire,0.47999999999996135,3.0200000000000387,0,False,False,10
40,5d30a875ad3457001743fbc9,264.54,266.46,Okay. Okay.,-0.3199999999999932,1.919999999999959,0,False,True,2
41,5f8f590a06d17e1aafb3e50d,266.04,274.85,"normally would like this is normally like only a summer place, so the houses aren't like outfitted for the winter, but here I am.",-0.4199999999999591,8.810000000000002,0,False,True,25
42,5d30a875ad3457001743fbc9,275.14,275.76,Got it,0.2899999999999636,0.6200000000000045,0,False,False,2
43,5f8f590a06d17e1aafb3e50d,276.14,276.65,Mhm.,0.37999999999999545,0.5099999999999909,0,False,False,1
44,5d30a875ad3457001743fbc9,276.54,277.86,understood.,-0.1099999999999568,1.3199999999999932,0,False,True,1
45,5f8f590a06d17e1aafb3e50d,277.44,282.45,Is that enough water in there? Okay. Making,-0.4200000000000159,5.009999999999991,1,False,True,8
46,5d30a875ad3457001743fbc9,282.34,282.47,So,-0.11000000000001364,0.1300000000000523,0,False,True,1
47,5f8f590a06d17e1aafb3e50d,282.45,282.66,some,-0.020000000000038654,0.21000000000003638,0,False,True,1
48,5d30a875ad3457001743fbc9,282.47,283.26,we make him for dinner,-0.18999999999999773,0.7899999999999636,0,False,True,5
49,5f8f590a06d17e1aafb3e50d,283.64,285.37,some mac and cheese,0.37999999999999545,1.7300000000000182,0,False,False,4
50,5d30a875ad3457001743fbc9,284.84,285.9,wow.,-0.5300000000000296,1.0600000000000023,0,False,True,1
51,5f8f590a06d17e1aafb3e50d,285.44,288.46,"and not much like stuff here, But anyway.",-0.45999999999997954,3.019999999999982,0,False,True,8
52,5d30a875ad3457001743fbc9,288.04,289.27,Can't,-0.4199999999999591,1.2299999999999613,0,False,True,2
53,5f8f590a06d17e1aafb3e50d,289.24,289.29,Uh,-0.029999999999972715,0.05000000000001137,0,False,True,1
54,5d30a875ad3457001743fbc9,289.27,289.4,go,-0.020000000000038654,0.12999999999999545,0,False,True,1
55,5f8f590a06d17e1aafb3e50d,289.29,289.44,huh.,-0.1099999999999568,0.14999999999997726,0,False,True,1
56,5d30a875ad3457001743fbc9,289.4,290.46,wrong with that can cheese.,-0.040000000000020464,1.0600000000000023,0,False,True,5
57,5f8f590a06d17e1aafb3e50d,290.74,292.46,You can never go got the Annie's,0.28000000000002956,1.7199999999999704,0,False,False,8
58,5d30a875ad3457001743fbc9,292.34,292.54,Yeah.,-0.12000000000000455,0.20000000000004547,0,False,True,1
59,5f8f590a06d17e1aafb3e50d,292.46,293.26,"mac and cheese,",-0.08000000000004093,0.8000000000000114,0,False,True,3
60,5d30a875ad3457001743fbc9,294.14,295.28,So what what brings,0.8799999999999955,1.1399999999999864,0,False,False,4
61,5f8f590a06d17e1aafb3e50d,295.04,295.46,have you?,-0.23999999999995225,0.4199999999999591,1,True,True,2
62,5d30a875ad3457001743fbc9,295.28,296.75,you from Miami to new york?,-0.18000000000000682,1.4700000000000273,1,True,True,6
63,5f8f590a06d17e1aafb3e50d,296.34,298.56,My dad lives here.,-0.410000000000025,2.2200000000000273,0,False,True,4
64,5d30a875ad3457001743fbc9,298.64,300.76,Okay you're just up visiting.,0.07999999999998408,2.1200000000000045,0,False,False,6
65,5f8f590a06d17e1aafb3e50d,300.64,303.75,"Right, Yeah, I'm with I'm here with my girlfriend",-0.12000000000000455,3.1100000000000136,0,False,True,11
66,5d30a875ad3457001743fbc9,303.84,304.86,Mhm.,0.08999999999997499,1.0200000000000387,0,False,False,1
67,5f8f590a06d17e1aafb3e50d,304.24,308.25,"a little more, but uh",-0.6200000000000045,4.009999999999991,0,False,True,5
68,5d30a875ad3457001743fbc9,307.94,308.56,Who?,-0.3100000000000023,0.6200000000000045,1,True,True,1
69,5f8f590a06d17e1aafb3e50d,308.74,312.68,"cream cheese with a spoon. Good turn that on, a little bit",0.18000000000000682,3.9399999999999977,0,False,False,12
70,5d30a875ad3457001743fbc9,312.54,312.86,Yeah.,-0.13999999999998636,0.3199999999999932,0,False,True,1
71,5f8f590a06d17e1aafb3e50d,312.68,317.56,like on the list. Yeah. So where,-0.18000000000000682,4.8799999999999955,0,False,True,7
72,5d30a875ad3457001743fbc9,317.44,317.76,Oh,-0.12000000000000455,0.3199999999999932,0,False,True,1
73,5f8f590a06d17e1aafb3e50d,317.56,319.45,are you working? Oh.,-0.19999999999998863,1.8899999999999864,1,False,True,4
74,5d30a875ad3457001743fbc9,320.04,323.85,uh so I I own an inspection,0.5900000000000318,3.8100000000000023,0,False,False,7
75,5f8f590a06d17e1aafb3e50d,323.44,323.65,Oh,-0.410000000000025,0.20999999999997954,0,False,True,1
76,5d30a875ad3457001743fbc9,323.86,329.9,agency uh down the Delaware we do building plumbing electrical,0.21000000000003638,6.039999999999964,0,False,False,10
77,5f8f590a06d17e1aafb3e50d,329.54,329.74,yeah.,-0.3599999999999568,0.19999999999998863,0,False,True,1
78,5d30a875ad3457001743fbc9,329.9,330.46,inspections,0.15999999999996817,0.5600000000000023,0,False,False,1
79,5f8f590a06d17e1aafb3e50d,330.44,330.65,Mhm.,-0.01999999999998181,0.20999999999997954,0,False,True,1
80,5d30a875ad3457001743fbc9,330.46,331.26,throughout the state.,-0.18999999999999773,0.8000000000000114,0,False,True,3
81,5f8f590a06d17e1aafb3e50d,331.04,333.36,"Uh huh. Oh, that's cool.",-0.21999999999997044,2.319999999999993,0,False,True,6
82,5d30a875ad3457001743fbc9,333.14,333.55,Yeah,-0.22000000000002728,0.410000000000025,0,False,True,1
83,5f8f590a06d17e1aafb3e50d,333.94,336.46,Electricity is the well,0.38999999999998636,2.519999999999982,0,False,False,4
84,5d30a875ad3457001743fbc9,336.44,336.76,"don't,",-0.01999999999998181,0.3199999999999932,0,False,True,2
85,5f8f590a06d17e1aafb3e50d,336.46,338.36,paid in like one of the hardest things,-0.30000000000001137,1.900000000000034,0,False,True,8
86,5d30a875ad3457001743fbc9,338.44,344.52,yeah it's all and I'm not I'm not that guy so I I concentrate more,0.07999999999998408,6.079999999999984,0,False,False,18
87,5f8f590a06d17e1aafb3e50d,344.34,344.77,projects,-0.18000000000000682,0.4300000000000068,0,False,True,1
88,5d30a875ad3457001743fbc9,344.52,345.05,on the business,-0.25,0.5300000000000296,0,False,True,3
89,5f8f590a06d17e1aafb3e50d,344.88,345.26,that,-0.17000000000001592,0.37999999999999545,0,False,True,1
90,5d30a875ad3457001743fbc9,345.05,347.37,acquired. I've got inspectors that know all the trades,-0.20999999999997954,2.319999999999993,0,False,True,10
91,5f8f590a06d17e1aafb3e50d,347.11,347.55,corrupt.,-0.2599999999999909,0.4399999999999977,0,False,True,1
92,5d30a875ad3457001743fbc9,347.37,352.24,"and stuff but it's very very confusing, very interesting. But construction right now",-0.18000000000000682,4.8700000000000045,0,False,True,14
93,5f8f590a06d17e1aafb3e50d,352.14,352.24,All,-0.10000000000002274,0.10000000000002274,0,False,True,1
94,5d30a875ad3457001743fbc9,352.24,352.36,has,0.0,0.12000000000000455,0,False,False,1
95,5f8f590a06d17e1aafb3e50d,352.24,352.35,right.,-0.12000000000000455,0.11000000000001364,0,False,True,1
96,5d30a875ad3457001743fbc9,352.36,353.75,happened so keeping us busy.,0.009999999999990905,1.3899999999999864,0,False,False,5
97,5f8f590a06d17e1aafb3e50d,354.84,355.14,"Yeah,",1.089999999999975,0.30000000000001137,0,False,False,1
98,5d30a875ad3457001743fbc9,355.14,355.56,Hello.,0.0,0.4200000000000159,0,False,False,1
99,5f8f590a06d17e1aafb3e50d,355.14,355.86,that's good.,-0.4200000000000159,0.7200000000000273,0,False,True,3
100,5d30a875ad3457001743fbc9,356.74,356.95,What,0.8799999999999955,0.20999999999997954,0,False,False,1
101,5f8f590a06d17e1aafb3e50d,356.84,357.08,Yeah.,-0.11000000000001364,0.2400000000000091,0,False,True,1
102,5d30a875ad3457001743fbc9,356.95,358.56,do you do for to keep you busy?,-0.12999999999999545,1.6100000000000136,1,True,True,8
103,5f8f590a06d17e1aafb3e50d,358.14,359.6,Uh huh. Um,-0.4200000000000159,1.4600000000000364,0,False,True,3
104,5d30a875ad3457001743fbc9,359.44,359.76,Oh,-0.160000000000025,0.3199999999999932,0,False,True,1
105,5f8f590a06d17e1aafb3e50d,359.6,361.66,I work at wal actually.,-0.15999999999996817,2.0600000000000023,0,False,True,5
106,5d30a875ad3457001743fbc9,361.64,362.45,do you? Okay,-0.020000000000038654,0.8100000000000023,1,False,True,3
107,5f8f590a06d17e1aafb3e50d,362.84,363.16,Mhm.,0.38999999999998636,0.32000000000005,0,False,False,1
108,5d30a875ad3457001743fbc9,362.94,364.96,Wait up up in new york.,-0.22000000000002728,2.019999999999982,0,False,True,6
109,5f8f590a06d17e1aafb3e50d,365.54,367.96,They just started opening them in Miami actually.,0.5800000000000409,2.419999999999959,0,False,False,8
110,5d30a875ad3457001743fbc9,367.84,369.11,No kidding,-0.12000000000000455,1.2700000000000387,0,False,True,2
111,5f8f590a06d17e1aafb3e50d,369.14,369.55,Yeah.,0.029999999999972715,0.410000000000025,0,False,False,1
112,5d30a875ad3457001743fbc9,369.19,370.45,I did not know that.,-0.36000000000001364,1.259999999999991,0,False,True,5
113,5f8f590a06d17e1aafb3e50d,370.84,373.78,"Yeah, it's all right for now. I mean,",0.38999999999998636,2.9399999999999977,0,False,False,9
114,5d30a875ad3457001743fbc9,373.64,374.26,Yeah.,-0.13999999999998636,0.6200000000000045,0,False,True,1
115,5f8f590a06d17e1aafb3e50d,373.79,377.65,"I've been going to school but I stopped because I don't like the online school stuff,",-0.46999999999997044,3.859999999999957,0,False,True,18
116,5d30a875ad3457001743fbc9,377.84,378.64,Okay. Yeah.,0.18999999999999773,0.8000000000000114,0,False,False,2
117,5f8f590a06d17e1aafb3e50d,379.14,380.36,but yeah.,0.5,1.2200000000000273,0,False,False,2
118,5d30a875ad3457001743fbc9,382.34,384.85,Yeah I was based little,1.9799999999999613,2.5100000000000477,0,False,False,5
119,5f8f590a06d17e1aafb3e50d,384.84,385.05,And,-0.010000000000047748,0.21000000000003638,0,False,True,1
120,5d30a875ad3457001743fbc9,384.85,385.96,more than an hour from us.,-0.19999999999998863,1.1099999999999568,0,False,True,6
121,5f8f590a06d17e1aafb3e50d,387.14,387.65,what?,1.1800000000000068,0.5099999999999909,1,True,False,1
122,5d30a875ad3457001743fbc9,387.94,390.66,Watch what you said you work in a watch. All right.,0.29000000000002046,2.7200000000000273,0,False,False,11
123,5f8f590a06d17e1aafb3e50d,389.84,391.25,"Yeah, like the gas station.",-0.82000000000005,1.410000000000025,0,False,True,5
124,5d30a875ad3457001743fbc9,391.34,394.02,Yeah wow. Is based their corporate headquarters,0.08999999999997499,2.680000000000007,0,False,False,7
125,5f8f590a06d17e1aafb3e50d,393.64,394.74,"Yeah,",-0.37999999999999545,1.1000000000000227,0,False,True,1
126,5d30a875ad3457001743fbc9,394.02,395.26,and probably an hour away.,-0.7200000000000273,1.240000000000009,0,False,True,5
127,5f8f590a06d17e1aafb3e50d,395.14,397.66,philadelphia. Pennsylvania.,-0.12000000000000455,2.5200000000000387,0,False,True,2
128,5d30a875ad3457001743fbc9,396.44,398.69,Yeah wa wa pennsylvania,-1.2200000000000273,2.25,0,False,True,4
129,5f8f590a06d17e1aafb3e50d,398.04,398.24,Yeah.,-0.6499999999999773,0.19999999999998863,0,False,True,1
130,5d30a875ad3457001743fbc9,398.7,400.33,actually right,0.45999999999997954,1.6299999999999955,0,False,False,2
131,5f8f590a06d17e1aafb3e50d,399.54,400.85,Mm hmm. Yeah.,-0.7899999999999636,1.3100000000000023,0,False,True,3
132,5d30a875ad3457001743fbc9,400.33,401.26,outside of philadelphia.,-0.5200000000000387,0.9300000000000068,0,False,True,3
133,5f8f590a06d17e1aafb3e50d,401.44,402.36,Yeah.,0.18000000000000682,0.9200000000000159,0,False,False,1
134,5d30a875ad3457001743fbc9,402.24,402.74,Yeah.,-0.12000000000000455,0.5,0,False,True,1
135,5f8f590a06d17e1aafb3e50d,403.14,404.03,"No, they're",0.39999999999997726,0.8899999999999864,0,False,False,3
136,5d30a875ad3457001743fbc9,403.84,404.26,Well,-0.18999999999999773,0.4200000000000159,0,False,True,1
137,5f8f590a06d17e1aafb3e50d,404.03,407.54,going like really fast actually. Like The,-0.2300000000000182,3.5100000000000477,0,False,True,7
138,5d30a875ad3457001743fbc9,407.34,407.84,yeah,-0.20000000000004547,0.5,0,False,True,1
139,5f8f590a06d17e1aafb3e50d,407.54,417.26,"stock is private, but like my manager was like, like he gets like stock options and stuff and like in the past three years he's tripled like it's gone from like 56 to like 17,000.",-0.2999999999999545,9.71999999999997,0,False,True,37
140,5d30a875ad3457001743fbc9,417.44,419.64,wow. Yeah,0.18000000000000682,2.1999999999999886,0,False,False,2
141,5f8f590a06d17e1aafb3e50d,419.14,422.26,"Yeah, they're expanding real quick.",-0.5,3.1200000000000045,0,False,True,6
142,5d30a875ad3457001743fbc9,421.94,423.73,I didn't I didn't know they had expanded,-0.3199999999999932,1.7900000000000205,0,False,True,10
143,5f8f590a06d17e1aafb3e50d,423.34,423.55,Thanks.,-0.3900000000000432,0.21000000000003638,0,False,True,1
144,5d30a875ad3457001743fbc9,423.73,426.35,down there. That's interesting. Good for them,0.18000000000000682,2.6200000000000045,0,False,False,8
145,5f8f590a06d17e1aafb3e50d,426.94,429.16,"Yeah, it's not bad for now.",0.589999999999975,2.2200000000000273,0,False,False,7
146,5d30a875ad3457001743fbc9,428.84,433.44,because I don't I don't think they're everywhere in between. I think they must have jumped over,-0.32000000000005,4.600000000000023,0,False,True,20
147,5f8f590a06d17e1aafb3e50d,433.24,433.44,"Yeah,",-0.19999999999998863,0.19999999999998863,0,False,True,1
148,5d30a875ad3457001743fbc9,433.44,434.5,several states,0.0,1.0600000000000023,0,False,False,2
149,5f8f590a06d17e1aafb3e50d,434.44,437.06,they're,-0.060000000000002274,2.6200000000000045,0,False,True,2
150,5d30a875ad3457001743fbc9,434.61,435.65,to go to florida.,-2.4499999999999886,1.0399999999999636,0,False,True,4
151,5f8f590a06d17e1aafb3e50d,437.06,442.86,"in like, yeah, they jumped straight to florida from like New Jersey or maybe a little lower.",1.410000000000025,5.800000000000011,0,False,False,17
152,5d30a875ad3457001743fbc9,442.74,444.01,Well I know there,-0.12000000000000455,1.2699999999999818,0,False,True,4
153,5f8f590a06d17e1aafb3e50d,443.74,444.24,Yeah.,-0.2699999999999818,0.5,0,False,True,1
154,5d30a875ad3457001743fbc9,444.02,445.86,never go as far south as Virginia.,-0.22000000000002728,1.8400000000000318,0,False,True,7
155,5f8f590a06d17e1aafb3e50d,445.54,448.59,"How? Oh, there in Virginia. I didn't know that. Yeah.",-0.3199999999999932,3.0499999999999545,1,False,True,11
156,5d30a875ad3457001743fbc9,447.74,448.24,Yeah.,-0.8499999999999659,0.5,0,False,True,1
157,5f8f590a06d17e1aafb3e50d,448.6,453.48,"People coming all the time. They like, are from New Jersey and like, I'm from pennsylvania and stuff, but like, I've",0.36000000000001364,4.8799999999999955,0,False,False,23
158,5d30a875ad3457001743fbc9,453.44,453.81,Well,-0.040000000000020464,0.37000000000000455,0,False,True,1
159,5f8f590a06d17e1aafb3e50d,453.48,453.75,never,-0.3299999999999841,0.2699999999999818,0,False,True,1
160,5d30a875ad3457001743fbc9,453.81,456.32,and you know that kind of makes sense with him being,0.060000000000002274,2.509999999999991,0,False,False,11
161,5f8f590a06d17e1aafb3e50d,456.04,456.45,yeah.,-0.2799999999999727,0.40999999999996817,0,False,True,1
162,5d30a875ad3457001743fbc9,456.32,457.52,such a household name up,-0.12999999999999545,1.1999999999999886,0,False,True,5
163,5f8f590a06d17e1aafb3e50d,457.34,457.52,"Oh,",-0.18000000000000682,0.18000000000000682,0,False,True,1
164,5d30a875ad3457001743fbc9,457.52,457.82,here,0.0,0.30000000000001137,0,False,False,1
165,5f8f590a06d17e1aafb3e50d,457.61,457.89,come,-0.20999999999997954,0.2799999999999727,0,False,True,1
166,5d30a875ad3457001743fbc9,457.82,457.98,with,-0.06999999999999318,0.160000000000025,0,False,True,1
167,5f8f590a06d17e1aafb3e50d,457.89,457.96,on.,-0.09000000000003183,0.06999999999999318,0,False,True,1
168,5d30a875ad3457001743fbc9,457.98,461.26,all the all the snowbirds. Everybody flocks to florida.,0.020000000000038654,3.2799999999999727,0,False,False,9
169,5f8f590a06d17e1aafb3e50d,461.34,463.0,Yeah. No. And,0.07999999999998408,1.660000000000025,0,False,False,3
170,5d30a875ad3457001743fbc9,462.64,462.85,Well,-0.36000000000001364,0.21000000000003638,0,False,True,1
171,5f8f590a06d17e1aafb3e50d,463.0,469.42,"we don't have anything like that really. Like a gas station where you can get good food. It's like 7 11, like",0.14999999999997726,6.420000000000016,0,False,False,24
172,5d30a875ad3457001743fbc9,468.74,469.76,all right.,-0.6800000000000068,1.0199999999999818,0,False,True,2
173,5f8f590a06d17e1aafb3e50d,469.43,471.15,the biggest competitive,-0.3299999999999841,1.7199999999999704,0,False,True,3
174,5d30a875ad3457001743fbc9,471.24,474.18,Do you have them up a long island? They're not up,0.09000000000003183,2.9399999999999977,1,False,False,12
175,5f8f590a06d17e1aafb3e50d,474.04,474.68,nothing,-0.13999999999998636,0.6399999999999864,0,False,True,1
176,5d30a875ad3457001743fbc9,474.18,474.86,"there, are they?",-0.5,0.6800000000000068,1,True,True,3
177,5f8f590a06d17e1aafb3e50d,474.68,477.55,in Long Island. I don't think there are any in New york.,-0.18000000000000682,2.8700000000000045,0,False,True,13
178,5d30a875ad3457001743fbc9,477.24,478.76,"Yeah, I didn't think so either.",-0.3100000000000023,1.5199999999999818,0,False,True,7
179,5f8f590a06d17e1aafb3e50d,478.84,481.66,"Maybe like when you get closer to Jersey there some, but",0.07999999999998408,2.82000000000005,0,False,False,11
180,5d30a875ad3457001743fbc9,481.44,484.08,"Okay. Yeah, definitely. Jersey",-0.22000000000002728,2.6399999999999864,0,False,True,4
181,5f8f590a06d17e1aafb3e50d,483.74,483.99,yeah.,-0.339999999999975,0.25,0,False,True,1
182,5d30a875ad3457001743fbc9,484.08,487.16,P. A Maryland Delaware. So,0.08999999999997499,3.080000000000041,0,False,False,5
183,5f8f590a06d17e1aafb3e50d,487.74,488.24,Yeah.,0.5799999999999841,0.5,0,False,False,1
