turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f4cf071633ed2922c6e06dd,0.54,8.84,wow. Yeah. Yeah.,,8.3,0,False,False,3
1,5e2be6efe179572183644844,9.84,12.07,I really hope firstly,1.0,2.2300000000000004,0,False,False,4
2,5f4cf071633ed2922c6e06dd,12.04,12.36,Mhm.,-0.030000000000001137,0.3200000000000003,0,False,True,1
3,5e2be6efe179572183644844,12.84,14.46,there he is going Mhm,0.4800000000000004,1.620000000000001,0,False,False,5
4,5f4cf071633ed2922c6e06dd,14.24,15.56,That's going on about yourself.,-0.22000000000000064,1.3200000000000003,0,False,True,6
5,5e2be6efe179572183644844,15.94,16.86,Good good.,0.379999999999999,0.9199999999999999,0,False,False,2
6,5f4cf071633ed2922c6e06dd,17.24,17.65,Yeah,0.379999999999999,0.41000000000000014,0,False,False,1
7,5e2be6efe179572183644844,17.24,18.76,My name is chuck,-0.41000000000000014,1.5200000000000031,0,False,True,4
8,5f4cf071633ed2922c6e06dd,18.84,20.16,chuck. I'm mad,0.0799999999999983,1.3200000000000003,0,False,False,4
9,5e2be6efe179572183644844,20.54,21.46,man. Where you,0.379999999999999,0.9200000000000017,0,False,False,3
10,5f4cf071633ed2922c6e06dd,21.44,21.65,okay,-0.019999999999999574,0.2099999999999973,0,False,True,1
11,5e2be6efe179572183644844,21.46,22.46,at matt?,-0.18999999999999773,1.0,1,True,True,2
12,5f4cf071633ed2922c6e06dd,22.84,23.85,out,0.379999999999999,1.0100000000000016,0,False,False,1
13,5e2be6efe179572183644844,23.04,24.16,Yeah Mhm.,-0.8100000000000023,1.120000000000001,0,False,True,2
14,5f4cf071633ed2922c6e06dd,23.85,25.45,"in cold michigan,",-0.3099999999999987,1.5999999999999979,0,False,True,3
15,5e2be6efe179572183644844,25.84,31.85,"Michigan Oh wow, I'm on the other side of the glove there, I'm on I'm over in Oregon Mhm.",0.39000000000000057,6.010000000000002,0,False,False,22
16,5f4cf071633ed2922c6e06dd,31.54,32.56,okay,-0.3100000000000023,1.0200000000000031,0,False,True,1
17,5e2be6efe179572183644844,32.74,33.56,You can't protect,0.17999999999999972,0.8200000000000003,0,False,False,4
18,5f4cf071633ed2922c6e06dd,33.34,33.8,out west,-0.21999999999999886,0.45999999999999375,0,False,True,2
19,5e2be6efe179572183644844,33.56,33.76,you.,-0.23999999999999488,0.19999999999999574,0,False,True,1
20,5f4cf071633ed2922c6e06dd,33.8,35.35,a little. Mhm.,0.03999999999999915,1.5500000000000043,0,False,False,3
21,5e2be6efe179572183644844,35.34,37.16,"Yeah, I'm running the California border",-0.00999999999999801,1.8199999999999932,0,False,True,7
22,5f4cf071633ed2922c6e06dd,38.34,38.74,Well,1.1800000000000068,0.3999999999999986,0,False,False,1
23,5e2be6efe179572183644844,38.54,38.74,Yeah.,-0.20000000000000284,0.20000000000000284,0,False,True,1
24,5f4cf071633ed2922c6e06dd,38.75,39.63,yeah,0.00999999999999801,0.8800000000000026,0,False,False,1
25,5e2be6efe179572183644844,39.34,39.55,Mhm,-0.28999999999999915,0.20999999999999375,0,False,True,1
26,5f4cf071633ed2922c6e06dd,39.64,41.06,pretty much less.,0.09000000000000341,1.4200000000000017,0,False,False,3
27,5e2be6efe179572183644844,40.94,45.35,"Yeah, So you don't do any of these or",-0.12000000000000455,4.410000000000004,0,False,True,10
28,5f4cf071633ed2922c6e06dd,44.94,46.32,Uh yeah I've done one.,-0.4100000000000037,1.3800000000000026,0,False,True,6
29,5e2be6efe179572183644844,46.44,48.26,what?,0.11999999999999744,1.8200000000000003,1,True,False,1
30,5f4cf071633ed2922c6e06dd,48.44,48.69,It's an,0.17999999999999972,0.25,0,False,False,3
31,5e2be6efe179572183644844,48.64,48.85,Mhm,-0.04999999999999716,0.21000000000000085,0,False,True,1
32,5f4cf071633ed2922c6e06dd,48.69,49.79,interesting,-0.1600000000000037,1.1000000000000014,0,False,True,1
33,5e2be6efe179572183644844,49.44,59.14,"Yeah,",-0.3500000000000014,9.700000000000003,0,False,True,1
34,5f4cf071633ed2922c6e06dd,49.8,59.24,social experiment. Um General it seems different. Yeah,-9.340000000000003,9.440000000000005,0,False,True,8
35,5e2be6efe179572183644844,59.15,65.07,"it's interesting, I've met some interesting people, I mean I've met a doctor, I've met Environmental",-0.09000000000000341,5.919999999999995,0,False,True,20
36,5f4cf071633ed2922c6e06dd,64.74,65.19,it looks,-0.3299999999999983,0.45000000000000284,0,False,True,2
37,5e2be6efe179572183644844,65.08,65.58,tonight.,-0.10999999999999943,0.5,0,False,True,1
38,5f4cf071633ed2922c6e06dd,65.19,66.37,like your video might have cut,-0.39000000000000057,1.1800000000000068,0,False,True,6
39,5e2be6efe179572183644844,66.24,66.45,Mhm,-0.13000000000000966,0.21000000000000796,0,False,True,1
40,5f4cf071633ed2922c6e06dd,66.37,66.96,"out there,",-0.0799999999999983,0.5899999999999892,0,False,True,2
41,5e2be6efe179572183644844,67.14,82.25,"Oh did it? I hope not. How am I doing now? Can you see me? Hello, let me know if you can hear me,",0.18000000000000682,15.11,3,False,False,24
42,5f4cf071633ed2922c6e06dd,83.04,84.64,I can hear you but,0.7900000000000063,1.5999999999999943,0,False,False,5
43,5e2be6efe179572183644844,84.44,86.69,huh?,-0.20000000000000284,2.25,1,True,True,1
44,5f4cf071633ed2922c6e06dd,84.64,85.56,I don't have video.,-2.049999999999997,0.9200000000000017,0,False,True,5
45,5e2be6efe179572183644844,86.7,93.63,"Wonder what's up with that? Never had a problem with it before. Okay, where's",1.1400000000000006,6.929999999999993,1,False,False,16
46,5f4cf071633ed2922c6e06dd,93.24,94.22,"Yeah, but",-0.39000000000000057,0.980000000000004,0,False,True,2
47,5e2be6efe179572183644844,93.63,96.85,what,-0.5900000000000034,3.219999999999999,0,False,True,1
48,5f4cf071633ed2922c6e06dd,94.23,97.72,at least I can hear you there so so,-2.6199999999999903,3.489999999999995,0,False,True,9
49,5e2be6efe179572183644844,97.24,97.73,I can?,-0.480000000000004,0.4900000000000091,1,True,True,2
50,5f4cf071633ed2922c6e06dd,97.73,98.06,uh,0.0,0.3299999999999983,0,False,False,1
51,5e2be6efe179572183644844,97.74,107.85,"I think I've signed up for eight of these so far or no, nine of them so far I've done for and five of more no shows Mhm",-0.3200000000000074,10.11,0,False,True,30
52,5f4cf071633ed2922c6e06dd,107.74,108.25,wow.,-0.10999999999999943,0.5100000000000051,0,False,True,1
53,5e2be6efe179572183644844,108.44,113.35,"And five of the no shows were like in a row, I was like, oh my God, Mhm,",0.18999999999999773,4.909999999999997,0,False,False,18
54,5f4cf071633ed2922c6e06dd,113.84,114.21,Well,0.4900000000000091,0.36999999999999034,0,False,False,1
55,5e2be6efe179572183644844,113.94,116.25,Mhm,-0.269999999999996,2.3100000000000023,0,False,True,1
56,5f4cf071633ed2922c6e06dd,114.22,116.75,I mean I guess things should happen and you know,-2.030000000000001,2.530000000000001,0,False,True,10
57,5e2be6efe179572183644844,117.14,131.45,"Yeah, they could have very well finished what you know how many times they could do it and they still had one scheduled so they couldn't do the number eight, you know what I mean? Like sometimes you'll schedule for two, I don't know how you did it, did you schedule for two spots or",0.39000000000000057,14.309999999999988,1,False,False,58
58,5f4cf071633ed2922c6e06dd,131.74,132.44,I,0.29000000000002046,0.6999999999999886,0,False,False,1
59,5e2be6efe179572183644844,131.84,135.48,uh,-0.5999999999999943,3.6399999999999864,0,False,True,1
60,5f4cf071633ed2922c6e06dd,132.45,134.76,think it only scheduled one at a time.,-3.030000000000001,2.3100000000000023,0,False,True,8
61,5e2be6efe179572183644844,135.49,151.75,see I thought you could do more than that. Uh I thought you could I thought when I read the thing and said you can do it for but I only did it to because last time I did it for and it didn't work every time I kept wiping out my appointment every time I'd make a new one I wipe out the one for that day on accident. Mhm.,0.7300000000000182,16.25999999999999,0,False,False,73
62,5f4cf071633ed2922c6e06dd,151.74,153.21,Yeah I thought from,-0.009999999999990905,1.4699999999999989,0,False,True,4
