turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e40cd8807d04430f28eef0c,0.64,62.76,"Yeah. Mhm. Mhm. Yeah. Yeah. Mhm. Yeah. Okay. Yeah. Mhm. Yeah, mm hmm. Quick. Mhm. Mhm.",,62.12,0,False,False,16
1,5f72d964dd42802225ed83c6,62.94,63.66,Hello.,0.17999999999999972,0.7199999999999989,0,False,False,1
2,5e40cd8807d04430f28eef0c,63.54,66.65,I my,-0.11999999999999744,3.1100000000000065,0,False,True,2
3,5f72d964dd42802225ed83c6,66.54,66.96,I'm,-0.10999999999999943,0.4199999999999875,0,False,True,2
4,5e40cd8807d04430f28eef0c,66.65,66.95,name,-0.30999999999998806,0.29999999999999716,0,False,True,1
5,5f72d964dd42802225ed83c6,66.97,69.14,"yeah,",0.01999999999999602,2.1700000000000017,0,False,False,1
6,5e40cd8807d04430f28eef0c,67.54,71.26,"Yeah, my name is Carol. Nice to meet you.",-1.5999999999999943,3.719999999999999,0,False,True,9
7,5f72d964dd42802225ed83c6,71.64,76.36,"nice to meet you, Sophia. Um How are you?",0.37999999999999545,4.719999999999999,1,True,False,9
8,5e40cd8807d04430f28eef0c,76.84,78.96,I'm doing all right today. How about you?,0.480000000000004,2.1199999999999903,1,True,False,9
9,5f72d964dd42802225ed83c6,79.74,81.45,"Pretty good, pretty good.",0.7800000000000011,1.710000000000008,0,False,False,4
10,5e40cd8807d04430f28eef0c,81.74,82.25,Mm.,0.28999999999999204,0.5100000000000051,0,False,False,1
11,5f72d964dd42802225ed83c6,82.24,88.16,Um I just got out of class. I'm a university student.,-0.010000000000005116,5.920000000000002,0,False,True,12
12,5e40cd8807d04430f28eef0c,88.73,89.56,Ls,0.5700000000000074,0.8299999999999983,0,False,False,1
13,5f72d964dd42802225ed83c6,88.84,91.06,Ah so,-0.7199999999999989,2.219999999999999,0,False,True,2
14,5e40cd8807d04430f28eef0c,91.04,93.05,what are you studying?,-0.01999999999999602,2.009999999999991,1,True,True,4
15,5f72d964dd42802225ed83c6,93.24,94.78,I am studying,0.18999999999999773,1.5400000000000063,0,False,False,3
16,5e40cd8807d04430f28eef0c,94.44,96.66,Okay.,-0.3400000000000034,2.219999999999999,0,False,True,1
17,5f72d964dd42802225ed83c6,94.78,97.35,brain and cognitive science. So.,-1.8799999999999955,2.569999999999993,0,False,True,5
18,5e40cd8807d04430f28eef0c,97.44,98.85,Right.,0.09000000000000341,1.4099999999999966,0,False,False,1
19,5f72d964dd42802225ed83c6,98.04,100.26,Brand stuff.,-0.8099999999999881,2.219999999999999,0,False,True,2
20,5e40cd8807d04430f28eef0c,99.94,104.25,And that doesn't surprise me. We're meeting in a research study and or,-0.3200000000000074,4.310000000000002,0,False,True,15
21,5f72d964dd42802225ed83c6,104.24,104.92,Yeah.,-0.010000000000005116,0.6800000000000068,0,False,True,1
22,5e40cd8807d04430f28eef0c,104.25,106.15,studying that.,-0.6700000000000017,1.9000000000000057,0,False,True,2
23,5f72d964dd42802225ed83c6,104.93,111.06,Yeah. My my connections into uh prolific are fairly obvious.,-1.2199999999999989,6.1299999999999955,0,False,True,10
24,5e40cd8807d04430f28eef0c,110.54,110.74,"Yeah,",-0.519999999999996,0.19999999999998863,0,False,True,1
25,5f72d964dd42802225ed83c6,111.64,115.16,Um What about you? What do you do?,0.9000000000000057,3.519999999999996,2,True,False,8
26,5e40cd8807d04430f28eef0c,115.54,120.06,I'm in my freshman year. I'm finishing up my basics right now.,0.38000000000000966,4.519999999999996,0,False,False,14
27,5f72d964dd42802225ed83c6,120.44,121.96,"Oh, very nice.",0.37999999999999545,1.519999999999996,0,False,False,3
28,5e40cd8807d04430f28eef0c,121.54,137.5,So I'm thinking I'm still trying to figure out like what I want to do. But I'm thinking either something um somewhere in the medical field or something to do with like psychology or no science or something like,-0.4199999999999875,15.959999999999994,0,False,True,42
29,5f72d964dd42802225ed83c6,137.24,137.6,Very,-0.2599999999999909,0.3599999999999852,0,False,True,1
30,5e40cd8807d04430f28eef0c,137.5,138.46,that.,-0.09999999999999432,0.960000000000008,0,False,True,1
31,5f72d964dd42802225ed83c6,137.6,139.45,cool. Yeah. Yeah.,-0.8600000000000136,1.8499999999999943,0,False,True,3
32,5e40cd8807d04430f28eef0c,139.24,140.36,Not,-0.20999999999997954,1.1200000000000045,0,False,True,1
33,5f72d964dd42802225ed83c6,140.04,140.66,Um,-0.3200000000000216,0.6200000000000045,0,False,True,1
34,5e40cd8807d04430f28eef0c,140.36,142.26,surprising. I'm on here either.,-0.29999999999998295,1.8999999999999773,0,False,True,6
35,5f72d964dd42802225ed83c6,142.34,145.9,Exactly. Yeah.,0.0800000000000125,3.5600000000000023,0,False,False,2
36,5e40cd8807d04430f28eef0c,144.84,145.04,Yeah.,-1.0600000000000023,0.19999999999998863,0,False,True,1
37,5f72d964dd42802225ed83c6,145.91,152.59,Um that sounds really cool. I can differently relate to not knowing what you're gonna do.,0.8700000000000045,6.680000000000007,0,False,False,18
38,5e40cd8807d04430f28eef0c,152.54,153.64,Yeah.,-0.05000000000001137,1.0999999999999943,0,False,True,1
39,5f72d964dd42802225ed83c6,152.59,154.83,It took me a while to settle,-1.049999999999983,2.240000000000009,0,False,True,7
40,5e40cd8807d04430f28eef0c,154.64,154.84,Yeah.,-0.19000000000002615,0.20000000000001705,0,False,True,1
41,5f72d964dd42802225ed83c6,154.83,159.76,"on the brain and I don't know what I'm going to do with the brain now that I've decided on it, so",-0.009999999999990905,4.929999999999978,0,False,True,25
42,5e40cd8807d04430f28eef0c,160.44,161.91,"Well,",0.6800000000000068,1.4699999999999989,0,False,False,1
43,5f72d964dd42802225ed83c6,160.94,161.66,um,-0.9699999999999989,0.7199999999999989,0,False,True,1
44,5e40cd8807d04430f28eef0c,161.91,165.67,"hey, the start is figuring out, you know what your interests are and what you",0.25,3.759999999999991,0,False,False,15
45,5f72d964dd42802225ed83c6,165.64,167.64,Yeah.,-0.030000000000001137,2.0,0,False,True,1
46,5e40cd8807d04430f28eef0c,165.67,169.76,want to do is so there are still coming with time,-1.9699999999999989,4.090000000000003,0,False,True,11
47,5f72d964dd42802225ed83c6,169.94,171.25,Yeah.,0.18000000000000682,1.3100000000000023,0,False,False,1
