turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5eb05058661fe60d7601edde,4.54,11.16,Yeah. Yeah. Mhm. Yeah.,,6.62,0,False,False,4
1,5aeffc6e0ccc2e000185aa28,13.44,14.25,Hello?,2.2799999999999994,0.8100000000000005,1,True,False,1
2,5eb05058661fe60d7601edde,15.24,17.54,Uh huh.,0.9900000000000002,2.299999999999999,0,False,False,2
3,5aeffc6e0ccc2e000185aa28,17.24,17.75,Mm hmm.,-0.3000000000000007,0.5100000000000016,0,False,True,2
4,5eb05058661fe60d7601edde,18.04,19.86,Pretty good. Everyone.,0.28999999999999915,1.8200000000000003,0,False,False,3
5,5aeffc6e0ccc2e000185aa28,20.54,21.06,If you're,0.6799999999999997,0.5199999999999996,0,False,False,3
6,5eb05058661fe60d7601edde,20.84,21.05,Okay.,-0.21999999999999886,0.21000000000000085,0,False,True,1
7,5aeffc6e0ccc2e000185aa28,21.06,21.76,you.,0.00999999999999801,0.7000000000000028,0,False,False,1
8,5eb05058661fe60d7601edde,22.54,24.16,Um,0.7799999999999976,1.620000000000001,0,False,False,1
9,5aeffc6e0ccc2e000185aa28,28.09,28.34,There we,3.9299999999999997,0.25,0,False,False,2
10,5eb05058661fe60d7601edde,28.34,28.55,Mhm,0.0,0.21000000000000085,0,False,False,1
11,5aeffc6e0ccc2e000185aa28,28.34,32.02,go. How are you doing,-0.21000000000000085,3.6800000000000033,0,False,True,5
12,5eb05058661fe60d7601edde,31.94,32.14,"Yeah,",-0.08000000000000185,0.1999999999999993,0,False,True,1
13,5aeffc6e0ccc2e000185aa28,32.02,32.36,today?,-0.11999999999999744,0.3399999999999963,1,True,True,1
14,5eb05058661fe60d7601edde,32.94,34.67,I'm going to be tired,0.5799999999999983,1.730000000000004,0,False,False,6
15,5aeffc6e0ccc2e000185aa28,34.64,34.74,Uh,-0.030000000000001137,0.10000000000000142,0,False,True,1
16,5eb05058661fe60d7601edde,34.68,34.9,but,-0.060000000000002274,0.21999999999999886,0,False,True,1
17,5aeffc6e0ccc2e000185aa28,34.74,34.96,huh.,-0.1599999999999966,0.21999999999999886,0,False,True,1
18,5eb05058661fe60d7601edde,35.25,37.59,overall good. How about,0.28999999999999915,2.3400000000000034,0,False,False,4
19,5aeffc6e0ccc2e000185aa28,37.44,37.65,I'm,-0.15000000000000568,0.21000000000000085,0,False,True,2
20,5eb05058661fe60d7601edde,37.59,38.05,yourself?,-0.05999999999999517,0.45999999999999375,1,True,True,1
21,5aeffc6e0ccc2e000185aa28,37.65,40.35,"a little and I'm a little anti, I just found out",-0.3999999999999986,2.700000000000003,0,False,True,12
22,5eb05058661fe60d7601edde,40.24,40.45,Mhm.,-0.10999999999999943,0.21000000000000085,0,False,True,1
23,5aeffc6e0ccc2e000185aa28,40.35,42.96,that I had another one of these like 10 minutes ago,-0.10000000000000142,2.6099999999999994,0,False,True,11
24,5eb05058661fe60d7601edde,43.64,43.97,Oh,0.6799999999999997,0.3299999999999983,0,False,False,1
25,5aeffc6e0ccc2e000185aa28,43.84,43.99,because,-0.12999999999999545,0.14999999999999858,0,False,True,1
26,5eb05058661fe60d7601edde,43.98,44.56,really?,-0.010000000000005116,0.5800000000000054,1,True,True,1
27,5aeffc6e0ccc2e000185aa28,43.99,45.38,"they didn't want, I did",-0.5700000000000003,1.3900000000000006,0,False,True,6
28,5eb05058661fe60d7601edde,45.24,45.56,Right.,-0.14000000000000057,0.3200000000000003,0,False,True,1
29,5aeffc6e0ccc2e000185aa28,45.38,53.06,"one yesterday and normally they tell you when you're scheduled, but they just told me they sent me an email an hour ago saying you",-0.17999999999999972,7.68,0,False,True,26
30,5eb05058661fe60d7601edde,52.94,53.86,Oh,-0.12000000000000455,0.9200000000000017,0,False,True,1
31,5aeffc6e0ccc2e000185aa28,53.06,55.25,have one at one PM today. And,-0.7999999999999972,2.1899999999999977,0,False,True,7
32,5eb05058661fe60d7601edde,55.24,55.74,yeah.,-0.00999999999999801,0.5,0,False,True,1
33,5aeffc6e0ccc2e000185aa28,55.26,57.53,"so I'm really your, we're both",-0.480000000000004,2.270000000000003,0,False,True,8
34,5eb05058661fe60d7601edde,57.24,57.45,Mhm,-0.28999999999999915,0.21000000000000085,0,False,True,1
