turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f2850a9d9a5f01279e1bd16,1.64,82.56,"Okay. Yeah. So true. Yeah. Yeah, yeah. Yeah. Mhm mhm Okay. Yes. Yeah. He's, why don't you go what? Yeah. Yeah. Uh huh. All that crap. So I'm not sure. I want to check her. Look at me. Look at me. You really? Mhm Yeah. Oh. Mhm",,80.92,2,False,False,50
1,5f30841ff614014e92784605,81.14,83.61,Hi,-1.4200000000000017,2.469999999999999,0,False,True,1
2,5f2850a9d9a5f01279e1bd16,82.94,86.03,Hi.,-0.6700000000000017,3.0900000000000034,0,False,True,1
3,5f30841ff614014e92784605,83.61,85.16,there.,-2.4200000000000017,1.5499999999999972,0,False,True,1
4,5f2850a9d9a5f01279e1bd16,86.03,86.54,Good morning.,0.8700000000000045,0.5100000000000051,0,False,False,2
5,5f30841ff614014e92784605,86.24,86.45,Mm,-0.30000000000001137,0.21000000000000796,0,False,True,1
6,5f2850a9d9a5f01279e1bd16,86.55,87.29,Good night. How are,0.09999999999999432,0.7400000000000091,0,False,False,4
7,5f30841ff614014e92784605,87.24,87.81,"Hi,",-0.05000000000001137,0.5700000000000074,0,False,True,1
8,5f2850a9d9a5f01279e1bd16,87.29,87.86,you doing?,-0.519999999999996,0.5699999999999932,1,True,True,2
9,5f30841ff614014e92784605,87.81,89.06,what's up?,-0.04999999999999716,1.25,1,True,True,3
10,5f2850a9d9a5f01279e1bd16,89.04,90.84,Mhm. Nothing.,-0.01999999999999602,1.7999999999999972,0,False,True,2
11,5f30841ff614014e92784605,90.34,91.56,How are you?,-0.5,1.2199999999999989,1,True,True,3
12,5f2850a9d9a5f01279e1bd16,90.84,94.36,"My sleeping, my chance. I'm good. I'm good.",-0.7199999999999989,3.519999999999996,0,False,True,10
13,5f30841ff614014e92784605,95.04,95.24,"Yeah,",0.6800000000000068,0.19999999999998863,0,False,False,1
14,5f2850a9d9a5f01279e1bd16,95.34,97.26,How's your evening going so far?,0.10000000000000853,1.9200000000000017,1,True,False,7
15,5f30841ff614014e92784605,97.84,98.32,it's,0.5799999999999983,0.47999999999998977,0,False,False,2
16,5f2850a9d9a5f01279e1bd16,97.94,98.26,Uh huh,-0.37999999999999545,0.3200000000000074,0,False,True,2
17,5f30841ff614014e92784605,98.32,106.68,"actually quite well. I got so much done today so I'm just enjoying relaxing my evening. Um, how about you? You look very happy.",0.05999999999998806,8.360000000000014,1,False,False,25
18,5f2850a9d9a5f01279e1bd16,106.24,106.7,"Oh,",-0.44000000000001194,0.46000000000000796,0,False,True,1
19,5f30841ff614014e92784605,106.69,106.86,I,-0.010000000000005116,0.1700000000000017,0,False,True,1
20,5f2850a9d9a5f01279e1bd16,106.71,109.23,"uh,",-0.15000000000000568,2.5200000000000102,0,False,True,1
21,5f30841ff614014e92784605,106.86,108.15,like that. Okay.,-2.3700000000000045,1.2900000000000063,0,False,True,3
22,5f2850a9d9a5f01279e1bd16,109.24,109.76,thank,1.0899999999999892,0.5200000000000102,0,False,False,1
23,5f30841ff614014e92784605,109.34,109.54,Yeah.,-0.4200000000000017,0.20000000000000284,0,False,True,1
24,5f2850a9d9a5f01279e1bd16,109.76,111.38,you. I'm just right here going,0.21999999999999886,1.6199999999999903,0,False,False,7
25,5f30841ff614014e92784605,111.04,111.25,Mhm,-0.3399999999999892,0.20999999999999375,0,False,True,1
26,5f2850a9d9a5f01279e1bd16,111.38,113.82,through some Tiktok right now. I'm whining,0.12999999999999545,2.4399999999999977,0,False,False,8
27,5f30841ff614014e92784605,113.64,114.26,Sorry.,-0.1799999999999926,0.6200000000000045,0,False,True,1
28,5f2850a9d9a5f01279e1bd16,113.82,114.66,from today.,-0.44000000000001194,0.8400000000000034,0,False,True,2
29,5f30841ff614014e92784605,114.27,117.35,"I just, um, as you see, like",-0.39000000000000057,3.0799999999999983,0,False,True,7
30,5f2850a9d9a5f01279e1bd16,117.24,117.74,Yeah.,-0.10999999999999943,0.5,0,False,True,1
31,5f30841ff614014e92784605,117.35,119.03,I just collect the earring. I mean,-0.39000000000000057,1.6800000000000068,0,False,True,7
32,5f2850a9d9a5f01279e1bd16,119.04,119.96,Okay.,0.010000000000005116,0.9199999999999875,0,False,False,1
33,5f30841ff614014e92784605,119.04,122.04,not hearing your fun. Yeah.,-0.9199999999999875,3.0,0,False,True,5
34,5f2850a9d9a5f01279e1bd16,120.94,127.26,"Yeah. Yeah. Oh No. I said no. I was just here, um, looking at Tiktok",-1.1000000000000085,6.320000000000007,0,False,True,15
35,5f30841ff614014e92784605,127.04,127.93,"Oh, take",-0.21999999999999886,0.8900000000000006,0,False,True,2
36,5f2850a9d9a5f01279e1bd16,127.84,128.73,while,-0.09000000000000341,0.8899999999999864,0,False,True,1
37,5f30841ff614014e92784605,127.93,129.76,doctors So addicting.,-0.799999999999983,1.829999999999984,0,False,True,3
38,5f2850a9d9a5f01279e1bd16,128.73,131.66,"I was being, I know, right?",-1.0300000000000011,2.930000000000007,1,True,True,6
39,5f30841ff614014e92784605,130.84,132.07,"Yeah, I could",-0.8199999999999932,1.2299999999999898,0,False,True,3
40,5f2850a9d9a5f01279e1bd16,132.04,132.31,I,-0.030000000000001137,0.27000000000001023,0,False,True,1
41,5f30841ff614014e92784605,132.07,132.78,go hours,-0.2400000000000091,0.710000000000008,0,False,True,2
42,5f2850a9d9a5f01279e1bd16,132.31,132.76,stopped.,-0.46999999999999886,0.44999999999998863,0,False,True,1
43,5f30841ff614014e92784605,132.78,133.75,and hours.,0.020000000000010232,0.9699999999999989,0,False,False,2
44,5f2850a9d9a5f01279e1bd16,134.64,135.95,Mm,0.8899999999999864,1.3100000000000023,0,False,False,1
45,5f30841ff614014e92784605,135.54,137.15,Uh huh,-0.4099999999999966,1.6100000000000136,0,False,True,2
46,5f2850a9d9a5f01279e1bd16,135.95,138.02,me too. I just started it.,-1.200000000000017,2.0700000000000216,0,False,True,6
47,5f30841ff614014e92784605,137.94,138.06,uh,-0.0800000000000125,0.12000000000000455,0,False,True,1
48,5f2850a9d9a5f01279e1bd16,138.03,138.65,Um,-0.030000000000001137,0.6200000000000045,0,False,True,1
49,5f30841ff614014e92784605,138.06,138.35,huh,-0.5900000000000034,0.28999999999999204,0,False,True,1
50,5f2850a9d9a5f01279e1bd16,138.66,139.76,hmm.,0.3100000000000023,1.0999999999999943,0,False,False,1
51,5f30841ff614014e92784605,140.24,140.56,All right,0.4800000000000182,0.3199999999999932,0,False,False,2
52,5f2850a9d9a5f01279e1bd16,140.54,148.36,"Like 2 to 3 months ago, uh, as being so addicted. Like the time goes by so fast",-0.020000000000010232,7.820000000000022,0,False,True,18
53,5f30841ff614014e92784605,147.74,148.99,girl. Tell,-0.6200000000000045,1.25,0,False,True,2
54,5f2850a9d9a5f01279e1bd16,148.94,149.17,because,-0.05000000000001137,0.22999999999998977,0,False,True,1
55,5f30841ff614014e92784605,148.99,149.49,me about,-0.1799999999999784,0.5,0,False,True,2
56,5f2850a9d9a5f01279e1bd16,149.17,149.51,there be,-0.3200000000000216,0.3400000000000034,0,False,True,2
57,5f30841ff614014e92784605,149.49,149.86,it.,-0.01999999999998181,0.37000000000000455,0,False,True,1
58,5f2850a9d9a5f01279e1bd16,149.51,151.85,so many funny things going on.,-0.35000000000002274,2.3400000000000034,0,False,True,6
59,5f30841ff614014e92784605,151.54,169.26,"I think I joined around the time that you joined because of like the pandemic, like, you know home all day And like, and like before everyone was like on a Tiktok under posting Tiktok talking about take time and like I will never going to go on that thing because like,",-0.3100000000000023,17.72,0,False,True,52
60,5f2850a9d9a5f01279e1bd16,169.04,169.76,Mhm,-0.21999999999999886,0.7199999999999989,0,False,True,1
61,5f30841ff614014e92784605,169.27,173.58,"like, I don't know, I feel like chick dog is like the gen z, like those young kids",-0.4899999999999807,4.310000000000002,0,False,True,19
62,5f2850a9d9a5f01279e1bd16,173.34,174.74,"Yeah,",-0.2400000000000091,1.4000000000000057,0,False,True,1
63,5f30841ff614014e92784605,173.58,183.35,"things. And then, oh my God, Covid got me until I take talk and it's like going through like so",-1.1599999999999966,9.769999999999982,0,False,True,21
64,5f2850a9d9a5f01279e1bd16,182.25,184.43,I,-1.0999999999999943,2.180000000000007,0,False,True,1
65,5f30841ff614014e92784605,183.35,184.47,addicting and now I'm,-1.0800000000000125,1.1200000000000045,0,False,True,5
66,5f2850a9d9a5f01279e1bd16,184.44,185.56,know.,-0.030000000000001137,1.1200000000000045,0,False,True,1
67,5f30841ff614014e92784605,184.48,192.06,"trying to like start making, making that sink top. It's not it's not working for me. But like, yeah, I enjoy just looking",-1.0800000000000125,7.5800000000000125,0,False,True,25
68,5f2850a9d9a5f01279e1bd16,191.94,195.08,"Well,",-0.12000000000000455,3.140000000000015,0,False,True,1
69,5f30841ff614014e92784605,192.06,194.76,at it. Yeah.,-3.0200000000000102,2.6999999999999886,0,False,True,3
70,5f2850a9d9a5f01279e1bd16,195.09,195.6,I,0.3300000000000125,0.5099999999999909,0,False,False,1
71,5f30841ff614014e92784605,195.34,195.58,Okay.,-0.2599999999999909,0.2400000000000091,0,False,True,1
72,5f2850a9d9a5f01279e1bd16,195.6,197.98,"think, um, well, it's a funny story.",0.01999999999998181,2.3799999999999955,0,False,False,8
73,5f30841ff614014e92784605,197.64,198.56,Mhm,-0.3400000000000034,0.9200000000000159,0,False,True,1
