turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e83fab3af601d15b6fef5c7,0.34,558.64,"Yeah. Yeah. Okay. Okay. Mhm. Yeah. Yeah. Okay. Okay. Mhm. Mhm. It was a hit marker. How did not die from that? Yeah this is mm several stents mm I don't know he said so. Uh Honey on one less targets but you guys are pretty close together. It's just a log room behind. Oh there we go. Alright. I broke the sounds doing it. We're doing another bonus round. I don't know how many of you guys will never die. Level dot live or die, but no one else speak. Everyone's been away from my work fire. Yeah. Very nice way to unite them dude. Yeah. Natural. Alright. Also you're gonna keep on spinning, yep, starts spitting up when I give the word. You can just keep on firing non stop until I say stop Or until one person dies. Alright, begin firing now we're going keep on going. Oh that's all right. Yeah, I think that. Really? Mhm. Okay. All right. Yeah. Okay response cable move out of your spot when you recorded american idiot when the whole album was done. You cry? Oh, did you know that? Yeah, I think right. I think this is what we're reporting of. Yeah. Uh huh. 25 minutes. Mhm. No one's no one's gotten on yet, but they have like 10 minutes. Don't just come out. Okay. Sure. What is your name here? Jake eaten Richard Eaton. So you're charged with going through with the red white on Dean Street and route 10. Yeah. Okay. What do you want to tell me about that? I have no idea. Uh He's already has a cluster. He calls it in over there. There's another guy coming in, mounts up trying to get those little shots there and then it lets the cluster come in because he has a a okay jump on him like yo what the fuck? Yeah. It Oh yeah. All right, come in. Oh boy. Well that's what I've ever had in the game ever. Okay. Yeah. No. Yeah. What? Yeah. Oh uh oh play and they're bad. Yeah. Uh huh That's the testicle you can witness. Come on bro. What is this? I don't want to do right now. Come on, come on. Yeah. Yeah. A triple dark side running mounted this in global opinion 2002 and he did a switch as well. Thank you. Since ever I've seen nobody doing this trick. Uh, there has been some people that did like the railway, uh, profit in the middle of the board instead of the hotels. That's the way. So the obstacle I chose. She's right here. Color. Yeah.",,558.3,9,False,False,464
1,5c1a4d7d1aea120001fdd685,559.44,560.16,Hello?,0.8000000000000682,0.7199999999999136,1,True,False,1
2,5e83fab3af601d15b6fef5c7,560.14,561.36,"Hi, how are you?",-0.01999999999998181,1.2200000000000273,1,True,True,4
3,5c1a4d7d1aea120001fdd685,561.54,562.46,Okay.,0.17999999999994998,0.9200000000000728,0,False,False,1
4,5e83fab3af601d15b6fef5c7,562.94,564.66,"Yeah, yeah,",0.4800000000000182,1.7199999999999136,0,False,False,2
5,5c1a4d7d1aea120001fdd685,564.74,565.79,Uh,0.08000000000004093,1.0499999999999545,0,False,False,1
6,5e83fab3af601d15b6fef5c7,565.53,565.84,"yeah,",-0.2599999999999909,0.3100000000000591,0,False,True,1
7,5c1a4d7d1aea120001fdd685,565.8,566.75,can you hear me?,-0.04000000000007731,0.9500000000000455,1,True,True,4
8,5e83fab3af601d15b6fef5c7,566.74,568.36,"yeah, I can hear you can hear me.",-0.009999999999990905,1.6200000000000045,0,False,True,8
9,5c1a4d7d1aea120001fdd685,568.44,569.76,Yes I can.,0.08000000000004093,1.3199999999999363,0,False,False,3
10,5e83fab3af601d15b6fef5c7,569.54,571.23,Mm How are you doing?,-0.22000000000002728,1.6900000000000546,1,True,True,5
11,5c1a4d7d1aea120001fdd685,571.84,573.25,Okay.,0.6100000000000136,1.4099999999999682,0,False,False,1
12,5e83fab3af601d15b6fef5c7,573.54,577.76,"Good. Yeah, I'm not even sure how this is supposed to go.",0.2899999999999636,4.220000000000027,0,False,False,13
13,5c1a4d7d1aea120001fdd685,578.24,581.48,I guess we just have to talk for 25 minutes,0.4800000000000182,3.240000000000009,0,False,False,10
14,5e83fab3af601d15b6fef5c7,581.24,581.56,Yeah.,-0.2400000000000091,0.31999999999993634,0,False,True,1
15,5c1a4d7d1aea120001fdd685,581.49,582.17,and,-0.06999999999993634,0.67999999999995,0,False,True,1
16,5e83fab3af601d15b6fef5c7,582.04,582.54,Yeah.,-0.12999999999999545,0.5,0,False,True,1
17,5c1a4d7d1aea120001fdd685,582.17,583.96,there's no project that I know of.,-0.37000000000000455,1.7900000000000773,0,False,True,8
18,5e83fab3af601d15b6fef5c7,584.24,595.86,Yeah exactly. I didn't know if this was like there was going to be questions already assigned or if there's things like that but I haven't heard any. I mean in the email was very vague. So,0.2799999999999727,11.620000000000005,0,False,False,40
19,5c1a4d7d1aea120001fdd685,596.24,597.57,Yeah it just said,0.37999999999999545,1.330000000000041,0,False,False,4
20,5e83fab3af601d15b6fef5c7,597.54,598.26,"Oh,",-0.030000000000086402,0.7200000000000273,0,False,True,1
21,5c1a4d7d1aea120001fdd685,597.58,599.26,talk so,-0.67999999999995,1.67999999999995,0,False,True,2
22,5e83fab3af601d15b6fef5c7,598.64,604.16,"you're talking about well, um so how are you doing?",-0.6200000000000045,5.519999999999982,1,True,True,11
23,5c1a4d7d1aea120001fdd685,604.44,612.45,um okay I'm tired. I've got three grandchildren living with me so they keep me busy.,0.2800000000000864,8.009999999999991,0,False,False,18
24,5e83fab3af601d15b6fef5c7,611.84,618.86,"Yeah, I'm a teacher so I understand how tiring Children can be.",-0.6100000000000136,7.019999999999982,0,False,True,13
25,5c1a4d7d1aea120001fdd685,618.24,622.16,Yeah well we have the alerting now because of the pandemic.,-0.6200000000000045,3.919999999999959,0,False,True,11
26,5e83fab3af601d15b6fef5c7,622.64,627.86,"Yeah, same. I'm teaching online right now so it's a",0.4800000000000182,5.220000000000027,0,False,False,12
27,5c1a4d7d1aea120001fdd685,627.44,627.64,Yeah.,-0.4199999999999591,0.1999999999999318,0,False,True,1
28,5e83fab3af601d15b6fef5c7,627.86,631.44,little difficult. Especially because I'm doing elementary education. So like,0.22000000000002728,3.580000000000041,0,False,False,11
29,5c1a4d7d1aea120001fdd685,631.24,631.66,Mhm,-0.20000000000004547,0.4199999999999591,0,False,True,1
30,5e83fab3af601d15b6fef5c7,631.44,639.46,I do like the little kids and most of my students don't have internet or computers so it's like a digital,-0.2199999999999136,8.019999999999982,0,False,True,23
31,5c1a4d7d1aea120001fdd685,639.04,639.36,mm.,-0.42000000000007276,0.32000000000005,0,False,True,1
32,5e83fab3af601d15b6fef5c7,639.46,642.47,packet. I mean I'm sorry a printed packet that they,0.10000000000002274,3.009999999999991,0,False,False,11
33,5c1a4d7d1aea120001fdd685,642.44,642.48,Uh,-0.029999999999972715,0.03999999999996362,0,False,True,1
