turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f60d31390a8c1044e775b18,4.24,24.55,Okay. No oh thanks. Yeah mm.,,20.310000000000002,0,False,False,6
1,5daac00a033d570013579de0,27.64,28.26,Hello?,3.09,0.620000000000001,1,True,False,1
2,5f60d31390a8c1044e775b18,28.64,30.16,Hey how are you?,0.379999999999999,1.5199999999999996,1,True,False,4
3,5daac00a033d570013579de0,29.94,30.86,"Good, how are you?",-0.21999999999999886,0.9199999999999982,1,True,True,4
4,5f60d31390a8c1044e775b18,30.94,31.75,Yeah well,0.08000000000000185,0.8099999999999987,0,False,False,2
5,5daac00a033d570013579de0,32.64,32.96,Mhm.,0.8900000000000006,0.3200000000000003,0,False,False,1
6,5f60d31390a8c1044e775b18,32.74,37.66,this is a new experience for me so if you've done these before you can sort of walk me through it.,-0.21999999999999886,4.919999999999995,0,False,True,22
7,5daac00a033d570013579de0,37.94,40.85,No but I've never done it before. I think we're just supposed to talk.,0.28000000000000114,2.9100000000000037,0,False,False,16
8,5f60d31390a8c1044e775b18,40.84,41.97,Yeah exactly there's no,-0.00999999999999801,1.1299999999999955,0,False,True,5
9,5daac00a033d570013579de0,41.94,42.14,Yeah.,-0.030000000000001137,0.20000000000000284,0,False,True,1
10,5f60d31390a8c1044e775b18,41.97,42.66,directive.,-0.1700000000000017,0.6899999999999977,0,False,True,1
11,5daac00a033d570013579de0,42.94,43.95,Yeah.,0.28000000000000114,1.0100000000000051,0,False,False,1
12,5f60d31390a8c1044e775b18,44.34,44.54,Yeah,0.39000000000000057,0.19999999999999574,0,False,False,1
13,5daac00a033d570013579de0,44.44,46.36,Betty Shelby.,-0.10000000000000142,1.9200000000000017,0,False,True,2
14,5f60d31390a8c1044e775b18,45.84,46.86,I'm gary.,-0.519999999999996,1.019999999999996,0,False,True,3
15,5daac00a033d570013579de0,46.94,47.96,Nice to meet you.,0.0799999999999983,1.0200000000000031,0,False,False,4
16,5f60d31390a8c1044e775b18,47.94,50.96,Okay um so where are you from?,-0.020000000000003126,3.020000000000003,1,True,True,7
17,5daac00a033d570013579de0,51.24,52.56,I live in Seattle right now.,0.28000000000000114,1.3200000000000003,0,False,False,6
18,5f60d31390a8c1044e775b18,52.74,53.36,Okay.,0.17999999999999972,0.6199999999999974,0,False,False,1
19,5daac00a033d570013579de0,53.04,54.56,Yeah. Where are you from?,-0.3200000000000003,1.5200000000000031,1,True,True,5
20,5f60d31390a8c1044e775b18,54.64,57.06,Uh near Lexington Kentucky.,0.0799999999999983,2.4200000000000017,0,False,False,4
21,5daac00a033d570013579de0,57.24,58.02,Okay. Well that's,0.17999999999999972,0.7800000000000011,0,False,False,4
22,5f60d31390a8c1044e775b18,57.94,58.35,Yeah.,-0.0800000000000054,0.4100000000000037,0,False,True,1
23,5daac00a033d570013579de0,58.02,59.75,by the way is different. Yeah.,-0.3299999999999983,1.7299999999999969,0,False,True,6
24,5f60d31390a8c1044e775b18,59.44,61.0,Yeah. Um,-0.3100000000000023,1.5600000000000023,0,False,True,2
25,5daac00a033d570013579de0,60.74,61.06,Ah,-0.259999999999998,0.3200000000000003,0,False,True,1
26,5f60d31390a8c1044e775b18,61.01,62.96,were you affected by any of the fires?,-0.05000000000000426,1.9500000000000028,1,True,True,8
27,5daac00a033d570013579de0,63.74,66.73,"Well sort of my town, my parents looked on the other",0.7800000000000011,2.990000000000002,0,False,False,11
28,5f60d31390a8c1044e775b18,66.64,66.85,Mhm.,-0.09000000000000341,0.20999999999999375,0,False,True,1
29,5daac00a033d570013579de0,66.73,67.61,side of our state,-0.11999999999999034,0.8799999999999955,0,False,True,4
30,5f60d31390a8c1044e775b18,67.54,68.34,Yeah.,-0.06999999999999318,0.7999999999999972,0,False,True,1
31,5daac00a033d570013579de0,67.62,73.16,um The town almost completely with the exception of their house and like I think six or seven other houses burned down.,-0.7199999999999989,5.539999999999992,0,False,True,22
32,5f60d31390a8c1044e775b18,73.84,75.55,Yeah,0.6800000000000068,1.7099999999999937,0,False,False,1
33,5daac00a033d570013579de0,73.94,75.56,Um Which is pretty crazy.,-1.6099999999999994,1.6200000000000045,0,False,True,5
34,5f60d31390a8c1044e775b18,75.56,76.86,you look devastating.,0.0,1.2999999999999972,0,False,False,3
35,5daac00a033d570013579de0,77.24,83.66,Yeah it was I mean there was something like about a week here that it was there was no sign at all was just black every day.,0.37999999999999545,6.420000000000002,0,False,False,27
36,5f60d31390a8c1044e775b18,83.14,92.25,Yeah I was in uh san Francisco earlier this year and several of the places that I visited uh they're they're completely decimated and,-0.519999999999996,9.11,0,False,True,26
37,5daac00a033d570013579de0,91.64,92.36,Oh wow.,-0.6099999999999994,0.7199999999999989,0,False,True,2
38,5f60d31390a8c1044e775b18,92.94,95.77,so it was even though it,0.5799999999999983,2.8299999999999983,0,False,False,6
39,5daac00a033d570013579de0,95.74,95.93,Yeah.,-0.030000000000001137,0.19000000000001194,0,False,True,1
40,5f60d31390a8c1044e775b18,95.77,102.16,"didn't affect me personally I felt kind of it did because some of the places that I visited were effective, so and",-0.1600000000000108,6.390000000000001,0,False,True,23
