turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5df58b28ecb3ea3ed1ceea37,12.34,45.05,Yeah. Okay. Okay. Yes. Mhm. Hi,,32.709999999999994,0,False,False,6
1,5e4b0189cdf5a6011838a6a2,41.94,45.96,Hi how you doing?,-3.1099999999999994,4.020000000000003,1,True,True,4
2,5df58b28ecb3ea3ed1ceea37,46.24,46.91,that hurry,0.28000000000000114,0.6699999999999946,0,False,False,2
3,5e4b0189cdf5a6011838a6a2,46.86,47.27,Very,-0.04999999999999716,0.4100000000000037,0,False,True,1
4,5df58b28ecb3ea3ed1ceea37,46.91,47.16,up.,-0.36000000000000654,0.25,0,False,True,1
5,5e4b0189cdf5a6011838a6a2,47.28,48.06,good.,0.12000000000000455,0.7800000000000011,0,False,False,1
6,5df58b28ecb3ea3ed1ceea37,48.14,48.34,Yeah.,0.0799999999999983,0.20000000000000284,0,False,False,1
7,5e4b0189cdf5a6011838a6a2,50.44,50.91,My,2.0999999999999943,0.46999999999999886,0,False,False,1
8,5df58b28ecb3ea3ed1ceea37,50.64,50.84,Yeah.,-0.269999999999996,0.20000000000000284,0,False,True,1
9,5e4b0189cdf5a6011838a6a2,50.91,51.76,name is Ron,0.06999999999999318,0.8500000000000014,0,False,False,3
10,5df58b28ecb3ea3ed1ceea37,51.34,51.72,Yeah.,-0.4199999999999946,0.37999999999999545,0,False,True,1
11,5e4b0189cdf5a6011838a6a2,52.64,53.56,wrong.,0.9200000000000017,0.9200000000000017,0,False,False,1
12,5df58b28ecb3ea3ed1ceea37,52.84,53.56,What did you say?,-0.7199999999999989,0.7199999999999989,1,True,True,4
13,5e4b0189cdf5a6011838a6a2,54.14,54.95,My name is Ron.,0.5799999999999983,0.8100000000000023,0,False,False,4
14,5df58b28ecb3ea3ed1ceea37,55.24,55.9,Hi Ron,0.28999999999999915,0.6599999999999966,0,False,False,2
15,5e4b0189cdf5a6011838a6a2,55.64,56.36,Oh,-0.259999999999998,0.7199999999999989,0,False,True,1
16,5df58b28ecb3ea3ed1ceea37,55.9,57.41,I contained. Very nice to meet,-0.46000000000000085,1.509999999999998,0,False,True,6
17,5e4b0189cdf5a6011838a6a2,57.24,57.44,yeah,-0.1699999999999946,0.19999999999999574,0,False,True,1
18,5df58b28ecb3ea3ed1ceea37,57.41,58.36,you.,-0.030000000000001137,0.9500000000000028,0,False,True,1
19,5e4b0189cdf5a6011838a6a2,58.34,62.64,I will bring yeah I couldn't,-0.01999999999999602,4.299999999999997,0,False,True,7
20,5df58b28ecb3ea3ed1ceea37,62.64,62.96,"Yeah,",0.0,0.3200000000000003,0,False,False,1
21,5e4b0189cdf5a6011838a6a2,62.64,63.56,hear your name I'm sorry.,-0.3200000000000003,0.9200000000000017,0,False,True,6
22,5df58b28ecb3ea3ed1ceea37,64.34,64.68,my,0.7800000000000011,0.3400000000000034,0,False,False,1
23,5e4b0189cdf5a6011838a6a2,64.34,64.96,Oh,-0.3400000000000034,0.6199999999999903,0,False,True,1
24,5df58b28ecb3ea3ed1ceea37,64.68,67.0,name is Miller. Can,-0.2799999999999869,2.319999999999993,0,False,True,4
25,5e4b0189cdf5a6011838a6a2,66.74,67.46,taylor.,-0.2600000000000051,0.7199999999999989,0,False,True,1
