3.73;5.96; Hi, can you hear me?;1.00
7.80;10.72;Okay, shall we start now?;1.00
12.58;19.68;Okay, so the topic that I want to talk to you to discuss with you is about the tax amnesty.;1.00
20.36;33.53;So tax amnesty is usually to take the tax of a fader back to the system so they can pay their tax like;1.00
34.79;38.59; they have to follow the rule.;1.00
38.99;48.84;So the reason I talk about the tax amnesty is because I think you've heard about the Panama Papers.;1.00
50.60;55.19;Yeah.;1.00
57.53;57.97;Yeah.;1.00
58.55;61.73;And some of Indonesian is also on that paper.;1.00
62.34;70.06; Like maybe you heard about the gems Riyadi and Eka Ciptam Wijaya.;1.00
71.35;72.51;You never heard, okay.;1.00
72.61;82.53;And one, maybe the last one is you've heard about San Diego Uno that want to run for the governor in Jakarta, no?;1.00
87.26;90.18; No, oh my, so, okay, okay.;1.00
90.68;95.40;So their names are also among the, in the Panama Papers.;1.00
95.50;116.65;So before the, so no, so they, most of these people, they have like corporate in tax haven country, tax haven country is, tax haven, tax haven country, like Panama,;1.00
118.41;125.15; they have a very low or sometimes 0% of tax.;1.00
125.75;131.91;So they don't tax people who put their money in that country.;1.00
132.41;138.63;So some of Indonesians also have corporate in that country.;1.00
142.86;145.42;It's legal if they;1.00
146.49;151.07; declare that they have the corporate in that country.;1.00
151.73;154.96;So they like, how to say it?;1.00
156.34;163.82;They report that they have a wealth, that they have a foreign corporate in their tax return.;1.00
163.84;165.78;So it's legal if they declare that they have this.;1.00
165.86;174.24;But if they report it, do they have to pay more tax in their own country?;1.00
174.82;198.90; it's we have to look again whether they have to pay more tax or not so the important the important thing yeah that's the question that's the question most most of the of these people they they want to avoid tax in their home country so what;1.00
200.40;207.53; The thing is that Indonesian government, they want to take this law, tax amnesty.;1.00
208.07;216.51;So they know that many of Indonesian, they have money in the foreign country to avoid tax in Indonesia.;1.00
216.87;223.76;So they want to bring back the money of these people.;1.00
223.80;227.10;So the government want them to invest;1.00
230.01;230.91; in Indonesia.;1.00
231.31;250.85;So they have to declare that they have this certain amount of money in foreign country and bring it back to Indonesia by paying like, I think it's the plan is like between 1 to 5% of this money.;1.00
251.75;257.75;If they want to bring this money back to Indonesia, they only have to pay like;1.00
258.22;259.50; one to five percent, yeah.;1.00
259.88;263.36;So it's less than the tax rate in Indonesia.;1.00
270.51;272.31;Yeah, that's the purpose.;1.00
272.85;276.03;So what do you think about this kind of plan?;1.00
276.13;276.45;Do you?;1.00
276.47;284.18;I think it's quite solid, though, because I think assuming people;1.00
308.37;312.71; so so if you the one that have this wealth;1.00
313.79;320.18; outside Indonesia, will you consider to participate in this policy or not?;1.00
320.92;330.97;But if I participate in the policy, I pay less tax in India compared to abroad, right?;1.00
330.99;341.94;Yeah, there are also requirements that after you bring back your money and pay a certain amount of tax, you have to agree to tax compensation.;1.00
348.78;360.96; So if they want to participate in this policy, they have to bring the money back and they have to invest, whether it's by buying the government bond.;1.00
361.85;370.55;So they also participate in financing the country and things like that.;1.00
371.71;372.43;So that's...;1.00
377.16;390.21; I probably might have to think really hard because it depends on how much tax I'm saving on and how much illiquid assets I have to put into investing in the country.;1.00
390.25;398.01;Because let's say by participating in a policy, I'm saving, let's just say, five gold bars.;1.00
398.05;401.53;And then I have to invest 10 gold bars in.;1.00
417.44;433.97; Okay, so the other things about this money that usually Indonesian people put in a foreign country, it's also because the money, the source of the money is usually it's not legal.;1.00
434.63;456.41; So maybe, so I don't know, there is a controversy about this thing because if it's from the illegal source, so I think some of the, yeah, Indonesian think that they have to go like process the law, yeah.;1.00
457.23;460.83;So they shouldn't be like,;1.00
461.46;470.28; only pay certain amount of money and then they can go away with their obligation with the law or things like that, they already, yeah, broke, yes.;1.00
470.30;470.56;So what?;1.00
470.58;470.64;Hmm.;1.00
470.66;490.58;So I don't know, I think like, even though it's illegal, I think like, it's actually quite difficult and very time consuming in the institution court to convict someone of like, something that is illegal and you're guilty.;1.00
506.73;516.00; Yeah, I think that's the things that I want to talk about, the tax amnesty.;1.00
516.30;519.22;It's not really that detailed, but;1.00
519.74;540.19; uh because of the panama papers it's yeah on the news so i think yeah many of uh people they want to yeah okay let's uh go with this tax amnesty then let's hope that uh other yeah this uh people who have wealth yeah in a foreign country they can bring back them;1.00
546.08;552.44; Okay, even if the tax amnesty, even if it's dirty money, in my opinion, money is still money.;1.00
552.48;553.38;We could really use the money.;1.00
553.40;564.37;Rather than having people locked up and not having the money, I would think as long as the money could be used, I think it would still be better in the long run.;1.00
564.64;570.57;Even if the government gets the money, we don't know if we're going to actually invest;1.00
573.18;577.28; Oh, yeah, let's hope for the best, for the best thing.;1.00
577.72;581.81;I think, yeah, that's all I want to talk about the text, I must say.;1.00
582.05;591.63;Shall we move to the, or wait for... Oh, okay, okay, let's stop then.;1.00
591.65;593.50;All right, okay.;1.00
