turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5de33ff0cc246f3633dc01d2,8.74,101.86,"Alright, memos? Yeah, yeah. Mhm. That's what Now? minutes. Oh, oh, 25 minutes. Hands on me. You're a timer. Mhm Uh huh. So we need a timer. 30 minutes. All right. Yeah, I would set that sucker. Er jesus, Would you want someone more positive? Okay, Yeah, mm hmm. All right, what girl? Okay, I'm going. Mhm. Really? Yeah, yeah. Uh huh Uh huh.",,93.12,5,False,False,67
1,5977e3867412f8000194e1fe,108.64,109.06,Mhm.,6.780000000000001,0.4200000000000017,0,False,False,1
2,5de33ff0cc246f3633dc01d2,109.94,110.86,You,0.8799999999999955,0.9200000000000017,0,False,False,1
3,5977e3867412f8000194e1fe,111.24,111.56,Yeah.,0.37999999999999545,0.3200000000000074,0,False,False,1
4,5de33ff0cc246f3633dc01d2,111.44,112.85,right?,-0.12000000000000455,1.4099999999999966,1,True,True,1
5,5977e3867412f8000194e1fe,112.64,112.96,Mhm.,-0.20999999999999375,0.3199999999999932,0,False,True,1
6,5de33ff0cc246f3633dc01d2,114.24,119.55,"Nice to see. I'm James, I wonder what your name is,",1.2800000000000011,5.310000000000002,0,False,False,12
7,5977e3867412f8000194e1fe,120.14,120.73,Hey,0.5900000000000034,0.5900000000000034,0,False,False,1
8,5de33ff0cc246f3633dc01d2,120.54,121.43,Okay.,-0.18999999999999773,0.8900000000000006,0,False,True,1
9,5977e3867412f8000194e1fe,120.74,121.85,can hear me.,-0.6900000000000119,1.1099999999999994,0,False,True,3
10,5de33ff0cc246f3633dc01d2,121.44,123.75,"Yeah, I can hear you. Can you hear me?",-0.4099999999999966,2.3100000000000023,1,True,True,9
11,5977e3867412f8000194e1fe,123.94,124.3,Yeah,0.18999999999999773,0.35999999999999943,0,False,False,1
12,5de33ff0cc246f3633dc01d2,124.24,125.84,Yeah.,-0.060000000000002274,1.6000000000000085,0,False,True,1
13,5977e3867412f8000194e1fe,124.3,125.26,I can hear you now,-1.5400000000000063,0.960000000000008,0,False,True,5
14,5de33ff0cc246f3633dc01d2,126.94,136.86,All right. So we've got to do at least 25 minutes and what I've done is I've set a timer for 30 minutes just to be safe. Uh I guess we can start it now,1.6799999999999926,9.920000000000016,0,False,False,38
15,5977e3867412f8000194e1fe,137.04,137.55,sure.,0.1799999999999784,0.5100000000000193,0,False,False,1
16,5de33ff0cc246f3633dc01d2,137.34,137.87,"sure,",-0.21000000000000796,0.5300000000000011,0,False,True,1
17,5977e3867412f8000194e1fe,137.56,137.92,Yeah we're,-0.3100000000000023,0.3599999999999852,0,False,True,3
18,5de33ff0cc246f3633dc01d2,137.88,138.25,"Yeah,",-0.03999999999999204,0.37000000000000455,0,False,True,1
19,5977e3867412f8000194e1fe,137.92,138.36,good.,-0.3300000000000125,0.44000000000002615,0,False,True,1
20,5de33ff0cc246f3633dc01d2,139.44,143.56,"Okay, so uh how are you",1.079999999999984,4.1200000000000045,0,False,False,6
21,5977e3867412f8000194e1fe,143.94,144.76,I'm hanging,0.37999999999999545,0.8199999999999932,0,False,False,3
22,5de33ff0cc246f3633dc01d2,144.54,146.65,I'm,-0.21999999999999886,2.1100000000000136,0,False,True,2
23,5977e3867412f8000194e1fe,144.76,145.86,in there. How are you doing?,-1.8900000000000148,1.1000000000000227,1,True,True,6
24,5de33ff0cc246f3633dc01d2,146.65,155.56,"doing? I'm doing all right. Um it's nice outside, but I I'm really not in the mood to go out, it's kind, it's kind of kind of chilly here where",0.789999999999992,8.909999999999997,1,False,False,35
25,5977e3867412f8000194e1fe,155.34,155.76,Mhm.,-0.21999999999999886,0.4199999999999875,0,False,True,1
26,5de33ff0cc246f3633dc01d2,155.56,157.65,"I am, by the way, I'm James.",-0.19999999999998863,2.0900000000000034,0,False,True,8
27,5977e3867412f8000194e1fe,157.84,158.21,That,0.18999999999999773,0.37000000000000455,0,False,False,1
28,5de33ff0cc246f3633dc01d2,158.14,159.16,Uh,-0.0700000000000216,1.0200000000000102,0,False,True,1
29,5977e3867412f8000194e1fe,158.21,160.15,chance I'm hiding. How you doing?,-0.9499999999999886,1.9399999999999977,1,True,True,7
30,5de33ff0cc246f3633dc01d2,159.74,160.85,"Adam, Nice to meet you.",-0.4099999999999966,1.1099999999999852,0,False,True,5
31,5977e3867412f8000194e1fe,160.94,161.49,Nice to meet,0.09000000000000341,0.5500000000000114,0,False,False,3
32,5de33ff0cc246f3633dc01d2,161.34,162.42,Uh,-0.15000000000000568,1.079999999999984,0,False,True,1
33,5977e3867412f8000194e1fe,161.49,161.75,you.,-0.9299999999999784,0.2599999999999909,0,False,True,1
34,5de33ff0cc246f3633dc01d2,162.43,165.26,"So so what do you, what do you got planned for the weekend? Anything",0.6800000000000068,2.829999999999984,1,False,False,14
35,5977e3867412f8000194e1fe,166.14,167.46,Um,0.8799999999999955,1.3200000000000216,0,False,False,1
36,5de33ff0cc246f3633dc01d2,166.44,166.95,"right,",-1.0200000000000102,0.5099999999999909,0,False,True,1
37,5977e3867412f8000194e1fe,168.14,168.9,Not,1.1899999999999977,0.7600000000000193,0,False,False,1
38,5de33ff0cc246f3633dc01d2,168.54,171.26,exactly,-0.36000000000001364,2.719999999999999,0,False,True,1
39,5977e3867412f8000194e1fe,168.91,171.76,a ton,-2.3499999999999943,2.8499999999999943,0,False,True,2
40,5de33ff0cc246f3633dc01d2,171.27,172.86,the same situation.,-0.4899999999999807,1.5900000000000034,0,False,True,3
41,5977e3867412f8000194e1fe,173.24,174.66,sitting,0.37999999999999545,1.4199999999999875,0,False,False,1
42,5de33ff0cc246f3633dc01d2,173.44,174.36,Um,-1.2199999999999989,0.9200000000000159,0,False,True,1
43,5977e3867412f8000194e1fe,174.66,174.75,at,0.29999999999998295,0.09000000000000341,0,False,False,1
44,5de33ff0cc246f3633dc01d2,174.74,174.94,Yeah.,-0.009999999999990905,0.19999999999998863,0,False,True,1
45,5977e3867412f8000194e1fe,174.75,175.96,the house.,-0.18999999999999773,1.210000000000008,0,False,True,2
46,5de33ff0cc246f3633dc01d2,176.24,178.96,Is it at least comfortable or?,0.28000000000000114,2.719999999999999,1,True,False,6
47,5977e3867412f8000194e1fe,179.34,179.76,Yeah,0.37999999999999545,0.4199999999999875,0,False,False,1
