turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e97af0bca82b6278c859323,15.94,653.56,"Yeah. Okay. Yeah. Yeah. Okay. Okay. I don't know. Oh, mm. Yeah. Yeah. Yes. Yeah. Mhm. Like okay. Yeah. Yeah. Yeah. Yeah. Okay. Yeah. Okay. Yeah. Mhm. Sorry? Yeah. Yeah. Mhm. No. Okay. Yeah. Okay. Okay. Okay. Yeah. Right. Okay. Yeah, wow. Yeah. Mhm. Yeah. Yeah. It's, yeah. Okay. This one I'm definitely this one. Yeah. Weird. Okay. Yeah. Yeah. Okay. All right. This one. Mhm. Mhm. Okay. Mhm. Mhm, mm. Shit. Mhm. Okay. Mhm. Mhm inspections. Yeah. Mhm. Okay. Okay. Okay, correct. I don't like this. Mhm. Yeah. Yeah. Yeah. Yeah. Mhm. Shit. What? Yes. Yes. Yeah. Again we just okay. Yeah. Uh huh. Yeah. Yeah. Okay. To be like that. Mhm. Thank you. Yeah. Oh, okay. Mhm. Yeah. Okay. Just a big okay. Magic tricks. I see. Yeah. Right. Yeah. Yes. She wants jesus man. Mhm. Sure. Yeah. Yeah. Yes. Yeah. Yeah. Uh huh. Uh huh. Hey, you are. Mm. What? Mhm. Mhm. Nothing. Well. Uh huh. Right. Mhm. About? Uh huh. Mhm. Yeah. Yeah. Okay. Yeah. Okay. Mhm. Yeah. Yeah. Mhm. Yeah. Okay. Okay. The door. Mhm Okay. Yeah, just a little bit. Thanks. Uh huh Yeah. Uh huh Yeah, You know about Yeah. Yeah. Mhm Me? Yeah. Yeah. Mhm Yeah,",,637.6199999999999,5,False,False,208
1,5e4aedd76f4883000e48bfe4,665.44,665.95,Hello.,11.88000000000011,0.5099999999999909,0,False,False,1
2,5e97af0bca82b6278c859323,666.14,668.96,"I can't believe you showed up. This is my third,",0.18999999999994088,2.82000000000005,0,False,False,11
3,5e4aedd76f4883000e48bfe4,668.64,668.96,Uh huh,-0.32000000000005,0.32000000000005,0,False,True,2
4,5e97af0bca82b6278c859323,669.84,670.86,"sorry,",0.8799999999999955,1.0199999999999818,0,False,False,1
5,5e4aedd76f4883000e48bfe4,670.14,671.16,Or your 3rd wine?,-0.7200000000000273,1.0199999999999818,1,True,True,4
6,5e97af0bca82b6278c859323,671.44,674.17,"Jeff, this is my third time doing this. So I'm kind",0.2800000000000864,2.7299999999999045,0,False,False,12
7,5e4aedd76f4883000e48bfe4,674.04,674.24,Yeah.,-0.12999999999999545,0.20000000000004547,0,False,True,1
8,5e97af0bca82b6278c859323,674.17,676.36,of shocked.,-0.07000000000005002,2.1900000000000546,0,False,True,2
9,5e4aedd76f4883000e48bfe4,675.74,677.04,"Oh, nice. So this",-0.6200000000000045,1.2999999999999545,0,False,True,4
