turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5d10eaf23afd390019075267,12.54,13.16,Uh huh.,,0.620000000000001,0,False,False,2
1,5edff301000fa631c7b5bd3b,13.04,18.75,Hi how are you?,-0.120000000000001,5.710000000000001,1,True,True,4
2,5d10eaf23afd390019075267,16.34,19.25,Yeah. Good hurt you.,-2.41,2.91,0,False,True,4
3,5edff301000fa631c7b5bd3b,18.76,23.35,That's good. Just another day in quarantine.,-0.48999999999999844,4.59,0,False,True,8
4,5d10eaf23afd390019075267,23.14,32.06,Yeah. Yeah I work from home so I also never really relieved.,-0.21000000000000085,8.920000000000002,0,False,True,12
5,5edff301000fa631c7b5bd3b,31.44,33.02,I do as well. I'm usually in the,-0.620000000000001,1.5800000000000018,0,False,True,9
6,5d10eaf23afd390019075267,32.94,33.14,Yeah.,-0.0800000000000054,0.20000000000000284,0,False,True,1
7,5edff301000fa631c7b5bd3b,33.02,35.72,basement but like my I have like the,-0.11999999999999744,2.6999999999999957,0,False,True,8
8,5d10eaf23afd390019075267,35.64,35.84,Uh huh.,-0.0799999999999983,0.20000000000000284,0,False,True,2
9,5edff301000fa631c7b5bd3b,35.72,36.84,worst chair,-0.12000000000000455,1.1200000000000045,0,False,True,2
10,5d10eaf23afd390019075267,36.64,36.84,Yeah,-0.20000000000000284,0.20000000000000284,0,False,True,1
11,5edff301000fa631c7b5bd3b,36.84,40.56,to sit in. It's like a hot pink like plastic chair from IKEa.,0.0,3.719999999999999,0,False,False,14
12,5d10eaf23afd390019075267,40.64,41.56,mm.,0.0799999999999983,0.9200000000000017,0,False,False,1
13,5edff301000fa631c7b5bd3b,41.04,42.86,I need to buy a chair one day,-0.5200000000000031,1.8200000000000003,0,False,True,8
14,5d10eaf23afd390019075267,42.74,44.94,Yeah,-0.11999999999999744,2.1999999999999957,0,False,True,1
15,5edff301000fa631c7b5bd3b,44.14,44.98,wow.,-0.7999999999999972,0.8399999999999963,0,False,True,1
16,5d10eaf23afd390019075267,44.95,48.05,I mean I just work on my couch most of the time so.,-0.02999999999999403,3.0999999999999943,0,False,True,13
17,5edff301000fa631c7b5bd3b,47.64,56.19,"Yeah I didn't do but my it's really funny my bosses like Ashley, why are you always on the sofa? Because like so I think",-0.4099999999999966,8.549999999999997,1,False,True,27
18,5d10eaf23afd390019075267,55.84,56.55,Yeah.,-0.3499999999999943,0.7099999999999937,0,False,True,1
19,5edff301000fa631c7b5bd3b,56.2,60.06,meetings now to my desk because you made like that weird comment.,-0.3499999999999943,3.8599999999999994,0,False,True,12
20,5d10eaf23afd390019075267,60.24,67.94,Yeah. Yeah my my boss has never said anything about it but yeah she may,0.17999999999999972,7.699999999999996,0,False,False,15
21,5edff301000fa631c7b5bd3b,67.94,68.12,Why,0.0,0.18000000000000682,0,False,False,1
22,5d10eaf23afd390019075267,67.94,68.14,think,-0.18000000000000682,0.20000000000000284,0,False,True,1
23,5edff301000fa631c7b5bd3b,68.12,68.32,don't,-0.01999999999999602,0.19999999999998863,0,False,True,2
24,5d10eaf23afd390019075267,68.14,68.66,it's weird.,-0.1799999999999926,0.519999999999996,0,False,True,3
25,5edff301000fa631c7b5bd3b,68.32,74.86,you like about it Actually like the first month of like of quarantine at what was in March like I would just stay on my bed,-0.3400000000000034,6.540000000000006,0,False,True,26
26,5d10eaf23afd390019075267,74.94,76.76,Yeah.,0.0799999999999983,1.8200000000000074,0,False,False,1
27,5edff301000fa631c7b5bd3b,76.74,79.95,but then he was like a cyber head. More. It was so funny.,-0.020000000000010232,3.210000000000008,0,False,True,13
28,5d10eaf23afd390019075267,80.04,81.96,Yeah that's funny.,0.09000000000000341,1.9199999999999875,0,False,False,4
29,5edff301000fa631c7b5bd3b,82.94,83.36,Mm,0.980000000000004,0.4200000000000017,0,False,False,1
30,5d10eaf23afd390019075267,82.94,84.26,Where are you living at?,-0.4200000000000017,1.3200000000000074,1,True,True,5
31,5edff301000fa631c7b5bd3b,85.04,89.85,I live in a suburb of Atlanta in Georgia so,0.7800000000000011,4.809999999999988,0,False,False,10
32,5d10eaf23afd390019075267,89.64,90.3,I'm,-0.20999999999999375,0.6599999999999966,0,False,True,2
33,5edff301000fa631c7b5bd3b,89.85,90.36,we're going,-0.45000000000000284,0.5100000000000051,0,False,True,3
34,5d10eaf23afd390019075267,90.3,91.86,really in Cincinnati right now.,-0.060000000000002274,1.5600000000000023,0,False,True,5
35,5edff301000fa631c7b5bd3b,92.04,92.85,okay.,0.18000000000000682,0.8099999999999881,0,False,False,1
36,5d10eaf23afd390019075267,93.24,93.86,Yeah.,0.39000000000000057,0.6200000000000045,0,False,False,1
37,5edff301000fa631c7b5bd3b,94.04,94.85,Unplanned.,0.18000000000000682,0.8099999999999881,0,False,False,1
38,5d10eaf23afd390019075267,95.14,95.94,Yeah,0.29000000000000625,0.7999999999999972,0,False,False,1
