turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5d1aadf961a40900171f6931,17.24,264.26,"Yeah. Mhm. Okay. Mhm. Oh, but yeah. Yeah. Mhm. Yeah. What? Mhm. Yeah. Yeah. Yeah. Yeah. Oh okay. Oh. Mhm. Yeah. What can you do that? Yeah. Okay, Perfect. I think. Mhm. Yeah. Yeah. Mhm. Mhm. Yeah. Okay. Okay. Okay. What I'm thinking? Mhm. Mhm. Okay. Mhm. Okay. Yeah. Yeah. Mhm. Yeah. Mhm. Yeah. Mhm. Oh",,247.01999999999998,3,False,False,57
1,5ed1e0f7ba6548028fc64722,291.84,292.16,Hello?,27.579999999999984,0.32000000000005,1,True,False,1
2,5d1aadf961a40900171f6931,294.14,294.22,all,1.9799999999999613,0.08000000000004093,0,False,False,1
3,5ed1e0f7ba6548028fc64722,294.14,294.71,You,-0.08000000000004093,0.5699999999999932,0,False,True,1
4,5d1aadf961a40900171f6931,294.22,294.35,right.,-0.48999999999995225,0.12999999999999545,0,False,True,1
5,5ed1e0f7ba6548028fc64722,294.71,295.16,hear me?,0.3599999999999568,0.4500000000000455,1,True,False,2
6,5d1aadf961a40900171f6931,295.74,296.98,"Yes,",0.5799999999999841,1.240000000000009,0,False,False,1
7,5ed1e0f7ba6548028fc64722,296.24,296.56,Mhm.,-0.7400000000000091,0.3199999999999932,0,False,True,1
8,5d1aadf961a40900171f6931,296.98,298.26,I can hear you. Can you hear me?,0.4200000000000159,1.2799999999999727,1,True,False,8
9,5ed1e0f7ba6548028fc64722,298.34,298.84,Yeah.,0.07999999999998408,0.5,0,False,False,1
10,5d1aadf961a40900171f6931,299.14,300.36,"Hey,",0.30000000000001137,1.2200000000000273,0,False,False,1
11,5ed1e0f7ba6548028fc64722,299.34,303.84,Hello?,-1.0200000000000387,4.5,1,True,True,1
12,5d1aadf961a40900171f6931,301.04,304.03,uh it's now 10 PM and we have,-2.7999999999999545,2.9899999999999523,0,False,True,9
13,5ed1e0f7ba6548028fc64722,303.85,307.45,Okay.,-0.17999999999994998,3.599999999999966,0,False,True,1
14,5d1aadf961a40900171f6931,304.03,307.66,to talk for 35 minutes. So are you ready?,-3.420000000000016,3.6300000000000523,1,True,True,9
15,5ed1e0f7ba6548028fc64722,307.46,309.06,Yes.,-0.20000000000004547,1.6000000000000227,0,False,True,1
16,5d1aadf961a40900171f6931,309.34,311.97,Hey? Well this is the third,0.2799999999999727,2.6300000000000523,1,False,False,6
17,5ed1e0f7ba6548028fc64722,311.84,312.25,Yeah.,-0.1300000000000523,0.410000000000025,0,False,True,1
18,5d1aadf961a40900171f6931,311.97,313.05,time I did this study.,-0.2799999999999727,1.079999999999984,0,False,True,5
19,5ed1e0f7ba6548028fc64722,312.94,314.87,I'm really it's,-0.11000000000001364,1.9300000000000068,0,False,True,5
20,5d1aadf961a40900171f6931,314.54,315.46,Yeah.,-0.3299999999999841,0.9199999999999591,0,False,True,1
21,5ed1e0f7ba6548028fc64722,314.87,315.16,cool.,-0.589999999999975,0.29000000000002046,0,False,True,1
22,5d1aadf961a40900171f6931,315.94,316.86,Is this your first time?,0.7799999999999727,0.9200000000000159,1,True,False,5
23,5ed1e0f7ba6548028fc64722,317.24,321.67,"Yeah. It is actually. I got really nervous because I was like, I know they",0.37999999999999545,4.430000000000007,0,False,False,15
24,5d1aadf961a40900171f6931,321.54,321.74,Yeah.,-0.12999999999999545,0.19999999999998863,0,False,True,1
25,5ed1e0f7ba6548028fc64722,321.68,360.84,mentioned like a loss of confidence so I don't know what,-0.060000000000002274,39.15999999999997,0,False,True,12
