turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e08389f67f170185698a2be,4.64,15.75,"Honey. I'm not Oh yeah, okay.",,11.11,0,False,False,7
1,5cc020d5159f790017bee28b,31.54,32.76,Uh huh.,15.79,1.2199999999999989,0,False,False,2
2,5e08389f67f170185698a2be,33.04,34.36,Hello?,0.28000000000000114,1.3200000000000003,1,True,False,1
3,5cc020d5159f790017bee28b,34.74,36.45,Can you hear me and see me?,0.38000000000000256,1.7100000000000009,1,True,False,7
4,5e08389f67f170185698a2be,36.14,37.85,I can hear you and I can see you,-0.3100000000000023,1.7100000000000009,0,False,True,9
5,5cc020d5159f790017bee28b,38.04,39.26,Perfect.,0.18999999999999773,1.2199999999999989,0,False,False,1
6,5e08389f67f170185698a2be,39.14,43.01,great. And I presume the same goes the other,-0.11999999999999744,3.8699999999999974,0,False,True,9
7,5cc020d5159f790017bee28b,42.84,43.29,Yes,-0.1699999999999946,0.44999999999999574,0,False,True,1
8,5e08389f67f170185698a2be,43.01,43.46,winning.,-0.28000000000000114,0.45000000000000284,0,False,True,1
9,5cc020d5159f790017bee28b,43.29,44.05,yes yes,-0.1700000000000017,0.759999999999998,0,False,True,2
10,5e08389f67f170185698a2be,43.84,45.96,Great.,-0.20999999999999375,2.1199999999999974,0,False,True,1
11,5cc020d5159f790017bee28b,44.05,45.06,they're often. Thanks.,-1.9100000000000037,1.0100000000000051,0,False,True,4
12,5e08389f67f170185698a2be,47.54,48.26,Hello?,2.479999999999997,0.7199999999999989,1,True,False,1
13,5cc020d5159f790017bee28b,48.24,52.56,"Hello, do we just start this? I'm not quite sure exactly.",-0.01999999999999602,4.32,1,False,True,12
14,5e08389f67f170185698a2be,51.64,53.37,"Yeah, it doesn't, it doesn't look",-0.9200000000000017,1.7299999999999969,0,False,True,8
15,5cc020d5159f790017bee28b,53.34,53.54,Yeah.,-0.02999999999999403,0.19999999999999574,0,False,True,1
16,5e08389f67f170185698a2be,53.37,60.96,like they want us to talk about anything in particular. So I think we can just start it said there was going to be a timer. I don't see a timer anywhere.,-0.1700000000000017,7.590000000000003,0,False,True,33
17,5cc020d5159f790017bee28b,60.84,61.64,Um,-0.11999999999999744,0.7999999999999972,0,False,True,1
18,5e08389f67f170185698a2be,60.96,61.76,Do you see a timer?,-0.6799999999999997,0.7999999999999972,1,True,True,5
19,5cc020d5159f790017bee28b,61.65,69.2,"There is a timer if you look on the the prior page, the one that had um the instructions I think if you scroll",-0.10999999999999943,7.550000000000004,0,False,True,24
20,5e08389f67f170185698a2be,69.04,70.06,Okay.,-0.1599999999999966,1.019999999999996,0,False,True,1
21,5cc020d5159f790017bee28b,69.2,72.19,that to the bottom of that it,-0.8599999999999994,2.989999999999995,0,False,True,7
22,5e08389f67f170185698a2be,72.14,72.34,"Yeah,",-0.04999999999999716,0.20000000000000284,0,False,True,1
23,5cc020d5159f790017bee28b,72.19,72.95,has a,-0.15000000000000568,0.7600000000000051,0,False,True,2
24,5e08389f67f170185698a2be,73.04,73.46,"mm,",0.09000000000000341,0.4199999999999875,0,False,False,1
25,5cc020d5159f790017bee28b,73.74,74.46,um,0.28000000000000114,0.7199999999999989,0,False,False,1
26,5e08389f67f170185698a2be,74.24,75.25,"Yeah, I",-0.21999999999999886,1.0100000000000051,0,False,True,2
27,5cc020d5159f790017bee28b,75.14,75.46,so.,-0.10999999999999943,0.3199999999999932,0,False,True,1
28,5e08389f67f170185698a2be,75.25,77.46,"don't see it, but I trust that it's there.",-0.20999999999999375,2.2099999999999937,0,False,True,11
