turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5eeb9d5c417b5b34b8ceed17,4.64,12.75,"wondering? Yeah. That Hi,",,8.11,1,False,False,4
1,5e8e4fc4bb7e470d85c008e5,12.54,12.99,"Hi,",-0.21000000000000085,0.45000000000000107,0,False,True,1
2,5eeb9d5c417b5b34b8ceed17,12.81,13.36,how,-0.17999999999999972,0.5499999999999989,0,False,True,1
3,5e8e4fc4bb7e470d85c008e5,13.0,13.62,how,-0.35999999999999943,0.6199999999999992,0,False,True,1
4,5eeb9d5c417b5b34b8ceed17,13.36,13.86,are you?,-0.2599999999999998,0.5,1,True,True,2
5,5e8e4fc4bb7e470d85c008e5,13.62,15.36,are you? I'm good.,-0.2400000000000002,1.7400000000000002,1,False,True,5
6,5eeb9d5c417b5b34b8ceed17,15.64,15.96,Mhm.,0.28000000000000114,0.3200000000000003,0,False,False,1
7,5e8e4fc4bb7e470d85c008e5,15.74,16.47,Are,-0.22000000000000064,0.7299999999999986,0,False,True,1
8,5eeb9d5c417b5b34b8ceed17,16.34,16.84,Yeah.,-0.129999999999999,0.5,0,False,True,1
9,5e8e4fc4bb7e470d85c008e5,16.47,18.56,we all working? Can you hear me? All good?,-0.370000000000001,2.09,3,True,True,9
10,5eeb9d5c417b5b34b8ceed17,18.64,19.52,"Yes. Again,",0.08000000000000185,0.879999999999999,0,False,False,2
11,5e8e4fc4bb7e470d85c008e5,19.44,19.85,Yes,-0.0799999999999983,0.41000000000000014,0,False,True,1
12,5eeb9d5c417b5b34b8ceed17,19.52,19.87,can you hear,-0.33000000000000185,0.3500000000000014,0,False,True,3
13,5e8e4fc4bb7e470d85c008e5,19.85,20.23,"again,",-0.019999999999999574,0.379999999999999,0,False,True,1
14,5eeb9d5c417b5b34b8ceed17,19.87,20.16,me?,-0.35999999999999943,0.28999999999999915,1,True,True,1
15,5e8e4fc4bb7e470d85c008e5,20.23,21.24,Can you hear me? Yep.,0.07000000000000028,1.009999999999998,1,False,False,5
16,5eeb9d5c417b5b34b8ceed17,20.94,21.15,Thanks.,-0.29999999999999716,0.2099999999999973,0,False,True,1
17,5e8e4fc4bb7e470d85c008e5,21.25,23.94,You're all good Alright,0.10000000000000142,2.6900000000000013,0,False,False,5
18,5eeb9d5c417b5b34b8ceed17,23.14,24.16,"All right, great.",-0.8000000000000007,1.0199999999999996,0,False,True,3
19,5e8e4fc4bb7e470d85c008e5,23.95,25.71,Great. Alright,-0.21000000000000085,1.7600000000000016,0,False,True,2
20,5eeb9d5c417b5b34b8ceed17,24.84,25.0,Yeah.,-0.870000000000001,0.16000000000000014,0,False,True,1
21,5e8e4fc4bb7e470d85c008e5,25.71,26.96,so 25 minutes,0.7100000000000009,1.25,0,False,False,3
22,5eeb9d5c417b5b34b8ceed17,26.74,27.06,Right,-0.22000000000000242,0.3200000000000003,0,False,True,1
23,5e8e4fc4bb7e470d85c008e5,26.96,28.86,you go first. Mhm.,-0.09999999999999787,1.8999999999999986,0,False,True,4
24,5eeb9d5c417b5b34b8ceed17,29.24,30.81,uh,0.379999999999999,1.5700000000000003,0,False,False,1
25,5e8e4fc4bb7e470d85c008e5,29.54,31.29,Uh,-1.2699999999999996,1.75,0,False,True,1
26,5eeb9d5c417b5b34b8ceed17,30.82,31.43,I'm,-0.46999999999999886,0.6099999999999994,0,False,True,2
27,5e8e4fc4bb7e470d85c008e5,31.3,31.72,I'm,-0.129999999999999,0.41999999999999815,0,False,True,2
28,5eeb9d5c417b5b34b8ceed17,31.43,31.82,pretty,-0.28999999999999915,0.39000000000000057,0,False,True,1
29,5e8e4fc4bb7e470d85c008e5,31.72,32.14,pretty,-0.10000000000000142,0.4200000000000017,0,False,True,1
30,5eeb9d5c417b5b34b8ceed17,31.82,32.17,uh it's,-0.3200000000000003,0.3500000000000014,0,False,True,3
31,5e8e4fc4bb7e470d85c008e5,32.15,32.46,it's,-0.020000000000003126,0.3100000000000023,0,False,True,2
32,5eeb9d5c417b5b34b8ceed17,32.17,32.47,nice to,-0.28999999999999915,0.29999999999999716,0,False,True,2
33,5e8e4fc4bb7e470d85c008e5,32.46,32.72,nice,-0.00999999999999801,0.259999999999998,0,False,True,1
34,5eeb9d5c417b5b34b8ceed17,32.47,33.35,meet you.,-0.25,0.8800000000000026,0,False,True,2
35,5e8e4fc4bb7e470d85c008e5,32.72,34.33,"with you. Yeah, I'm jeremy, nice",-0.6300000000000026,1.6099999999999994,0,False,True,7
36,5eeb9d5c417b5b34b8ceed17,34.24,34.45,"Right,",-0.0899999999999963,0.21000000000000085,0,False,True,1
37,5e8e4fc4bb7e470d85c008e5,34.33,35.36,to meet you too.,-0.12000000000000455,1.0300000000000011,0,False,True,4
38,5eeb9d5c417b5b34b8ceed17,36.04,36.25,"okay,",0.6799999999999997,0.21000000000000085,0,False,False,1
39,5e8e4fc4bb7e470d85c008e5,36.14,37.06,Where are you from?,-0.10999999999999943,0.9200000000000017,1,True,True,4
40,5eeb9d5c417b5b34b8ceed17,38.44,38.91,um,1.3799999999999955,0.46999999999999886,0,False,False,1
41,5e8e4fc4bb7e470d85c008e5,38.64,39.17,Um,-0.269999999999996,0.5300000000000011,0,False,True,1
42,5eeb9d5c417b5b34b8ceed17,38.92,39.86,"Virginia,",-0.25,0.9399999999999977,0,False,True,1
43,5e8e4fc4bb7e470d85c008e5,39.18,39.95,Virginia,-0.6799999999999997,0.7700000000000031,0,False,True,1
44,5eeb9d5c417b5b34b8ceed17,39.87,40.17,What,-0.0800000000000054,0.30000000000000426,0,False,True,1
45,5e8e4fc4bb7e470d85c008e5,39.96,41.03,Virginia,-0.21000000000000085,1.0700000000000003,0,False,True,1
46,5eeb9d5c417b5b34b8ceed17,40.17,41.35,about you?,-0.8599999999999994,1.1799999999999997,1,True,True,2
47,5e8e4fc4bb7e470d85c008e5,41.04,48.56,nice Kansas like just outside of Wichita. Not that you probably know where that is but you know it's flyover country here so,-0.3100000000000023,7.520000000000003,0,False,True,24
48,5eeb9d5c417b5b34b8ceed17,49.84,50.51,I don't,1.2800000000000011,0.6699999999999946,0,False,False,3
49,5e8e4fc4bb7e470d85c008e5,50.34,50.53,I,-0.1699999999999946,0.18999999999999773,0,False,True,1
50,5eeb9d5c417b5b34b8ceed17,50.51,50.62,but,-0.020000000000003126,0.10999999999999943,0,False,True,1
51,5e8e4fc4bb7e470d85c008e5,50.53,50.8,don't,-0.0899999999999963,0.269999999999996,0,False,True,2
52,5eeb9d5c417b5b34b8ceed17,50.62,50.83,that's,-0.17999999999999972,0.21000000000000085,0,False,True,2
53,5e8e4fc4bb7e470d85c008e5,50.8,50.91,but,-0.030000000000001137,0.10999999999999943,0,False,True,1
54,5eeb9d5c417b5b34b8ceed17,50.83,51.3,nice.,-0.0799999999999983,0.46999999999999886,0,False,True,1
55,5e8e4fc4bb7e470d85c008e5,50.91,51.59,that's nice.,-0.39000000000000057,0.6800000000000068,0,False,True,3
56,5eeb9d5c417b5b34b8ceed17,51.31,52.45,Um,-0.28000000000000114,1.1400000000000006,0,False,True,1
57,5e8e4fc4bb7e470d85c008e5,51.6,52.76,Um,-0.8500000000000014,1.1599999999999966,0,False,True,1
58,5eeb9d5c417b5b34b8ceed17,53.24,53.75,How's,0.480000000000004,0.509999999999998,0,False,False,2
59,5e8e4fc4bb7e470d85c008e5,53.54,54.03,How's,-0.21000000000000085,0.490000000000002,0,False,True,2
60,5eeb9d5c417b5b34b8ceed17,53.75,54.26,the weather?,-0.28000000000000114,0.509999999999998,1,True,True,2
61,5e8e4fc4bb7e470d85c008e5,54.03,54.52,the weather,-0.22999999999999687,0.490000000000002,0,False,True,2
62,5eeb9d5c417b5b34b8ceed17,54.26,54.81,Is it,-0.2600000000000051,0.5500000000000043,0,False,True,2
63,5e8e4fc4bb7e470d85c008e5,54.52,55.13,is it?,-0.28999999999999915,0.6099999999999994,1,True,True,2
64,5eeb9d5c417b5b34b8ceed17,54.82,55.15,super,-0.3100000000000023,0.3299999999999983,0,False,True,1
65,5e8e4fc4bb7e470d85c008e5,55.14,55.47,"Alright,",-0.00999999999999801,0.3299999999999983,0,False,True,1
66,5eeb9d5c417b5b34b8ceed17,55.15,55.85,hotter?,-0.3200000000000003,0.7000000000000028,1,True,True,1
67,5e8e4fc4bb7e470d85c008e5,55.48,57.16,"stormed, stormed all",-0.37000000000000455,1.6799999999999997,0,False,True,3
68,5eeb9d5c417b5b34b8ceed17,57.04,57.25,Right.,-0.11999999999999744,0.21000000000000085,0,False,True,1
69,5e8e4fc4bb7e470d85c008e5,57.16,60.15,"day. We're out, we were picking up my wife and I were picking",-0.09000000000000341,2.990000000000002,0,False,True,14
70,5eeb9d5c417b5b34b8ceed17,59.94,60.17,Oh,-0.21000000000000085,0.23000000000000398,0,False,True,1
71,5e8e4fc4bb7e470d85c008e5,60.15,60.35,up,-0.020000000000003126,0.20000000000000284,0,False,True,1
72,5eeb9d5c417b5b34b8ceed17,60.18,60.65,gosh.,-0.1700000000000017,0.46999999999999886,0,False,True,1
73,5e8e4fc4bb7e470d85c008e5,60.35,73.87,"a bed and uh we went in town you know took the truck, took the old matches back, got a new one and like why were there? It's like all of a sudden this this thunderstorm pops up so it's like where",-0.29999999999999716,13.520000000000003,1,False,True,44
