turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5d949970ca12280014908f72,11.74,86.14,"Mhm Okay. Thanks. Mhm No, because a lot of time. Uh huh Uh huh. Exactly. Mhm Okay. Mhm. Yeah. Mhm. Mhm Okay. The people, yeah.",,74.4,0,False,False,25
1,596fea64a5c32a0001584755,106.74,107.45,Uh huh.,20.599999999999994,0.710000000000008,0,False,False,2
2,5d949970ca12280014908f72,107.54,109.55,Hi there. How are you?,0.09000000000000341,2.009999999999991,1,True,False,5
3,596fea64a5c32a0001584755,110.04,111.44,I'm good. How? Yeah,0.4900000000000091,1.3999999999999915,1,False,False,5
4,5d949970ca12280014908f72,111.54,118.35,Good. So I'm not sure if we're just supposed to talk or if there's any directions.,0.10000000000000853,6.809999999999988,0,False,False,19
5,596fea64a5c32a0001584755,118.84,122.26,I think there was no directions. We're just supposed to like,0.4900000000000091,3.4200000000000017,0,False,False,12
6,5d949970ca12280014908f72,122.04,122.86,"Mhm, mm",-0.21999999999999886,0.8199999999999932,0,False,True,2
7,596fea64a5c32a0001584755,122.84,123.28,talk,-0.01999999999999602,0.4399999999999977,0,False,True,1
8,5d949970ca12280014908f72,122.86,123.36,hmm.,-0.4200000000000017,0.5,0,False,True,1
9,596fea64a5c32a0001584755,123.28,125.06,about whatever.,-0.0799999999999983,1.7800000000000011,0,False,True,2
10,5d949970ca12280014908f72,125.24,128.45,Okay. Sounds good to me.,0.1799999999999926,3.2099999999999937,0,False,False,5
11,596fea64a5c32a0001584755,127.74,129.36,Okay,-0.7099999999999937,1.6200000000000188,0,False,True,1
12,5d949970ca12280014908f72,129.34,132.76,"So I, I guess you are american.",-0.020000000000010232,3.4199999999999875,0,False,True,7
13,596fea64a5c32a0001584755,133.14,135.15,I am american.,0.37999999999999545,2.0100000000000193,0,False,False,3
14,5d949970ca12280014908f72,134.24,135.83,Okay. We have the same,-0.9099999999999966,1.5900000000000034,0,False,True,5
15,596fea64a5c32a0001584755,135.64,135.98,Here's,-0.19000000000002615,0.3400000000000034,0,False,True,2
16,5d949970ca12280014908f72,135.83,136.08,type,-0.14999999999997726,0.25,0,False,True,1
17,596fea64a5c32a0001584755,135.98,136.43,some,-0.10000000000002274,0.45000000000001705,0,False,True,1
18,5d949970ca12280014908f72,136.08,138.05,of speed.,-0.3499999999999943,1.9699999999999989,0,False,True,2
19,596fea64a5c32a0001584755,136.44,139.15,like you're also american,-1.6100000000000136,2.710000000000008,0,False,True,5
20,5d949970ca12280014908f72,138.84,141.27,Yes. Indeed. What,-0.3100000000000023,2.430000000000007,0,False,True,3
21,596fea64a5c32a0001584755,140.54,140.86,right?,-0.7300000000000182,0.3200000000000216,1,True,True,1
22,5d949970ca12280014908f72,141.27,142.05,state are you in?,0.4099999999999966,0.7800000000000011,1,True,False,4
23,596fea64a5c32a0001584755,142.44,144.56,I'm in Oregon. I live in Portland.,0.38999999999998636,2.1200000000000045,0,False,False,8
24,5d949970ca12280014908f72,144.84,148.3,Okay. I am in Arizona so,0.28000000000000114,3.460000000000008,0,False,False,6
25,596fea64a5c32a0001584755,147.44,148.24,Uh huh.,-0.8600000000000136,0.8000000000000114,0,False,True,2
26,5d949970ca12280014908f72,148.31,150.36,it's a lot harder for me than it is for you.,0.06999999999999318,2.0500000000000114,0,False,False,12
27,596fea64a5c32a0001584755,150.74,151.14,Oh,0.37999999999999545,0.39999999999997726,0,False,False,1
28,5d949970ca12280014908f72,151.04,152.36,Mhm,-0.09999999999999432,1.3200000000000216,0,False,True,1
29,596fea64a5c32a0001584755,151.14,154.38,man. Yeah we've been getting a little bit of a heat,-1.2200000000000273,3.240000000000009,0,False,True,12
30,5d949970ca12280014908f72,154.14,154.35,Right.,-0.2400000000000091,0.21000000000000796,0,False,True,1
31,596fea64a5c32a0001584755,154.38,154.83,wave.,0.030000000000001137,0.45000000000001705,0,False,False,1
32,5d949970ca12280014908f72,154.74,155.06,"Yeah,",-0.09000000000000341,0.3199999999999932,0,False,True,1
33,596fea64a5c32a0001584755,154.84,157.16,But Arizona,-0.21999999999999886,2.319999999999993,0,False,True,2
34,5d949970ca12280014908f72,155.94,159.36,it's a whole different ball game.,-1.2199999999999989,3.420000000000016,0,False,True,7
35,596fea64a5c32a0001584755,159.84,162.64,I like went to Arizona on a road trip once,0.47999999999998977,2.799999999999983,0,False,False,10
36,5d949970ca12280014908f72,162.44,162.64,Yeah.,-0.19999999999998863,0.19999999999998863,0,False,True,1
37,596fea64a5c32a0001584755,162.64,164.85,when I was a very little child,0.0,2.210000000000008,0,False,False,7
38,5d949970ca12280014908f72,165.34,165.59,What?,0.4900000000000091,0.25,1,True,False,1
39,596fea64a5c32a0001584755,165.34,167.24,and the only thing I remember is how,-0.25,1.9000000000000057,0,False,True,8
40,5d949970ca12280014908f72,167.14,167.35,Mhm,-0.10000000000002274,0.21000000000000796,0,False,True,1
41,596fea64a5c32a0001584755,167.24,168.25,hot it was.,-0.10999999999998522,1.009999999999991,0,False,True,3
42,5d949970ca12280014908f72,168.24,181.06,"Yeah, it is. Once you're here, I didn't grow up here. I've been here maybe 12 or 13 years. Um and you get used to it. You really do. Like I had that Era. I think it's probably gonna be up to 100 today and I had the",-0.009999999999990905,12.819999999999993,0,False,True,53
43,596fea64a5c32a0001584755,180.94,181.18,Well,-0.12000000000000455,0.2400000000000091,0,False,True,1
44,5d949970ca12280014908f72,181.06,181.3,air,-0.12000000000000455,0.2400000000000091,0,False,True,1
45,596fea64a5c32a0001584755,181.19,181.31,you,-0.11000000000001364,0.12000000000000455,0,False,True,1
46,5d949970ca12280014908f72,181.3,181.99,on.,-0.009999999999990905,0.6899999999999977,0,False,True,1
47,596fea64a5c32a0001584755,181.31,181.86,"know,",-0.6800000000000068,0.5500000000000114,0,False,True,1
48,5d949970ca12280014908f72,182.0,183.14,I know.,0.13999999999998636,1.1399999999999864,0,False,False,2
49,596fea64a5c32a0001584755,182.44,182.64,yeah,-0.6999999999999886,0.19999999999998863,0,False,True,1
50,5d949970ca12280014908f72,183.15,192.45,"Um and I was cold. I had to put it up. I couldn't like even at like 79, I was like, Oh, I can't do it.",0.5100000000000193,9.299999999999983,0,False,False,28
51,596fea64a5c32a0001584755,190.64,193.91,guests. Well I'm just,-1.8100000000000023,3.2700000000000102,0,False,True,5
52,5d949970ca12280014908f72,193.64,194.14,Yeah.,-0.27000000000001023,0.5,0,False,True,1
53,596fea64a5c32a0001584755,193.91,194.67,like a,-0.22999999999998977,0.7599999999999909,0,False,True,2
54,5d949970ca12280014908f72,194.64,194.81,All,-0.030000000000001137,0.17000000000001592,0,False,True,1
55,596fea64a5c32a0001584755,194.68,195.01,cold,-0.12999999999999545,0.3299999999999841,0,False,True,1
56,5d949970ca12280014908f72,194.81,195.01,right.,-0.19999999999998863,0.19999999999998863,0,False,True,1
57,596fea64a5c32a0001584755,195.01,196.01,weather person in,0.0,1.0,0,False,False,3
58,5d949970ca12280014908f72,195.94,198.25,"Uh,",-0.06999999999999318,2.3100000000000023,0,False,True,1
59,596fea64a5c32a0001584755,196.01,201.19,general. Like um when I was a kid I would,-2.240000000000009,5.180000000000007,0,False,True,10
60,5d949970ca12280014908f72,200.94,201.14,yeah.,-0.25,0.19999999999998863,0,False,True,1
61,596fea64a5c32a0001584755,201.19,203.39,walk to school when it was snowing and jeans,0.05000000000001137,2.1999999999999886,0,False,False,9
62,5d949970ca12280014908f72,203.34,203.66,"Mhm,",-0.04999999999998295,0.3199999999999932,0,False,True,1
63,596fea64a5c32a0001584755,203.39,204.38,and a t shirt.,-0.27000000000001023,0.9900000000000091,0,False,True,4
64,5d949970ca12280014908f72,204.04,205.45,mm hmm.,-0.3400000000000034,1.4099999999999966,0,False,True,2
65,596fea64a5c32a0001584755,204.39,207.06,I never want to be like what are you doing?,-1.0600000000000023,2.670000000000016,1,True,True,10
66,5d949970ca12280014908f72,207.14,207.76,"Right,",0.07999999999998408,0.6200000000000045,0,False,False,1
67,596fea64a5c32a0001584755,207.54,207.75,What,-0.21999999999999886,0.21000000000000796,0,False,True,1
68,5d949970ca12280014908f72,207.76,209.75,Right. Right. Are you okay.,0.009999999999990905,1.990000000000009,0,False,False,5
69,596fea64a5c32a0001584755,209.67,211.22,about it? I was,-0.0800000000000125,1.5500000000000114,1,False,True,4
70,5d949970ca12280014908f72,211.04,211.96,Mm.,-0.18000000000000682,0.9200000000000159,0,False,True,1
71,596fea64a5c32a0001584755,211.22,214.95,like I'm just enjoying the nice weather. What's wrong with you?,-0.7400000000000091,3.7299999999999898,1,True,True,13
72,5d949970ca12280014908f72,215.62,216.13,"Well,",0.6700000000000159,0.5099999999999909,0,False,False,1
73,596fea64a5c32a0001584755,215.84,216.04,Yeah.,-0.28999999999999204,0.19999999999998863,0,False,True,1
74,5d949970ca12280014908f72,216.13,218.95,I guess you were born in the right place then assuming you were born in Oregon.,0.09000000000000341,2.819999999999993,0,False,False,16
75,596fea64a5c32a0001584755,219.64,220.45,Oh no I was,0.6899999999999977,0.8100000000000023,0,False,False,4
76,5d949970ca12280014908f72,220.44,222.26,"Oh,",-0.009999999999990905,1.8199999999999932,0,False,True,1
77,596fea64a5c32a0001584755,220.45,221.46,born in Maryland,-1.8100000000000023,1.0100000000000193,0,False,True,3
78,5d949970ca12280014908f72,222.26,222.39,you're,0.799999999999983,0.12999999999999545,0,False,False,2
79,596fea64a5c32a0001584755,222.34,222.66,as.,-0.04999999999998295,0.3199999999999932,0,False,True,1
80,5d949970ca12280014908f72,222.39,224.75,"gonna okay. And so you move,",-0.27000000000001023,2.3600000000000136,0,False,True,7
81,596fea64a5c32a0001584755,224.74,225.45,Yeah.,-0.009999999999990905,0.7099999999999795,0,False,True,1
82,5d949970ca12280014908f72,224.75,226.66,"you move with your family, I guess?",-0.6999999999999886,1.9099999999999966,1,True,True,7
83,596fea64a5c32a0001584755,227.74,231.42,Oh no. Um I so I grew up,1.0800000000000125,3.6799999999999784,0,False,False,8
84,5d949970ca12280014908f72,231.34,231.61,Yeah.,-0.07999999999998408,0.27000000000001023,0,False,True,1
85,596fea64a5c32a0001584755,231.42,235.49,in the D. C. Suburbs and then I went to texas for college and then,-0.19000000000002615,4.070000000000022,0,False,True,15
86,5d949970ca12280014908f72,235.34,235.66,Mhm.,-0.15000000000000568,0.3199999999999932,0,False,True,1
87,596fea64a5c32a0001584755,235.49,236.88,I came to Portland after,-0.1699999999999875,1.3899999999999864,0,False,True,5
88,5d949970ca12280014908f72,236.64,236.84,Yeah.,-0.2400000000000091,0.20000000000001705,0,False,True,1
89,596fea64a5c32a0001584755,236.88,237.46,college.,0.03999999999999204,0.5800000000000125,0,False,False,1
90,5d949970ca12280014908f72,237.74,240.56,"Oh, okay. Okay. Did you go there for a job?",0.28000000000000114,2.819999999999993,1,True,False,10
91,596fea64a5c32a0001584755,241.84,242.59,"Uh No,",1.2800000000000011,0.75,0,False,False,2
92,5d949970ca12280014908f72,242.34,242.55,Okay.,-0.25,0.21000000000000796,0,False,True,1
93,596fea64a5c32a0001584755,242.59,243.46,I just,0.03999999999999204,0.8700000000000045,0,False,False,2
94,5d949970ca12280014908f72,242.94,245.46,Beef.,-0.5200000000000102,2.5200000000000102,0,False,True,1
95,596fea64a5c32a0001584755,243.46,246.06,"thought Portland would be a good place to move,",-2.0,2.5999999999999943,0,False,True,9
96,5d949970ca12280014908f72,246.24,247.01,Okay.,0.18000000000000682,0.7699999999999818,0,False,False,1
97,596fea64a5c32a0001584755,246.54,247.35,I was like,-0.46999999999999886,0.8100000000000023,0,False,True,3
98,5d949970ca12280014908f72,247.02,248.16,Just spin it on the map.,-0.3299999999999841,1.1399999999999864,0,False,True,6
99,596fea64a5c32a0001584755,247.94,249.79,or I can go,-0.21999999999999886,1.8499999999999943,0,False,True,4
