turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,592481c14c4d6500016a1767,15.64,335.95,"mm wow. Mhm. Yeah. Uh huh. But yeah. Mhm. What? Okay. Yeah. Yeah. Okay. Yeah. Yeah. Yeah wow. Yeah. Okay. Okay. Yeah. Uh huh. Oh. Uh huh. I think I'm waiting for 10:30. Waiting for another person to chat with. Yeah. Yeah. Oh yeah yeah. Yeah. Mhm. You another 30 seconds? Uh huh. Yeah. Yeah. Yeah. 10:30 It's touch chatting lady. Uh huh. Is there anybody there? Hello? Hello. Hello yep. Yeah. Yeah. Right. Yeah. Yeah. Did they have? Yeah. Yeah. Yeah. Yeah. Mhm. Yeah. Um I do not have a partner, I don't know what's going to happen now you know really? She did it let me read uh conversation partner. Should join you soon. Okay once you open the check when the time I appear here on the subway page. Where?",,320.31,7,True,False,137
1,5b497448369f84000112bc43,336.44,337.24,Yeah.,0.4900000000000091,0.8000000000000114,0,False,False,1
2,592481c14c4d6500016a1767,339.64,344.19,Yeah. Okay,2.3999999999999773,4.550000000000011,0,False,False,2
3,5b497448369f84000112bc43,344.14,344.56,Mhm.,-0.05000000000001137,0.4200000000000159,0,False,True,1
4,592481c14c4d6500016a1767,344.2,345.39,so I'm still waiting.,-0.36000000000001364,1.1899999999999977,0,False,True,5
5,5b497448369f84000112bc43,344.94,345.15,Mhm.,-0.44999999999998863,0.20999999999997954,0,False,True,1
6,592481c14c4d6500016a1767,345.4,346.65,Hello?,0.25,1.25,1,True,False,1
7,5b497448369f84000112bc43,345.64,348.36,"Yeah. Hi,",-1.009999999999991,2.7200000000000273,0,False,True,2
8,592481c14c4d6500016a1767,348.04,349.56,Uh huh.,-0.3199999999999932,1.5199999999999818,0,False,True,2
9,5b497448369f84000112bc43,348.74,350.36,how are you?,-0.8199999999999932,1.6200000000000045,1,True,True,3
10,592481c14c4d6500016a1767,350.74,351.66,Good.,0.37999999999999545,0.9200000000000159,0,False,False,1
11,5b497448369f84000112bc43,351.34,352.26,"Oh,",-0.32000000000005,0.9200000000000159,0,False,True,1
12,592481c14c4d6500016a1767,352.34,353.96,Where are you located?,0.07999999999998408,1.6200000000000045,1,True,False,4
13,5b497448369f84000112bc43,354.14,357.76,um I'm in colorado,0.18000000000000682,3.6200000000000045,0,False,False,5
14,592481c14c4d6500016a1767,357.54,360.15,Okay. I,-0.21999999999997044,2.609999999999957,0,False,True,2
15,5b497448369f84000112bc43,359.94,360.32,then,-0.20999999999997954,0.37999999999999545,0,False,True,1
16,592481c14c4d6500016a1767,360.16,361.13,lived,-0.15999999999996817,0.9699999999999704,0,False,True,1
17,5b497448369f84000112bc43,360.33,360.56,there.,-0.8000000000000114,0.2300000000000182,0,False,True,1
18,592481c14c4d6500016a1767,361.14,365.96,uh through to you know where there is a close to Grand Junction.,0.5799999999999841,4.819999999999993,0,False,False,13
19,5b497448369f84000112bc43,366.34,367.21,"I don't,",0.37999999999999545,0.8700000000000045,0,False,False,3
20,592481c14c4d6500016a1767,366.74,367.22,What is,-0.46999999999997044,0.4800000000000182,0,False,True,2
21,5b497448369f84000112bc43,367.21,367.42,I'm,-0.010000000000047748,0.21000000000003638,0,False,True,2
22,592481c14c4d6500016a1767,367.22,367.96,it?,-0.19999999999998863,0.7399999999999523,1,True,True,1
23,5b497448369f84000112bc43,367.42,369.55,not doubting the springs.,-0.5399999999999636,2.1299999999999955,0,False,True,4
24,592481c14c4d6500016a1767,369.64,372.46,Oh yeah my daughter used to live in springs.,0.08999999999997499,2.819999999999993,0,False,False,9
25,5b497448369f84000112bc43,372.64,374.16,"Okay. Yeah,",0.18000000000000682,1.5200000000000387,0,False,False,2
26,592481c14c4d6500016a1767,374.34,374.79,Yeah.,0.17999999999994998,0.4500000000000455,0,False,False,1
27,5b497448369f84000112bc43,374.54,375.56,brulee.,-0.25,1.0199999999999818,0,False,True,1
28,592481c14c4d6500016a1767,374.8,379.26,But but in the year yeah. But yeah we're in Hawaii now.,-0.7599999999999909,4.4599999999999795,0,False,True,13
29,5b497448369f84000112bc43,379.74,381.75,Okay. I hear. That's beautiful.,0.4800000000000182,2.009999999999991,0,False,False,6
30,592481c14c4d6500016a1767,381.94,383.83,Yeah a,0.18999999999999773,1.8899999999999864,0,False,False,2
31,5b497448369f84000112bc43,383.74,384.16,"Mhm,",-0.08999999999997499,0.4200000000000159,0,False,True,1
32,592481c14c4d6500016a1767,383.83,384.76,lot warmer,-0.3300000000000409,0.9300000000000068,0,False,True,2
33,5b497448369f84000112bc43,384.54,387.29,definitely.,-0.21999999999997044,2.75,0,False,True,1
34,592481c14c4d6500016a1767,384.77,386.05,push your,-2.5200000000000387,1.2800000000000296,0,False,True,2
35,5b497448369f84000112bc43,387.29,392.46,"I originally came from the midwest, so Colorado is definitely a lot warmer for me than where I was.",1.240000000000009,5.169999999999959,0,False,False,19
36,592481c14c4d6500016a1767,392.54,395.96,okay my husband's from ST paul.,0.08000000000004093,3.419999999999959,0,False,False,7
37,5b497448369f84000112bc43,396.64,398.04,Okay. Yeah.,0.6800000000000068,1.400000000000034,0,False,False,2
38,592481c14c4d6500016a1767,398.34,399.11,Just as cold,0.2999999999999545,0.7700000000000387,0,False,False,3
39,5b497448369f84000112bc43,398.94,399.45,Mhm.,-0.17000000000001592,0.5099999999999909,0,False,True,1
40,592481c14c4d6500016a1767,399.11,401.06,as it get.,-0.339999999999975,1.9499999999999886,0,False,True,3
41,5b497448369f84000112bc43,399.94,402.64,It definitely is. I was about,-1.1200000000000045,2.6999999999999886,0,False,True,6
42,592481c14c4d6500016a1767,402.54,402.86,Mhm.,-0.0999999999999659,0.3199999999999932,0,False,True,1
43,5b497448369f84000112bc43,402.64,406.89,"an hour outside of Chicago and then I lived in Madison Wisconsin for a year, so",-0.22000000000002728,4.25,0,False,True,16
44,592481c14c4d6500016a1767,406.84,407.65,Oh,-0.05000000000001137,0.8100000000000023,0,False,True,1
45,5b497448369f84000112bc43,406.89,410.56,"definitely noticing snow, but I prefer to not have it",-0.7599999999999909,3.670000000000016,0,False,True,10
46,592481c14c4d6500016a1767,411.04,415.26,yeah. I drove through Wisconsin ones.,0.4800000000000182,4.21999999999997,0,False,False,6
47,5b497448369f84000112bc43,414.94,415.36,black.,-0.3199999999999932,0.4200000000000159,0,False,True,1
48,592481c14c4d6500016a1767,415.74,416.29,It's,0.37999999999999545,0.5500000000000114,0,False,False,2
49,5b497448369f84000112bc43,415.74,416.28,"Yeah. You know,",-0.5500000000000114,0.5399999999999636,0,False,True,3
50,592481c14c4d6500016a1767,416.29,417.15,pretty.,0.010000000000047748,0.8599999999999568,0,False,False,1
51,5b497448369f84000112bc43,416.29,417.79,it's,-0.8599999999999568,1.5,0,False,True,2
52,592481c14c4d6500016a1767,417.64,419.34,Yeah.,-0.1500000000000341,1.6999999999999886,0,False,True,1
53,5b497448369f84000112bc43,417.79,420.87,"pretty, there's just not to do when you live there",-1.5499999999999545,3.079999999999984,0,False,True,11
54,592481c14c4d6500016a1767,420.74,422.06,No.,-0.12999999999999545,1.3199999999999932,0,False,True,1
55,5b497448369f84000112bc43,420.88,422.54,unless you're like a college student.,-1.1800000000000068,1.660000000000025,0,False,True,7
56,592481c14c4d6500016a1767,422.84,424.22,Right. Yeah.,0.2999999999999545,1.3800000000000523,0,False,False,2
57,5b497448369f84000112bc43,424.04,424.25,"Mhm,",-0.18000000000000682,0.20999999999997954,0,False,True,1
58,592481c14c4d6500016a1767,424.23,425.26,Yeah. True.,-0.01999999999998181,1.0299999999999727,0,False,True,2
59,5b497448369f84000112bc43,425.04,425.76,"mm hmm,",-0.21999999999997044,0.7199999999999704,0,False,True,2
60,592481c14c4d6500016a1767,425.64,426.63,Yeah.,-0.12000000000000455,0.9900000000000091,0,False,True,1
61,5b497448369f84000112bc43,426.54,427.16,wow.,-0.08999999999997499,0.6200000000000045,0,False,True,1
62,592481c14c4d6500016a1767,426.64,428.76,Yeah. I don't know much about,-0.5200000000000387,2.1200000000000045,0,False,True,7
63,5b497448369f84000112bc43,429.04,429.55,What?,0.28000000000002956,0.5099999999999909,1,True,False,1
64,592481c14c4d6500016a1767,429.64,430.67,Wisconsin,0.08999999999997499,1.0300000000000296,0,False,False,1
65,5b497448369f84000112bc43,430.54,430.75,Mm.,-0.12999999999999545,0.20999999999997954,0,False,True,1
66,592481c14c4d6500016a1767,430.68,431.76,for like,-0.06999999999999318,1.079999999999984,0,False,True,2
67,5b497448369f84000112bc43,431.24,432.15,Yeah. Mhm.,-0.5199999999999818,0.9099999999999682,0,False,True,2
68,592481c14c4d6500016a1767,433.34,435.03,you know big cheeseheads.,1.1899999999999977,1.6899999999999977,0,False,False,4
69,5b497448369f84000112bc43,434.54,436.24,"Yeah,",-0.48999999999995225,1.6999999999999886,0,False,True,1
70,592481c14c4d6500016a1767,435.12,437.35,Those packers fans. Yeah.,-1.1200000000000045,2.230000000000018,0,False,True,4
71,5b497448369f84000112bc43,436.94,440.84,"true. The lots of packers fans, lots of badger fans.",-0.410000000000025,3.8999999999999773,0,False,True,10
72,592481c14c4d6500016a1767,440.74,441.06,Mhm.,-0.0999999999999659,0.3199999999999932,0,False,True,1
73,5b497448369f84000112bc43,440.84,443.16,They're very into their football.,-0.22000000000002728,2.32000000000005,0,False,True,6
74,592481c14c4d6500016a1767,442.94,444.16,Right. Yeah.,-0.22000000000002728,1.2200000000000273,0,False,True,2
75,5b497448369f84000112bc43,443.74,444.06,Mhm.,-0.4200000000000159,0.3199999999999932,0,False,True,1
76,592481c14c4d6500016a1767,444.17,445.76,So well,0.11000000000001364,1.589999999999975,0,False,False,2
77,5b497448369f84000112bc43,445.84,446.04,Yeah.,0.07999999999998408,0.20000000000004547,0,False,False,1
78,592481c14c4d6500016a1767,446.24,447.52,I we lived,0.19999999999998863,1.2799999999999727,0,False,False,3
79,5b497448369f84000112bc43,447.44,447.54,Uh,-0.07999999999998408,0.10000000000002274,0,False,True,1
80,592481c14c4d6500016a1767,447.52,447.66,in,-0.020000000000038654,0.1400000000000432,0,False,True,1
81,5b497448369f84000112bc43,447.54,447.76,huh.,-0.12000000000000455,0.21999999999997044,0,False,True,1
82,592481c14c4d6500016a1767,447.66,449.58,Arizona for the longest time,-0.0999999999999659,1.919999999999959,0,False,True,5
83,5b497448369f84000112bc43,449.24,450.25,Yeah.,-0.339999999999975,1.009999999999991,0,False,True,1
84,592481c14c4d6500016a1767,449.59,450.97,so like 30 years.,-0.660000000000025,1.3800000000000523,0,False,True,4
85,5b497448369f84000112bc43,450.64,450.84,Yeah.,-0.3300000000000409,0.19999999999998863,0,False,True,1
86,592481c14c4d6500016a1767,450.97,454.85,So we have a cognos fans. But my husband likes the Vikings.,0.1300000000000523,3.8799999999999955,0,False,False,12
87,5b497448369f84000112bc43,455.44,456.25,Okay.,0.589999999999975,0.8100000000000023,0,False,False,1
88,592481c14c4d6500016a1767,455.94,457.04,Yeah.,-0.3100000000000023,1.1000000000000227,0,False,True,1
89,5b497448369f84000112bc43,456.84,457.25,"Yeah,",-0.20000000000004547,0.410000000000025,0,False,True,1
90,592481c14c4d6500016a1767,457.05,457.95,So.,-0.19999999999998863,0.8999999999999773,0,False,True,1
91,5b497448369f84000112bc43,457.26,462.26,"we are a big Chicago household bears fans, cubs fan.",-0.6899999999999977,5.0,0,False,True,10
92,592481c14c4d6500016a1767,461.64,462.35,Oh yeah.,-0.6200000000000045,0.7100000000000364,0,False,True,2
93,5b497448369f84000112bc43,462.64,463.26,Yeah.,0.2899999999999636,0.6200000000000045,0,False,False,1
