turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5beaf789650d4f00015b9e63,2.34,287.65,"why? Mhm. Actually, yeah, I don't know. Okay. Yeah. What? Okay. Okay purposes. Right. Uh, how are you? Yeah. Mm hmm. Yeah. Thank you. Okay. Are you going to hug? Oh God. You understand what you're trying to gas me be like? Yeah. Oh, this number is one. Yeah. No. Yeah. Uh huh. She had a thank you. Yeah. Oh, you're Oh yeah. Don't worry. So ready to go. Uh huh. You okay? Uh huh. Yeah. Okay. I appreciate that. Oh, okay. Mm. Oh, okay.",,285.31,6,False,False,89
1,59877315f8b162000167a2c6,285.44,291.86,Hello.,-2.2099999999999795,6.420000000000016,0,False,True,1
2,5beaf789650d4f00015b9e63,288.44,292.95,Hello? How are you?,-3.420000000000016,4.509999999999991,2,True,True,4
3,59877315f8b162000167a2c6,292.94,293.9,Uh Not,-0.009999999999990905,0.9599999999999795,0,False,True,2
4,5beaf789650d4f00015b9e63,293.84,294.35,Mm,-0.060000000000002274,0.5100000000000477,0,False,True,1
5,59877315f8b162000167a2c6,293.9,294.85,that sorry sorry,-0.4500000000000455,0.9500000000000455,0,False,True,3
6,5beaf789650d4f00015b9e63,294.74,295.24,Yeah.,-0.11000000000001364,0.5,0,False,True,1
7,59877315f8b162000167a2c6,294.85,296.56,I'm late. I I just got back,-0.38999999999998636,1.7099999999999795,0,False,True,8
8,5beaf789650d4f00015b9e63,296.34,300.13,Okay.,-0.22000000000002728,3.7900000000000205,0,False,True,1
9,59877315f8b162000167a2c6,296.57,299.86,"from the long blocks. I'm very sweaty, mm.",-3.5600000000000023,3.2900000000000205,0,False,True,9
10,5beaf789650d4f00015b9e63,300.14,300.59,I was,0.2799999999999727,0.44999999999998863,0,False,False,2
11,59877315f8b162000167a2c6,300.44,301.36,Yes,-0.14999999999997726,0.9200000000000159,0,False,True,1
12,5beaf789650d4f00015b9e63,300.59,307.36,when I was about to give up so I'm glad I waited another minute. Um what's your name?,-0.7700000000000387,6.770000000000039,1,True,True,20
13,59877315f8b162000167a2c6,307.34,308.44,chris,-0.020000000000038654,1.1000000000000227,0,False,True,1
14,5beaf789650d4f00015b9e63,309.24,309.5,"Hi,",0.8000000000000114,0.2599999999999909,0,False,False,1
15,59877315f8b162000167a2c6,309.34,309.55,Mhm.,-0.160000000000025,0.21000000000003638,0,False,True,1
16,5beaf789650d4f00015b9e63,309.5,310.86,"Chris, I'm Emily,",-0.05000000000001137,1.3600000000000136,0,False,True,4
17,59877315f8b162000167a2c6,312.3,313.05,That's media.,1.4399999999999977,0.75,0,False,False,3
18,5beaf789650d4f00015b9e63,312.64,313.63,she's really here.,-0.410000000000025,0.9900000000000091,0,False,True,4
19,59877315f8b162000167a2c6,313.94,316.15,Mhm virtually meet you.,0.3100000000000023,2.2099999999999795,0,False,False,4
20,5beaf789650d4f00015b9e63,316.04,317.47,Good to,-0.1099999999999568,1.4300000000000068,0,False,True,2
21,59877315f8b162000167a2c6,317.44,320.55,Where,-0.03000000000002956,3.1100000000000136,0,False,True,1
22,5beaf789650d4f00015b9e63,317.47,319.55,virtually too.,-3.079999999999984,2.079999999999984,0,False,True,2
23,59877315f8b162000167a2c6,320.55,321.76,are you right now?,1.0,1.2099999999999795,1,True,False,4
24,5beaf789650d4f00015b9e63,321.74,327.75,I am in Alabama. I live in a little town called phoenix city. What about you?,-0.01999999999998181,6.009999999999991,1,True,True,16
25,59877315f8b162000167a2c6,328.34,328.82,Uh,0.589999999999975,0.4800000000000182,0,False,False,1
26,5beaf789650d4f00015b9e63,328.44,328.76,"Oh,",-0.37999999999999545,0.3199999999999932,0,False,True,1
27,59877315f8b162000167a2c6,328.83,330.76,Brooklyn in new york.,0.06999999999999318,1.9300000000000068,0,False,False,4
28,5beaf789650d4f00015b9e63,331.14,332.06,okay.,0.37999999999999545,0.9200000000000159,0,False,False,1
29,59877315f8b162000167a2c6,332.64,333.06,Oh,0.5799999999999841,0.4200000000000159,0,False,False,1
30,5beaf789650d4f00015b9e63,333.34,333.86,"Cool. Cool,",0.2799999999999727,0.5200000000000387,0,False,False,2
31,59877315f8b162000167a2c6,333.74,334.09,so,-0.12000000000000455,0.3499999999999659,0,False,True,1
32,5beaf789650d4f00015b9e63,333.86,334.45,cool.,-0.22999999999996135,0.589999999999975,0,False,True,1
33,59877315f8b162000167a2c6,334.09,336.65,kind of like the opposite.,-0.36000000000001364,2.5600000000000023,0,False,True,5
34,5beaf789650d4f00015b9e63,336.64,337.37,Very much,-0.009999999999990905,0.7300000000000182,0,False,True,2
35,59877315f8b162000167a2c6,337.24,337.75,Never?,-0.12999999999999545,0.5099999999999909,1,True,True,1
