turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5eaad5dcc2e64603e5122442,37.74,46.36,sure. Mhm. Mhm. Yeah. Right.,,8.619999999999997,0,False,False,5
1,5ed5ac56ee608714bb21075d,59.24,60.05,Hello.,12.880000000000003,0.8099999999999952,0,False,False,1
2,5eaad5dcc2e64603e5122442,60.44,61.85,Hey there how are you,0.39000000000000057,1.4100000000000037,0,False,False,5
3,5ed5ac56ee608714bb21075d,61.84,63.46,"I'm all right, how are you?",-0.00999999999999801,1.6199999999999974,1,True,True,7
4,5eaad5dcc2e64603e5122442,63.64,65.26,doing? Pretty well on Matthew,0.17999999999999972,1.6200000000000045,1,False,False,5
5,5ed5ac56ee608714bb21075d,65.44,67.56,"I'm Maria, nice to meet you.",0.1799999999999926,2.1200000000000045,0,False,False,7
6,5eaad5dcc2e64603e5122442,67.24,69.06,Maria. Good to meet you.,-0.3200000000000074,1.8200000000000074,0,False,True,5
7,5ed5ac56ee608714bb21075d,68.94,71.36,"Yeah, happy saturday,",-0.12000000000000455,2.4200000000000017,0,False,True,3
8,5eaad5dcc2e64603e5122442,70.74,72.65,Yeah.,-0.6200000000000045,1.9100000000000108,0,False,True,1
9,5ed5ac56ee608714bb21075d,72.44,74.86,"Always good to make it through the week, Right,",-0.21000000000000796,2.4200000000000017,0,False,True,9
10,5eaad5dcc2e64603e5122442,75.04,77.96,Yeah I got to tell you like noon,0.18000000000000682,2.9199999999999875,0,False,False,8
11,5ed5ac56ee608714bb21075d,77.74,77.95,and,-0.21999999999999886,0.21000000000000796,0,False,True,1
12,5eaad5dcc2e64603e5122442,77.96,83.22,on a friday afterwards it just write it off and I'm just if,0.009999999999990905,5.260000000000005,0,False,False,14
13,5ed5ac56ee608714bb21075d,82.84,83.35,uh,-0.37999999999999545,0.5099999999999909,0,False,True,1
14,5eaad5dcc2e64603e5122442,83.22,90.76,I'm in the office I'm out talking with people or if I'm at home I'm probably watching tv.,-0.12999999999999545,7.540000000000006,0,False,True,22
