turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5cc34f64b4a9220015911c45,7.74,805.75,"sure. Okay. Yeah. Yeah. I can't recall. Thank you. Yeah. Yeah. Right. Okay. Yeah. Mhm. Mhm. I'm sorry. Okay. Mhm. Yeah. Mhm. Okay. Uh huh. Don't forget about that. Yeah. Yeah. I don't. Mhm. Mhm. Yeah. Yeah. Mhm. Yeah. Yeah. Mm hmm, mm. Mhm. Mhm. Mhm. Yeah. Okay. Mhm. Yeah. Mhm. Mhm. Mhm. Yeah. Fuck yeah. Yes. Yeah. Mhm. Yeah. Yeah. Yeah. Yeah. Mhm. Uh huh. Yes. Yeah. Mhm. Mhm. Okay. Mhm, mm hmm. Mhm. Yeah, mm. Mhm. Yeah. Yeah. Mhm. Yeah. A couple of days. Right. Mhm. Yeah. Mhm. Mhm. See. Okay. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Mhm. Mhm. Yeah. Okay. Yeah. Yeah. Yeah. Mhm. Okay, mm hmm. Okay. Okay. Okay. Yeah. Mhm. Mhm. Yeah. Yeah. Yeah. Okay. Mhm. Mhm. Yeah. Yeah. Yeah. Uh huh. Mm. Yeah. Mhm. Yeah. Right. I got a chance to have a second. Yeah. Given time connector. Yeah. Mhm. Yeah. Yeah. Thank you. Yeah. Okay. It's a different thing. Good. She's fine. Every Mhm. Mhm. Okay. Mhm. Mhm, mm hmm. Yeah. Okay. Yeah. Yeah. Mhm. Yeah. Yeah. Right. Right. Mhm. Okay. Okay. It's mm. Yeah. Yeah. Mhm. Yeah. Mhm. Yeah. Hey? Yeah, Everything. Mhm. Mhm. Whoa. Mhm, mm hmm. Okay. Okay. Okay. Yeah. Okay. 100, Italian. Mhm. Yeah. Okay. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Mhm. Mhm. Yeah. People. All right. Yeah. Okay. Mhm. Yeah. Mhm. Yeah. Mhm. Yeah. Yeah. Okay. Yeah. Yeah. Yeah. Mhm. Yeah. Want to go. Mhm. Yeah. Oh, country.",,798.01,1,False,False,248
1,5dbf9446a3f5cb419e9d28c8,816.04,822.34,"wait,",10.289999999999964,6.300000000000068,0,False,False,1
2,5cc34f64b4a9220015911c45,819.44,821.13,Hi. Okay.,-2.8999999999999773,1.6899999999999409,0,False,True,2
3,5dbf9446a3f5cb419e9d28c8,822.35,829.06,let me plug in my ear buds way.,1.2200000000000273,6.709999999999923,0,False,False,8
4,5cc34f64b4a9220015911c45,824.24,829.55,All right. Hi.,-4.819999999999936,5.309999999999945,0,False,True,3
5,5dbf9446a3f5cb419e9d28c8,829.44,832.65,Hey there. I'm in the car. So,-0.10999999999989996,3.2099999999999227,0,False,True,8
6,5cc34f64b4a9220015911c45,832.74,834.56,Okay.,0.09000000000003183,1.8199999999999363,0,False,False,1
7,5dbf9446a3f5cb419e9d28c8,833.14,837.16,"I hope, I hope it's not the background isn't too crazy.",-1.419999999999959,4.019999999999982,0,False,True,13
8,5cc34f64b4a9220015911c45,837.94,839.66,I'm not hearing anything. Are you getting any,0.7800000000000864,1.7199999999999136,0,False,False,9
9,5dbf9446a3f5cb419e9d28c8,839.64,839.8,Yeah.,-0.01999999999998181,0.15999999999996817,0,False,True,1
