turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5c6babadec1fb80001c18bed,1.64,96.95,Mhm. Yeah. Mhm. Mhm. Mhm. You know? All right. Right. Mhm. Mhm. Yeah. Thank you. Thank you. Mhm. Yeah. Mhm. Yeah. Yeah. Mhm. Mhm. Mhm.,,95.31,1,False,False,25
1,5f352e9b8ad4af48c58d8143,107.04,108.15,uh,10.090000000000003,1.1099999999999994,0,False,False,1
2,5c6babadec1fb80001c18bed,107.54,109.06,Yeah. Hello?,-0.6099999999999994,1.519999999999996,1,True,True,2
3,5f352e9b8ad4af48c58d8143,109.44,110.55,they have a gun.,0.37999999999999545,1.1099999999999994,0,False,False,4
4,5c6babadec1fb80001c18bed,110.9,112.55,Good. How are you?,0.3500000000000085,1.6499999999999915,1,True,False,4
5,5f352e9b8ad4af48c58d8143,113.04,116.65,Pretty good. Had push my brows there.,0.4900000000000091,3.6099999999999994,0,False,False,7
6,5c6babadec1fb80001c18bed,117.54,119.16,You're good.,0.8900000000000006,1.6199999999999903,0,False,False,3
7,5f352e9b8ad4af48c58d8143,118.64,120.04,"Yeah,",-0.519999999999996,1.4000000000000057,0,False,True,1
8,5c6babadec1fb80001c18bed,121.34,122.25,I'm,1.2999999999999972,0.9099999999999966,0,False,False,2
9,5f352e9b8ad4af48c58d8143,121.84,122.05,wow.,-0.4099999999999966,0.20999999999999375,0,False,True,1
10,5c6babadec1fb80001c18bed,122.25,123.26,thomas by the way.,0.20000000000000284,1.0100000000000051,0,False,False,4
11,5f352e9b8ad4af48c58d8143,123.34,125.4,"Yeah, I was upset in the southwest",0.0799999999999983,2.0600000000000023,0,False,False,7
12,5c6babadec1fb80001c18bed,126.34,127.26,I'm thomas.,0.9399999999999977,0.9200000000000017,0,False,False,3
13,5f352e9b8ad4af48c58d8143,127.54,128.65,"thomas chris,",0.28000000000000114,1.1099999999999994,0,False,False,2
14,5c6babadec1fb80001c18bed,128.34,129.75,"Okay, chris",-0.3100000000000023,1.4099999999999966,0,False,True,2
15,5f352e9b8ad4af48c58d8143,129.44,130.25,"let me agree,",-0.3100000000000023,0.8100000000000023,0,False,True,3
16,5c6babadec1fb80001c18bed,130.64,131.06,Okay.,0.38999999999998636,0.4200000000000159,0,False,False,1
17,5f352e9b8ad4af48c58d8143,130.84,134.46,"grab my head, said it might make it easier.",-0.21999999999999886,3.6200000000000045,0,False,True,9
18,5c6babadec1fb80001c18bed,134.34,135.06,Okay.,-0.12000000000000455,0.7199999999999989,0,False,True,1
19,5f352e9b8ad4af48c58d8143,134.94,135.96,"Okay,",-0.12000000000000455,1.0200000000000102,0,False,True,1
20,5c6babadec1fb80001c18bed,137.44,139.75,"Mhm. Oh, I like your headphones.",1.4799999999999898,2.3100000000000023,0,False,False,6
21,5f352e9b8ad4af48c58d8143,139.64,141.95,thank you. Thank you.,-0.11000000000001364,2.3100000000000023,0,False,True,4
22,5c6babadec1fb80001c18bed,141.54,144.76,Thanks. Uh,-0.4099999999999966,3.219999999999999,0,False,True,2
23,5f352e9b8ad4af48c58d8143,144.64,144.85,Right.,-0.12000000000000455,0.21000000000000796,0,False,True,1
24,5c6babadec1fb80001c18bed,145.54,147.85,where you are? You on the East Coast right now?,0.6899999999999977,2.3100000000000023,2,True,False,10
25,5f352e9b8ad4af48c58d8143,148.14,151.65,On the west coast California.,0.28999999999999204,3.5100000000000193,0,False,False,5
26,5c6babadec1fb80001c18bed,150.24,156.32,Uh huh. Oh my God. I pray to I didn't I'm surprised because uh when I signed,-1.4099999999999966,6.079999999999984,0,False,True,19
27,5f352e9b8ad4af48c58d8143,156.04,156.43,Yeah.,-0.28000000000000114,0.3900000000000148,0,False,True,1
28,5c6babadec1fb80001c18bed,156.32,159.65,up for six am I just assumed that it was gonna be an east coaster,-0.11000000000001364,3.3300000000000125,0,False,True,16
29,5f352e9b8ad4af48c58d8143,159.94,161.05,All right.,0.28999999999999204,1.1100000000000136,0,False,False,2
30,5c6babadec1fb80001c18bed,161.04,165.56,Or something like that or Midwest or something that just because it's six. AM.,-0.010000000000019327,4.52000000000001,0,False,True,15
31,5f352e9b8ad4af48c58d8143,165.74,168.75,Mhm. Yeah. Yeah.,0.18000000000000682,3.009999999999991,0,False,False,3
32,5c6babadec1fb80001c18bed,167.84,173.1,"Well, we uh I was just saying what brings you up so early besides",-0.9099999999999966,5.259999999999991,0,False,True,14
33,5f352e9b8ad4af48c58d8143,172.74,172.94,"Yeah,",-0.3599999999999852,0.19999999999998863,0,False,True,1
34,5c6babadec1fb80001c18bed,173.1,174.56,unless you're just doing it for this.,0.1599999999999966,1.460000000000008,0,False,False,8
35,5f352e9b8ad4af48c58d8143,175.24,178.26,I'm just I'm usually up,0.6800000000000068,3.019999999999982,0,False,False,7
36,5c6babadec1fb80001c18bed,177.74,177.94,Yeah.,-0.5199999999999818,0.19999999999998863,0,False,True,1
37,5f352e9b8ad4af48c58d8143,178.27,178.64,at,0.3300000000000125,0.3699999999999761,0,False,False,1
38,5c6babadec1fb80001c18bed,178.34,179.05,Yeah.,-0.29999999999998295,0.710000000000008,0,False,True,1
39,5f352e9b8ad4af48c58d8143,178.65,183.0,this time um this morning I,-0.4000000000000057,4.349999999999994,0,False,True,6
40,5c6babadec1fb80001c18bed,182.94,183.15,Mhm.,-0.060000000000002274,0.21000000000000796,0,False,True,1
41,5f352e9b8ad4af48c58d8143,183.01,185.65,had to set my alarm.,-0.14000000000001478,2.640000000000015,0,False,True,5
42,5c6babadec1fb80001c18bed,185.54,189.07,Okay. My girlfriend was leaving the house,-0.11000000000001364,3.530000000000001,0,False,True,7
43,5f352e9b8ad4af48c58d8143,188.54,188.75,What?,-0.5300000000000011,0.21000000000000796,1,True,True,1
44,5c6babadec1fb80001c18bed,189.08,189.31,at,0.3300000000000125,0.22999999999998977,0,False,False,1
45,5f352e9b8ad4af48c58d8143,189.24,189.56,Mhm.,-0.06999999999999318,0.3199999999999932,0,False,True,1
