turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f23ff398626c51fdd6c3fb5,5.04,42.84,Yeah. Yeah. Yeah. Uh huh. Mhm. Yeah. Right. Yeah.,,37.800000000000004,0,False,False,9
1,5f9c9d259e7c0a17abe03413,42.74,43.76,Hello?,-0.10000000000000142,1.019999999999996,1,True,True,1
2,5f23ff398626c51fdd6c3fb5,43.54,44.35,Hi.,-0.21999999999999886,0.8100000000000023,0,False,True,1
3,5f9c9d259e7c0a17abe03413,44.64,46.05,"Hi, how are you?",0.28999999999999915,1.4099999999999966,1,True,False,4
4,5f23ff398626c51fdd6c3fb5,46.14,47.25,Good. How are you?,0.09000000000000341,1.1099999999999994,1,True,False,4
5,5f9c9d259e7c0a17abe03413,47.64,50.06,"I'm good, sure.",0.39000000000000057,2.4200000000000017,0,False,False,4
6,5f23ff398626c51fdd6c3fb5,51.64,54.06,Where are you located in the country?,1.5799999999999983,2.4200000000000017,1,True,False,7
7,5f9c9d259e7c0a17abe03413,54.84,57.03,I'm living in texas. How,0.7800000000000011,2.1899999999999977,0,False,False,6
8,5f23ff398626c51fdd6c3fb5,56.94,57.72,Okay.,-0.09000000000000341,0.7800000000000011,0,False,True,1
9,5f9c9d259e7c0a17abe03413,57.03,57.26,about,-0.6899999999999977,0.22999999999999687,0,False,True,1
10,5f23ff398626c51fdd6c3fb5,57.73,60.45,Okay. I'm in pennsylvania.,0.46999999999999886,2.720000000000006,0,False,False,5
11,5f9c9d259e7c0a17abe03413,60.64,63.06,"Oh, wow, we're pretty far away.",0.18999999999999773,2.4200000000000017,0,False,False,7
12,5f23ff398626c51fdd6c3fb5,62.24,64.25,That is pretty far.,-0.8200000000000003,2.009999999999998,0,False,True,4
13,5f9c9d259e7c0a17abe03413,64.04,71.56,Yeah. Is there like questions or something we have to do?,-0.20999999999999375,7.519999999999996,1,True,True,11
