turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5d8cf61c8057a8001b0569be,0.54,40.37,"Okay. Mhm. Shot my family. Yeah. Yeah. Right. Why isn't this weird? It's like flipped. Uh huh. Uh huh. Okay. Yeah. Mm. Hey,",,39.83,1,False,False,25
1,5ea523b2a7782138712c7e1b,39.94,40.14,Yeah.,-0.4299999999999997,0.20000000000000284,0,False,True,1
2,5d8cf61c8057a8001b0569be,40.37,41.36,how you doing?,0.22999999999999687,0.990000000000002,1,True,False,3
3,5ea523b2a7782138712c7e1b,41.34,42.86,Good. How are you?,-0.01999999999999602,1.519999999999996,1,True,True,4
4,5d8cf61c8057a8001b0569be,42.64,44.87,I'm good.,-0.21999999999999886,2.229999999999997,0,False,True,3
5,5ea523b2a7782138712c7e1b,44.84,45.35,Mr,-0.02999999999999403,0.509999999999998,0,False,True,1
6,5d8cf61c8057a8001b0569be,44.88,47.64,"Let me start my time. Yeah,",-0.46999999999999886,2.759999999999998,0,False,True,6
7,5ea523b2a7782138712c7e1b,46.94,48.05,I'm just saying.,-0.7000000000000028,1.1099999999999994,0,False,True,4
8,5d8cf61c8057a8001b0569be,48.04,49.62,Located.,-0.00999999999999801,1.5799999999999983,0,False,True,1
9,5ea523b2a7782138712c7e1b,48.84,49.64,Uh huh.,-0.779999999999994,0.7999999999999972,0,False,True,2
10,5d8cf61c8057a8001b0569be,49.62,51.86,"The first thing I thought to myself, it was like, Oh, you",-0.020000000000003126,2.240000000000002,0,False,True,12
11,5ea523b2a7782138712c7e1b,51.84,52.05,Yes.,-0.01999999999999602,0.20999999999999375,0,False,True,1
12,5d8cf61c8057a8001b0569be,51.86,55.22,"have to talk for at least 25. I'm like, all right. When I hit",-0.18999999999999773,3.3599999999999994,0,False,True,15
13,5ea523b2a7782138712c7e1b,55.14,55.35,Mhm.,-0.0799999999999983,0.21000000000000085,0,False,True,1
14,5d8cf61c8057a8001b0569be,55.22,59.35,the 25 and then I getting anything above 25.,-0.13000000000000256,4.130000000000003,0,False,True,9
15,5ea523b2a7782138712c7e1b,58.24,59.89,Uh huh. Your mid,-1.1099999999999994,1.6499999999999986,0,False,True,4
16,5d8cf61c8057a8001b0569be,59.84,60.16,Right?,-0.04999999999999716,0.3199999999999932,1,True,True,1
17,5ea523b2a7782138712c7e1b,59.89,61.96,sentence and you just closed,-0.269999999999996,2.0700000000000003,0,False,True,5
18,5d8cf61c8057a8001b0569be,61.74,67.75,"I mean the way I look at it is like we're obviously going to be delivering such a high quality conversation,",-0.21999999999999886,6.009999999999998,0,False,True,22
19,5ea523b2a7782138712c7e1b,67.44,68.16,all this?,-0.3100000000000023,0.7199999999999989,1,True,True,2
20,5d8cf61c8057a8001b0569be,67.76,68.84,you know? So,-0.3999999999999915,1.0799999999999983,1,False,True,3
21,5ea523b2a7782138712c7e1b,68.54,69.16,Uh huh.,-0.29999999999999716,0.6199999999999903,0,False,True,2
22,5d8cf61c8057a8001b0569be,68.84,73.5,"it's just like, why would I not want to get paid for every, every priceless second that we can get",-0.3199999999999932,4.659999999999997,0,False,True,21
23,5ea523b2a7782138712c7e1b,73.44,73.61,That's,-0.060000000000002274,0.1700000000000017,0,False,True,2
24,5d8cf61c8057a8001b0569be,73.51,73.7,these,-0.09999999999999432,0.18999999999999773,0,False,True,1
