turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5deec7e78b5f8b5683c0355a,6.04,112.15,"Yeah. Is that who I think it is. Hey, how are you? How about? All right. Wait till I think of a way to know you're in the old days before you actually left. I'm gonna need your face your bags. I don't care what you way. So let's review it will say she shine, whatever. Thank you. Like I was focused dress. But actually the thing is going to say thanks. I got mediums for my fat juicy s. This must be cool and solve it. My mama said wrong like top is cute. Mhm. Oh yeah. Thank you. I want to make how so? Mhm. Mhm. But I'm trying to find myself like and respect.",,106.11,3,False,False,123
1,5c35101dbef9a20001e323f2,113.84,115.76,Okay. She,1.6899999999999977,1.9200000000000017,0,False,False,2
2,5deec7e78b5f8b5683c0355a,115.14,116.61,"Yeah, wow.",-0.6200000000000045,1.4699999999999989,0,False,True,2
3,5c35101dbef9a20001e323f2,116.34,116.55,all right?,-0.269999999999996,0.20999999999999375,1,True,True,2
4,5deec7e78b5f8b5683c0355a,116.61,117.06,Hi.,0.060000000000002274,0.45000000000000284,0,False,False,1
5,5c35101dbef9a20001e323f2,117.34,123.58,So I was trying to use my other work. Uh I'm,0.28000000000000114,6.239999999999995,0,False,False,12
6,5deec7e78b5f8b5683c0355a,123.54,123.64,I,-0.03999999999999204,0.09999999999999432,0,False,True,1
7,5c35101dbef9a20001e323f2,123.59,125.56,sorry.,-0.04999999999999716,1.9699999999999989,0,False,True,1
8,5deec7e78b5f8b5683c0355a,123.64,124.56,was cool.,-1.9200000000000017,0.9200000000000017,0,False,True,2
9,5c35101dbef9a20001e323f2,126.44,140.45,"Yeah, because Mhm. Yeah. Okay. Oh. Mhm.",1.8799999999999955,14.009999999999991,0,False,False,7
10,5deec7e78b5f8b5683c0355a,139.64,141.04,Hello?,-0.8100000000000023,1.4000000000000057,1,True,True,1
11,5c35101dbef9a20001e323f2,140.94,141.15,"Right,",-0.09999999999999432,0.21000000000000796,0,False,True,1
