turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f6c7fd05c4f380266f5b78a,7.74,8.36,really?,,0.6199999999999992,1,True,False,1
1,5d1e5e30a043ee0019453932,8.74,9.46,Hi.,0.3800000000000008,0.7200000000000006,0,False,False,1
2,5f6c7fd05c4f380266f5b78a,9.64,10.27,Can you,0.17999999999999972,0.629999999999999,0,False,False,2
3,5d1e5e30a043ee0019453932,10.24,12.16,Yes.,-0.02999999999999936,1.92,0,False,True,1
4,5f6c7fd05c4f380266f5b78a,10.27,10.66,hear me?,-1.8900000000000006,0.39000000000000057,1,True,True,2
5,5d1e5e30a043ee0019453932,12.74,13.06,No.,2.08,0.3200000000000003,0,False,False,1
6,5f6c7fd05c4f380266f5b78a,12.74,12.95,But,-0.3200000000000003,0.20999999999999908,0,False,True,1
7,5d1e5e30a043ee0019453932,14.24,19.55,Yeah. Uh Hopefully you weren't really waiting for that long. Uh,1.290000000000001,5.3100000000000005,0,False,False,12
8,5f6c7fd05c4f380266f5b78a,18.54,23.46,"no, no, no, no. I hope you weren't either. I wasn't sure when I was supposed to join.",-1.0100000000000016,4.920000000000002,0,False,True,20
9,5d1e5e30a043ee0019453932,23.64,24.74,"Yeah,",0.17999999999999972,1.0999999999999979,0,False,False,1
10,5f6c7fd05c4f380266f5b78a,24.94,25.15,Okay.,0.20000000000000284,0.2099999999999973,0,False,False,1
11,5d1e5e30a043ee0019453932,25.44,39.1,"it's like they kind of started a little little along right now. Was in the middle of this, my friend is trying to do a workshop with",0.2900000000000027,13.66,0,False,False,28
12,5f6c7fd05c4f380266f5b78a,38.94,39.45,Oh,-0.1600000000000037,0.5100000000000051,0,False,True,1
13,5d1e5e30a043ee0019453932,39.1,43.36,the Unity game engine. So I was listening in so,-0.3500000000000014,4.259999999999998,0,False,True,10
14,5f6c7fd05c4f380266f5b78a,43.04,44.45,what is that? Unity?,-0.3200000000000003,1.4100000000000037,2,True,True,4
15,5d1e5e30a043ee0019453932,43.94,54.89,"so it's a video, it's uh so when you make video games, there's different uh some software tools, rebuild",-0.5100000000000051,10.950000000000003,0,False,True,22
16,5f6c7fd05c4f380266f5b78a,54.04,54.36,Mhm.,-0.8500000000000014,0.3200000000000003,0,False,True,1
17,5d1e5e30a043ee0019453932,54.89,60.66,stuff. Unity is one of the is one of the game engines.,0.5300000000000011,5.769999999999996,0,False,False,12
18,5f6c7fd05c4f380266f5b78a,60.94,61.44,Uh huh.,0.28000000000000114,0.5,0,False,False,2
19,5d1e5e30a043ee0019453932,61.24,73.93,"Yeah, that people can that people can use. There's a I'm trying to treat think there's unreal. There's game, I think there's some game death, There's a bunch",-0.19999999999999574,12.690000000000005,0,False,True,34
20,5f6c7fd05c4f380266f5b78a,73.84,74.46,"Oh,",-0.09000000000000341,0.6199999999999903,0,False,True,1
21,5d1e5e30a043ee0019453932,73.93,75.55,"of other ones,",-0.5299999999999869,1.6199999999999903,0,False,True,3
22,5f6c7fd05c4f380266f5b78a,75.34,79.26,interesting. I don't know anything about this. Are you a video game developer?,-0.20999999999999375,3.9200000000000017,1,True,True,14
23,5d1e5e30a043ee0019453932,80.34,85.05,kind of morally more computer programmer. So,1.0799999999999983,4.709999999999994,0,False,False,7
