turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5be1ac50ca095c0001b9f717,22.74,102.02,"Yeah. Yeah. The opposition. Oh yeah. Yeah. Right. Yeah. Trick Right. Mhm. Mhm. Yeah. Talking. Yeah. No. Right. All right. Yeah. This is Hello,",,79.28,0,False,False,24
1,5f0bd06834894f4fb33be017,100.84,101.35,Hi.,-1.1799999999999926,0.5099999999999909,0,False,True,1
2,5be1ac50ca095c0001b9f717,102.02,103.06,how are you?,0.6700000000000017,1.0400000000000063,1,True,False,3
3,5f0bd06834894f4fb33be017,103.24,103.86,"Yes,",0.1799999999999926,0.6200000000000045,0,False,False,1
4,5be1ac50ca095c0001b9f717,103.74,109.66,"Oh, okay. Where are you located at?",-0.12000000000000455,5.920000000000002,1,True,True,7
5,5f0bd06834894f4fb33be017,109.74,110.97,I'm in New,0.0799999999999983,1.230000000000004,0,False,False,4
6,5be1ac50ca095c0001b9f717,110.94,111.35,"Yeah,",-0.030000000000001137,0.4099999999999966,0,False,True,1
7,5f0bd06834894f4fb33be017,110.97,111.94,Mexico. The,-0.37999999999999545,0.9699999999999989,0,False,True,2
8,5be1ac50ca095c0001b9f717,111.94,112.45,okay.,0.0,0.5100000000000051,0,False,False,1
9,5f0bd06834894f4fb33be017,111.94,112.86,mosque crisis.,-0.5100000000000051,0.9200000000000017,0,False,True,2
10,5be1ac50ca095c0001b9f717,113.04,115.46,I'm in Eastern Tennessee,0.18000000000000682,2.4199999999999875,0,False,False,5
11,5f0bd06834894f4fb33be017,115.04,115.25,Fine.,-0.4199999999999875,0.20999999999999375,0,False,True,1
12,5be1ac50ca095c0001b9f717,115.84,116.14,near,0.5900000000000034,0.29999999999999716,0,False,False,1
13,5f0bd06834894f4fb33be017,116.04,116.25,Okay.,-0.09999999999999432,0.20999999999999375,0,False,True,1
14,5be1ac50ca095c0001b9f717,116.14,116.95,Bollywood.,-0.10999999999999943,0.8100000000000023,0,False,True,1
15,5f0bd06834894f4fb33be017,117.34,117.93,Okay.,0.39000000000000057,0.5900000000000034,0,False,False,1
16,5be1ac50ca095c0001b9f717,117.74,117.94,Yeah.,-0.19000000000001194,0.20000000000000284,0,False,True,1
17,5f0bd06834894f4fb33be017,117.94,122.66,Cool. I think I've I've passed through there before.,0.0,4.719999999999999,0,False,False,11
18,5be1ac50ca095c0001b9f717,122.4,124.73,Yeah. Actually,-0.2599999999999909,2.3299999999999983,0,False,True,2
19,5f0bd06834894f4fb33be017,124.34,124.66,Yeah.,-0.39000000000000057,0.3199999999999932,0,False,True,1
20,5be1ac50ca095c0001b9f717,124.74,126.04,we're new. We just,0.0799999999999983,1.3000000000000114,0,False,False,5
21,5f0bd06834894f4fb33be017,125.94,126.15,Mhm.,-0.10000000000000853,0.21000000000000796,0,False,True,1
22,5be1ac50ca095c0001b9f717,126.04,128.86,moved here yesterday. Made three weeks ago,-0.10999999999999943,2.8200000000000074,0,False,True,7
23,5f0bd06834894f4fb33be017,128.74,129.12,One.,-0.12000000000000455,0.37999999999999545,0,False,True,1
24,5be1ac50ca095c0001b9f717,128.86,131.46,since we bought the house. We're in and moved here.,-0.2599999999999909,2.5999999999999943,0,False,True,11
25,5f0bd06834894f4fb33be017,131.24,134.75,Oh yeah. Well we just moved here too. So,-0.21999999999999886,3.509999999999991,0,False,True,9
26,5be1ac50ca095c0001b9f717,134.14,135.24,Yeah. Yeah.,-0.6100000000000136,1.1000000000000227,0,False,True,2
27,5f0bd06834894f4fb33be017,135.64,138.76,moving in the middle of a pandemic has lots of fun.,0.39999999999997726,3.1200000000000045,0,False,False,11
28,5be1ac50ca095c0001b9f717,137.94,140.17,Yeah. It's like uh,-0.8199999999999932,2.2299999999999898,0,False,True,5
29,5f0bd06834894f4fb33be017,139.84,140.26,Well,-0.3299999999999841,0.4199999999999875,0,False,True,1
30,5be1ac50ca095c0001b9f717,140.18,144.53,we were living in uh western north Carolina and,-0.07999999999998408,4.349999999999994,0,False,True,9
31,5f0bd06834894f4fb33be017,143.94,144.45,okay.,-0.5900000000000034,0.5099999999999909,0,False,True,1
32,5be1ac50ca095c0001b9f717,144.54,153.67,"you know, we came to this area as tourists that have lived here and ever since we started coming here as tourists a few years ago my son's been asking to move so kind",0.09000000000000341,9.129999999999995,0,False,False,35
33,5f0bd06834894f4fb33be017,153.44,153.86,Well,-0.22999999999998977,0.4200000000000159,0,False,True,1
34,5be1ac50ca095c0001b9f717,153.67,168.58,"of when all this craziness started happening. I'm like and you know, I said if you're really serious about this, I said you check out all the schools, make sure because he's in high school. So I said make sure you don't mind switching high schools midstream you and I said",-0.19000000000002615,14.910000000000025,0,False,True,55
35,5f0bd06834894f4fb33be017,168.44,168.95,Mhm.,-0.14000000000001478,0.5099999999999909,0,False,True,1
36,5be1ac50ca095c0001b9f717,168.58,177.55,"if you're really serious, I said that would be a great time. You're out of schools that we have time to go house hunting and that's what we ended up doing. So here we are.",-0.3699999999999761,8.969999999999999,0,False,True,38
37,5f0bd06834894f4fb33be017,176.64,178.85,"Yeah,",-0.910000000000025,2.210000000000008,0,False,True,1
38,5be1ac50ca095c0001b9f717,177.94,180.76,What did you live to the max telephone?,-0.9099999999999966,2.819999999999993,1,True,True,8
39,5f0bd06834894f4fb33be017,180.14,181.25,Kansas city,-0.6200000000000045,1.1100000000000136,0,False,True,2
40,5be1ac50ca095c0001b9f717,181.64,182.36,Okay.,0.38999999999998636,0.7200000000000273,0,False,False,1
41,5f0bd06834894f4fb33be017,182.94,183.86,so,0.5799999999999841,0.9200000000000159,0,False,False,1
