turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,55ed87f0748092000baa9a0b,2.64,264.26,"Yeah. Oh Mhm. Yeah. Yeah. Mhm. Yeah the deficit. Mhm. It was mhm. Mhm. Yeah. Okay. Yeah. Mhm. Yeah. Uh huh mm. Right thank you for your attention. Mhm. Yeah. What is it? Yeah. Yeah. Okay you can do that. Yeah. Mhm. Yeah. Uh huh I want to sure about that. That's fine. All right. It's like I was worried about you. Forget, yeah. You know what it's nice. Mhm. Uh huh That's true. Yeah. Yeah. Oh yeah. People who think mhm exits. Yeah. Yeah just like you. Mhm.",,261.62,1,False,False,93
1,5f067c54f05beb1e8392a532,264.44,265.55,Hello?,0.18000000000000682,1.1100000000000136,1,True,False,1
2,55ed87f0748092000baa9a0b,265.44,267.56,Hello?,-0.11000000000001364,2.1200000000000045,1,True,True,1
3,5f067c54f05beb1e8392a532,267.24,267.44,"Yeah,",-0.3199999999999932,0.19999999999998863,0,False,True,1
4,55ed87f0748092000baa9a0b,267.94,268.26,Okay.,0.5,0.3199999999999932,0,False,False,1
5,5f067c54f05beb1e8392a532,268.04,269.46,I can you hear me?,-0.21999999999997044,1.419999999999959,1,True,True,5
6,55ed87f0748092000baa9a0b,269.74,271.26,Yeah I can hear you. And you and me.,0.28000000000002956,1.5199999999999818,0,False,False,9
7,5f067c54f05beb1e8392a532,272.44,272.76,Perfect.,1.1800000000000068,0.3199999999999932,0,False,False,1
8,55ed87f0748092000baa9a0b,272.64,277.41,Oh closing bell on the stock market. Right on,-0.12000000000000455,4.770000000000039,0,False,True,9
9,5f067c54f05beb1e8392a532,277.34,277.75,Yeah.,-0.07000000000005002,0.410000000000025,0,False,True,1
10,55ed87f0748092000baa9a0b,277.41,285.25,time. So your video is a little sluggish to me but I can hear you fine.,-0.339999999999975,7.839999999999975,0,False,True,16
11,5f067c54f05beb1e8392a532,286.24,291.95,"Okay. Um Your video and audio is perfect for me, so I'm not sure.",0.9900000000000091,5.7099999999999795,0,False,False,15
12,55ed87f0748092000baa9a0b,292.64,299.87,Did you get any instruct? Because I know that people get different instructions. I did this once before and it was free form. Um,0.6899999999999977,7.230000000000018,1,False,False,24
13,5f067c54f05beb1e8392a532,299.84,300.26,Mhm.,-0.03000000000002956,0.4200000000000159,0,False,True,1
14,55ed87f0748092000baa9a0b,299.88,304.06,I didn't I didn't see any instructions this time either so,-0.37999999999999545,4.180000000000007,0,False,True,13
15,5f067c54f05beb1e8392a532,304.54,306.43,"No, I think it any instructions just",0.4800000000000182,1.8899999999999864,0,False,False,7
16,55ed87f0748092000baa9a0b,306.34,306.54,yeah.,-0.09000000000003183,0.20000000000004547,0,False,True,1
17,5f067c54f05beb1e8392a532,306.43,308.05,saying that I participate,-0.11000000000001364,1.6200000000000045,0,False,True,4
18,55ed87f0748092000baa9a0b,307.44,307.64,Uh huh.,-0.6100000000000136,0.19999999999998863,0,False,True,2
19,5f067c54f05beb1e8392a532,308.05,308.7,in the 25,0.410000000000025,0.6499999999999773,0,False,False,3
20,55ed87f0748092000baa9a0b,308.24,308.56,Okay.,-0.45999999999997954,0.3199999999999932,0,False,True,1
21,5f067c54f05beb1e8392a532,308.7,309.76,minute conversation.,0.13999999999998636,1.0600000000000023,0,False,False,2
22,55ed87f0748092000baa9a0b,309.44,309.86,Okay.,-0.3199999999999932,0.4200000000000159,0,False,True,1
23,5f067c54f05beb1e8392a532,310.14,310.65,Um,0.2799999999999727,0.5099999999999909,0,False,False,1
24,55ed87f0748092000baa9a0b,310.34,311.35,Yeah.,-0.3100000000000023,1.0100000000000477,0,False,True,1
25,5f067c54f05beb1e8392a532,311.24,313.62,"What received swiss about or anything,",-0.11000000000001364,2.3799999999999955,0,False,True,6
26,55ed87f0748092000baa9a0b,313.44,313.65,Okay.,-0.18000000000000682,0.20999999999997954,0,False,True,1
27,5f067c54f05beb1e8392a532,313.62,314.26,so,-0.029999999999972715,0.6399999999999864,0,False,True,1
28,55ed87f0748092000baa9a0b,315.14,319.66,Yeah. So I guess this is just to be another 25 minute free form conversation.,0.8799999999999955,4.520000000000039,0,False,False,15
29,5f067c54f05beb1e8392a532,319.94,320.44,Yeah.,0.2799999999999727,0.5,0,False,False,1
30,55ed87f0748092000baa9a0b,321.04,322.96,"Oh, your video just dropped out.",0.6000000000000227,1.919999999999959,0,False,False,6
31,5f067c54f05beb1e8392a532,324.64,325.66,Uh,1.6800000000000068,1.0200000000000387,0,False,False,1
32,55ed87f0748092000baa9a0b,325.14,328.85,"Yeah. Yeah, I",-0.5200000000000387,3.7100000000000364,0,False,True,3
33,5f067c54f05beb1e8392a532,328.44,329.11,I'm sure,-0.410000000000025,0.6700000000000159,0,False,True,3
34,55ed87f0748092000baa9a0b,328.86,329.26,got this,-0.25,0.39999999999997726,0,False,True,2
