turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e2926d80beb030ede110e67,1.84,515.75,"Yeah. Okay. Yeah. For sure. Mhm. Oh. Mhm. Mhm. What happened? Okay. No. Okay. Yes. Mhm. See. Mhm. Yeah. Mhm. Mhm. Okay. Thank you. Questions. Yeah. Straight. Okay. Yeah. Yeah. Okay. Mhm. Yeah. Come on. Yes. Yeah. Mhm. Yeah. Yeah. Yeah. Mhm. Okay. Yeah. Mhm. Uh huh. Yeah. Yeah. Do you think community? Mhm. Yeah. Uh huh. Right. Yeah. Okay. Yeah. All right. Treatment. Yeah. Mhm. Thank you for your professional. Help me. Sure. I think the question find my brother because I wanted to make Oh, yeah. Yeah. Thank you. Got it connection. Mhm. Okay. Mm hmm. Yeah. You want to get pregnant? I can tell you that I haven't had the money. Yeah. Yeah. Thank you. Sure. Mhm. You got the shot. Okay. That's looking back. That's a good question. Thank you. Yeah. Mhm. Thank you. I don't remember. Come on. Mm.",,513.91,3,False,False,148
1,5eaad5dcc2e64603e5122442,599.48,600.38,Can you hear,83.73000000000002,0.8999999999999773,0,False,False,3
2,5e2926d80beb030ede110e67,600.34,601.48,"Hey,",-0.03999999999996362,1.1399999999999864,0,False,True,1
3,5eaad5dcc2e64603e5122442,600.38,600.76,me?,-1.1000000000000227,0.37999999999999545,1,True,True,1
4,5e2926d80beb030ede110e67,601.49,602.35,how are you?,0.7300000000000182,0.8600000000000136,1,True,False,3
5,5eaad5dcc2e64603e5122442,603.24,603.97,"Pretty good,",0.8899999999999864,0.7300000000000182,0,False,False,2
6,5e2926d80beb030ede110e67,603.55,603.86,Yeah.,-0.42000000000007276,0.3100000000000591,0,False,True,1
7,5eaad5dcc2e64603e5122442,603.97,605.23,pretty good.,0.11000000000001364,1.259999999999991,0,False,False,2
8,5e2926d80beb030ede110e67,604.24,605.15,"Oh, okay.",-0.9900000000000091,0.9099999999999682,0,False,True,2
9,5eaad5dcc2e64603e5122442,605.34,606.05,I'm Matthew,0.19000000000005457,0.7099999999999227,0,False,False,3
10,5e2926d80beb030ede110e67,606.06,607.2,"Karen,",0.009999999999990905,1.1400000000001,0,False,False,1
11,5eaad5dcc2e64603e5122442,606.06,606.56,good to be true.,-1.1400000000001,0.5,0,False,True,4
12,5e2926d80beb030ede110e67,607.2,607.95,nice to meet you.,0.6400000000001,0.75,0,False,False,4
13,5eaad5dcc2e64603e5122442,608.64,609.56,"Hey Karen,",0.6899999999999409,0.9199999999999591,0,False,False,2
14,5e2926d80beb030ede110e67,609.64,609.84,Yeah.,0.08000000000004093,0.20000000000004547,0,False,False,1
15,5eaad5dcc2e64603e5122442,610.04,610.85,where you from?,0.1999999999999318,0.8100000000000591,1,True,False,3
16,5e2926d80beb030ede110e67,610.44,612.86,Arizona. And you,-0.40999999999996817,2.419999999999959,0,False,True,3
17,5eaad5dcc2e64603e5122442,613.76,615.46,I am in Raleigh north Carolina.,0.8999999999999773,1.7000000000000455,0,False,False,6
18,5e2926d80beb030ede110e67,614.84,617.22,are you from there,-0.6200000000000045,2.3799999999999955,0,False,True,4
19,5eaad5dcc2e64603e5122442,617.14,617.76,So,-0.08000000000004093,0.6200000000000045,0,False,True,1
20,5e2926d80beb030ede110e67,617.22,618.16,originally?,-0.5399999999999636,0.9399999999999409,1,True,True,1
21,5eaad5dcc2e64603e5122442,619.04,622.16,"no, I grew up in Charlottesville Virginia actually.",0.8799999999999955,3.1200000000000045,0,False,False,8
22,5e2926d80beb030ede110e67,621.84,622.65,"Oh, I'm",-0.31999999999993634,0.8099999999999454,0,False,True,3
23,5eaad5dcc2e64603e5122442,622.54,623.56,Um,-0.11000000000001364,1.0199999999999818,0,False,True,1
24,5e2926d80beb030ede110e67,622.65,624.06,from busy.,-0.9099999999999682,1.4099999999999682,0,False,True,2
25,5eaad5dcc2e64603e5122442,624.34,624.96,"Oh jersey,",0.2800000000000864,0.6200000000000045,0,False,False,2
26,5e2926d80beb030ede110e67,624.74,627.65,Mhm.,-0.22000000000002728,2.909999999999968,0,False,True,1
27,5eaad5dcc2e64603e5122442,624.96,634.75,"Okay. Yeah, I lived in Albany new york which is upstate but still I lived there for about 10 years and then we moved to Charlottesville. So",-2.689999999999941,9.789999999999964,0,False,True,27
28,5e2926d80beb030ede110e67,634.24,637.03,Yeah. Yeah. Is my face,-0.5099999999999909,2.7899999999999636,0,False,True,5
29,5eaad5dcc2e64603e5122442,636.74,637.07,how do,-0.2899999999999636,0.3300000000000409,0,False,True,2
30,5e2926d80beb030ede110e67,637.03,637.17,is,-0.04000000000007731,0.13999999999998636,0,False,True,1
31,5eaad5dcc2e64603e5122442,637.07,637.46,you?,-0.09999999999990905,0.38999999999998636,1,True,True,1
32,5e2926d80beb030ede110e67,637.18,640.06,most of the camera is yours?,-0.2800000000000864,2.8799999999999955,1,True,True,6
33,5eaad5dcc2e64603e5122442,639.64,640.79,"Uh No,",-0.4199999999999591,1.1499999999999773,0,False,True,2
34,5e2926d80beb030ede110e67,640.74,642.14,Yeah.,-0.049999999999954525,1.3999999999999773,0,False,True,1
35,5eaad5dcc2e64603e5122442,640.79,645.36,I don't think so. I just have a small desk.,-1.3500000000000227,4.57000000000005,0,False,True,11
36,5e2926d80beb030ede110e67,642.84,648.45,Okay. Because I would hate for my face to be.,-2.519999999999982,5.610000000000014,0,False,True,10
37,5eaad5dcc2e64603e5122442,646.44,651.64,"Yeah, my desk is just kind of small, I just have that laptop",-2.009999999999991,5.199999999999932,0,False,True,13
38,5e2926d80beb030ede110e67,651.44,651.76,Mhm.,-0.1999999999999318,0.31999999999993634,0,False,True,1
39,5eaad5dcc2e64603e5122442,651.65,652.9,right here. Otherwise,-0.11000000000001364,1.25,0,False,True,3
40,5e2926d80beb030ede110e67,652.54,652.95,Yeah.,-0.36000000000001364,0.41000000000008185,0,False,True,1
41,5eaad5dcc2e64603e5122442,652.9,653.36,I'm,-0.05000000000006821,0.4600000000000364,0,False,True,2
42,5e2926d80beb030ede110e67,653.54,656.15,Don't you love these prolific survey?,0.17999999999994998,2.6100000000000136,1,True,False,7
43,5eaad5dcc2e64603e5122442,656.04,657.14,"Oh yeah,",-0.11000000000001364,1.1000000000000227,0,False,True,2
44,5e2926d80beb030ede110e67,656.94,657.77,It's an easy way,-0.1999999999999318,0.8299999999999272,0,False,True,5
45,5eaad5dcc2e64603e5122442,657.64,657.82,I,-0.12999999999999545,0.18000000000006366,0,False,True,1
46,5e2926d80beb030ede110e67,657.77,657.84,to,-0.05000000000006821,0.07000000000005002,0,False,True,1
47,5eaad5dcc2e64603e5122442,657.82,658.66,"mean,",-0.01999999999998181,0.8399999999999181,0,False,True,1
48,5e2926d80beb030ede110e67,657.84,659.46,make it. Right.,-0.8199999999999363,1.6200000000000045,0,False,True,3
49,5eaad5dcc2e64603e5122442,659.24,661.35,"Oh absolutely, especially like being",-0.22000000000002728,2.1100000000000136,0,False,True,5
50,5e2926d80beb030ede110e67,661.14,662.76,Mhm.,-0.21000000000003638,1.6200000000000045,0,False,True,1
51,5eaad5dcc2e64603e5122442,661.35,666.12,home. Uh I've been working from home since like mid March,-1.4099999999999682,4.769999999999982,0,False,True,12
52,5e2926d80beb030ede110e67,665.94,666.14,Yeah.,-0.17999999999994998,0.1999999999999318,0,False,True,1
53,5eaad5dcc2e64603e5122442,666.12,666.86,or so,-0.01999999999998181,0.7400000000000091,0,False,True,2
54,5e2926d80beb030ede110e67,666.84,667.56,Mhm.,-0.01999999999998181,0.7199999999999136,0,False,True,1
55,5eaad5dcc2e64603e5122442,667.44,668.02,and,-0.11999999999989086,0.5799999999999272,0,False,True,1
56,5e2926d80beb030ede110e67,667.94,668.15,We've,-0.07999999999992724,0.2099999999999227,0,False,True,2
57,5eaad5dcc2e64603e5122442,668.03,668.18,you,-0.12000000000000455,0.14999999999997726,0,False,True,1
58,5e2926d80beb030ede110e67,668.16,668.31,been,-0.01999999999998181,0.14999999999997726,0,False,True,1
59,5eaad5dcc2e64603e5122442,668.18,668.32,"know, I",-0.12999999999999545,0.14000000000010004,0,False,True,2
60,5e2926d80beb030ede110e67,668.31,668.6,working,-0.010000000000104592,0.2900000000000773,0,False,True,1
61,5eaad5dcc2e64603e5122442,668.32,668.87,have been doing,-0.2799999999999727,0.5499999999999545,0,False,True,3
62,5e2926d80beb030ede110e67,668.6,668.78,on.,-0.2699999999999818,0.17999999999994998,0,False,True,1
63,5eaad5dcc2e64603e5122442,668.87,671.83,"things beforehand but now that I'm kinda,",0.09000000000003183,2.9600000000000364,0,False,False,8
64,5e2926d80beb030ede110e67,671.04,671.25,Mhm.,-0.7900000000000773,0.21000000000003638,0,False,True,1
65,5eaad5dcc2e64603e5122442,671.84,676.51,"I guess you'd say nobody's watching behind me, I'm like well okay, I can do more surveys,",0.5900000000000318,4.669999999999959,0,False,False,20
66,5e2926d80beb030ede110e67,676.44,677.76,Right.,-0.06999999999993634,1.3199999999999363,0,False,True,1
67,5eaad5dcc2e64603e5122442,676.51,684.68,"I can do more things and you know, take an hour here there to do like a one of those in person uh",-1.25,8.169999999999959,0,False,True,23
68,5e2926d80beb030ede110e67,684.04,684.21,Yeah.,-0.6399999999999864,0.17000000000007276,0,False,True,1
69,5eaad5dcc2e64603e5122442,684.69,686.96,"usability test, stuff like that, so",0.4800000000000182,2.269999999999982,0,False,False,6
70,5e2926d80beb030ede110e67,687.1,687.52,I did,0.13999999999998636,0.4199999999999591,0,False,False,2
71,5eaad5dcc2e64603e5122442,687.44,687.68,some,-0.07999999999992724,0.2399999999998954,0,False,True,1
72,5e2926d80beb030ede110e67,687.52,687.86,want,-0.15999999999996817,0.34000000000003183,0,False,True,1
73,5eaad5dcc2e64603e5122442,687.68,688.36,pretty nice.,-0.18000000000006366,0.6800000000000637,0,False,True,2
