turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5a68c01031b87a0001c752c3,2.01,259.96,I don't think there's nothing. Mhm. Yeah. Yeah. Yeah. Oh yeah mm mm. Yeah. Yeah. Right. Yeah. Mhm. Oh. Mhm. Call Mhm. Yeah. Mhm. Mhm. Yes. Yeah. Yeah. Mhm. Mhm. Mhm. Yeah. Mhm. Yeah. But mhm. Yeah. Yeah. Mhm. Yeah. Yeah. Mhm mm. Yeah. Uh huh. Yeah. Yeah. Yeah. Yeah. Yeah. Uh huh. Yeah. Yeah. Yeah. Okay. Yeah. Mhm mm. Okay. Yeah. So um yeah. Oh. Mhm. Okay mm. Thank you. Uh huh. Mhm. Yeah. Mhm. Mhm. Yeah. Okay. Okay. Yeah.,,257.95,0,False,False,83
1,5e87b6503b574043226609c0,265.34,265.76,Hello?,5.3799999999999955,0.4200000000000159,1,True,False,1
2,5a68c01031b87a0001c752c3,265.64,267.46,But I,-0.12000000000000455,1.8199999999999932,0,False,True,2
3,5e87b6503b574043226609c0,267.94,269.05,Hi how are you?,0.4800000000000182,1.1100000000000136,1,True,False,4
4,5a68c01031b87a0001c752c3,268.54,271.64,good. Yeah.,-0.5099999999999909,3.099999999999966,0,False,True,2
5,5e87b6503b574043226609c0,271.64,272.15,Right,0.0,0.5099999999999909,0,False,False,1
6,5a68c01031b87a0001c752c3,272.04,272.36,Okay,-0.1099999999999568,0.3199999999999932,0,False,True,1
7,5e87b6503b574043226609c0,273.14,275.08,so have you done one of these,0.7799999999999727,1.9399999999999977,0,False,False,7
8,5a68c01031b87a0001c752c3,275.04,275.43,you,-0.03999999999996362,0.38999999999998636,0,False,True,1
9,5e87b6503b574043226609c0,275.08,275.96,studies before?,-0.35000000000002274,0.8799999999999955,1,True,True,2
10,5a68c01031b87a0001c752c3,275.43,278.75,"are, nope.",-0.5299999999999727,3.319999999999993,0,False,True,2
11,5e87b6503b574043226609c0,278.84,280.09,Well,0.08999999999997499,1.25,0,False,False,1
12,5a68c01031b87a0001c752c3,279.84,280.15,Have,-0.25,0.3100000000000023,0,False,True,1
13,5e87b6503b574043226609c0,280.09,280.27,you're,-0.060000000000002274,0.18000000000000682,0,False,True,2
14,5a68c01031b87a0001c752c3,280.15,280.56,you?,-0.12000000000000455,0.410000000000025,1,True,True,1
15,5e87b6503b574043226609c0,280.27,281.01,my fourth,-0.29000000000002046,0.7400000000000091,0,False,True,2
16,5a68c01031b87a0001c752c3,280.94,281.26,Okay?,-0.06999999999999318,0.3199999999999932,1,True,True,1
17,5e87b6503b574043226609c0,281.01,282.05,now so,-0.25,1.0400000000000205,0,False,True,2
18,5a68c01031b87a0001c752c3,281.84,283.06,"Oh my gosh,",-0.21000000000003638,1.2200000000000273,0,False,True,3
19,5e87b6503b574043226609c0,282.74,285.04,Yeah,-0.3199999999999932,2.3000000000000114,0,False,True,1
20,5a68c01031b87a0001c752c3,284.44,285.56,No one ever joins,-0.6000000000000227,1.1200000000000045,0,False,True,4
21,5e87b6503b574043226609c0,285.54,285.89,third,-0.01999999999998181,0.3499999999999659,0,False,True,1
22,5a68c01031b87a0001c752c3,285.56,286.36,"my,",-0.3299999999999841,0.8000000000000114,0,False,True,1
23,5e87b6503b574043226609c0,285.89,291.26,in the past. You're my third in the past week and then the other one is about three weeks ago. So.,-0.4700000000000273,5.3700000000000045,0,False,True,22
24,5a68c01031b87a0001c752c3,290.84,292.26,wow,-0.4200000000000159,1.420000000000016,0,False,True,1
25,5e87b6503b574043226609c0,292.24,294.06,Yeah.,-0.01999999999998181,1.8199999999999932,0,False,True,1
26,5a68c01031b87a0001c752c3,292.27,296.96,wow. Uh this is my third time. 3rd time's a charm.,-1.7900000000000205,4.689999999999998,0,False,True,12
27,5e87b6503b574043226609c0,297.74,298.45,Yeah.,0.7800000000000296,0.7099999999999795,0,False,False,1
28,5a68c01031b87a0001c752c3,297.84,298.86,Fuck you carl,-0.6100000000000136,1.0200000000000387,0,False,True,3
29,5e87b6503b574043226609c0,299.24,307.45,Yeah it's pretty cool. I mean I had one that didn't I had one that didn't there was a no show but then I've had you're the fourth I've actually talked to so,0.37999999999999545,8.20999999999998,0,False,False,39
30,5a68c01031b87a0001c752c3,306.74,307.85,wow.,-0.7099999999999795,1.1100000000000136,0,False,True,1
31,5e87b6503b574043226609c0,307.84,310.15,yeah it's pretty cool.,-0.010000000000047748,2.3100000000000023,0,False,True,5
32,5a68c01031b87a0001c752c3,311.04,314.66,So what do I expect?,0.8900000000000432,3.6200000000000045,1,True,False,5
33,5e87b6503b574043226609c0,315.04,318.74,Right? Uh huh. I you know you literally,0.37999999999999545,3.6999999999999886,1,False,False,8
34,5a68c01031b87a0001c752c3,318.34,318.55,Okay.,-0.4000000000000341,0.21000000000003638,0,False,True,1
35,5e87b6503b574043226609c0,318.74,335.65,"just talk about anything I mean Uh huh. I guess I guess they're just trying to study like how people, how strangers Connect, how strangers talk you know when you talk to somebody for the first time or whatever. But they haven't they don't give you any guidelines on",0.18999999999999773,16.909999999999968,0,False,False,52
36,5a68c01031b87a0001c752c3,335.64,336.15,Mhm.,-0.009999999999990905,0.5099999999999909,0,False,True,1
37,5e87b6503b574043226609c0,335.65,342.55,what to talk about. So you literally just talk about anything for 25 minutes. So it's like okay,-0.5,6.900000000000034,0,False,True,19
38,5a68c01031b87a0001c752c3,340.64,341.36,All right.,-1.910000000000025,0.7200000000000273,0,False,True,2
39,5e87b6503b574043226609c0,343.14,343.88,And you know the,1.7799999999999727,0.7400000000000091,0,False,False,4
40,5a68c01031b87a0001c752c3,343.84,344.16,Yeah.,-0.040000000000020464,0.32000000000005,0,False,True,1
41,5e87b6503b574043226609c0,343.88,348.56,"whole thing takes less than an hour and for 14 bucks I'm like, it's worth it.",-0.28000000000002956,4.680000000000007,0,False,True,18
42,5a68c01031b87a0001c752c3,348.44,349.06,Yeah.,-0.12000000000000455,0.6200000000000045,0,False,True,1
43,5e87b6503b574043226609c0,349.04,350.86,So,-0.01999999999998181,1.8199999999999932,0,False,True,1
44,5a68c01031b87a0001c752c3,350.04,351.06,Also,-0.8199999999999932,1.0199999999999818,0,False,True,1
45,5e87b6503b574043226609c0,351.24,352.26,so where are you from?,0.18000000000000682,1.0199999999999818,1,True,False,5
46,5a68c01031b87a0001c752c3,352.84,355.96,uh just outside Washington D. C.,0.5799999999999841,3.1200000000000045,0,False,False,6
47,5e87b6503b574043226609c0,356.04,360.75,"I'm originally from texas, but I'm living in the Idaho at the moment, so",0.08000000000004093,4.7099999999999795,0,False,False,16
48,5a68c01031b87a0001c752c3,360.74,361.85,"Whoa,",-0.009999999999990905,1.1100000000000136,0,False,True,1
49,5e87b6503b574043226609c0,362.34,364.26,"yeah, I",0.48999999999995225,1.920000000000016,0,False,False,2
50,5a68c01031b87a0001c752c3,364.14,364.46,what,-0.12000000000000455,0.3199999999999932,0,False,True,1
51,5e87b6503b574043226609c0,364.26,364.64,lived,-0.19999999999998863,0.37999999999999545,0,False,True,1
52,5a68c01031b87a0001c752c3,364.46,364.77,were you,-0.18000000000000682,0.3100000000000023,0,False,True,2
53,5e87b6503b574043226609c0,364.64,364.83,in,-0.12999999999999545,0.18999999999999773,0,False,True,1
54,5a68c01031b87a0001c752c3,364.78,365.0,doing?,-0.05000000000001137,0.22000000000002728,1,True,True,1
55,5e87b6503b574043226609c0,364.83,365.66,"a,",-0.17000000000001592,0.8300000000000409,0,False,True,1
56,5a68c01031b87a0001c752c3,365.0,365.76,Holiday? Ho,-0.660000000000025,0.7599999999999909,1,False,True,2
57,5e87b6503b574043226609c0,366.04,375.78,"well I lived in the UK for a couple of years and then um I came back and I'm kind of just here until I get back on my feet, so um",0.28000000000002956,9.739999999999952,0,False,False,33
58,5a68c01031b87a0001c752c3,375.54,375.98,I'm,-0.23999999999995225,0.4399999999999977,0,False,True,2
59,5e87b6503b574043226609c0,375.79,375.99,my,-0.18999999999999773,0.19999999999998863,0,False,True,1
60,5a68c01031b87a0001c752c3,375.99,376.25,well,0.0,0.2599999999999909,0,False,False,1
61,5e87b6503b574043226609c0,375.99,376.55,"mom,",-0.2599999999999909,0.5600000000000023,0,False,True,1
62,5a68c01031b87a0001c752c3,376.26,376.84,you're doing,-0.29000000000002046,0.5799999999999841,0,False,True,3
63,5e87b6503b574043226609c0,376.56,377.05,my mom,-0.2799999999999727,0.4900000000000091,0,False,True,2
64,5a68c01031b87a0001c752c3,376.84,377.25,him.,-0.21000000000003638,0.410000000000025,0,False,True,1
65,5e87b6503b574043226609c0,377.05,383.7,"and step my mom and step dad live here, so I'm just kind of staying with them and temporarily until I get sorted",-0.19999999999998863,6.649999999999977,0,False,True,24
66,5a68c01031b87a0001c752c3,383.34,383.55,Mhm.,-0.36000000000001364,0.21000000000003638,0,False,True,1
67,5e87b6503b574043226609c0,383.7,384.46,out and everything.,0.14999999999997726,0.7599999999999909,0,False,False,3
68,5a68c01031b87a0001c752c3,384.94,398.07,"Well I live with my dad but I've got I've got a pretty intense job so I'm I'm like whoa, as long as like there's this covid thing and",0.4800000000000182,13.129999999999995,0,False,False,34
69,5e87b6503b574043226609c0,397.74,399.05,"Yeah,",-0.3299999999999841,1.3100000000000023,0,False,True,1
70,5a68c01031b87a0001c752c3,398.07,401.22,"I'm home, I'll save up a bunch",-0.9800000000000182,3.150000000000034,0,False,True,9
71,5e87b6503b574043226609c0,400.94,401.57,that's,-0.28000000000002956,0.6299999999999955,0,False,True,2
72,5a68c01031b87a0001c752c3,401.22,401.56,of money.,-0.3499999999999659,0.339999999999975,0,False,True,2
73,5e87b6503b574043226609c0,401.57,404.76,"what I'm trying to, I'm trying to find remote work because",0.009999999999990905,3.1899999999999977,0,False,False,13
74,5a68c01031b87a0001c752c3,404.64,405.35,Yeah.,-0.12000000000000455,0.7100000000000364,0,False,True,1
75,5e87b6503b574043226609c0,404.77,409.39,"I don't drive anyway, I'm visually impaired, so I can't I can't drive, so remote",-0.5800000000000409,4.6200000000000045,0,False,True,19
76,5a68c01031b87a0001c752c3,409.24,409.45,Mhm.,-0.14999999999997726,0.20999999999997954,0,False,True,1
77,5e87b6503b574043226609c0,409.39,414.76,"work is ideal for me actually to, so that's that's actually what I'm trying to look for.",-0.060000000000002274,5.3700000000000045,0,False,True,20
78,5a68c01031b87a0001c752c3,414.64,420.66,"Also, yeah, my my brother is visually impaired and he's",-0.12000000000000455,6.020000000000039,0,False,True,11
