turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e4b0189cdf5a6011838a6a2,1.67,541.64,"From where? Oh, quite necessary. Yeah. Wow. Yeah. I don't get that life. Well site. Okay. I am much uglier with the light on. There's no true spending. So what do you do? Oh yes. Pete. You didn't you really bad. Yes. Okay. Mhm. All right. You're on your own. Sport was about to start any second. Yeah. If I open the door, I wouldn't want, I still have that. Thank you. Okay. Right. Mhm Oh, you cut out uh huh. Uh huh. You cut it out. Yeah. Yeah. Right. Okay. No, I'll go looking thing on my head water. Go away. Yeah. Ocean. Yeah. Are you really Isil? Right. Yeah, Yeah, Yeah. Yeah. No, no. Support what? Okay. Okay. Oh, and my top park. I don't want to uh, maybe stood up. It's really open. Yeah. Mhm Yeah. Well my mother certainly in general. Okay. Yeah. Once I thought last time, so I could be wrong. Mhm Yeah. Mm hmm. I fed you like eight times a day, literally. It's amazing when you can talk. Yeah. Yeah. Mhm Yeah. Mm hmm. Oh yeah, it's on your head out bro. Yeah. Yeah. I want you. Russia will kill every day it breaks. Okay. Krug out there. Okay, relax, relax story. You killed him. Well, well, well, mhm. Uh huh. Uh huh. Nothing. Yeah. Okay. Okay. Is going on. And what time is the game? Yeah. Yeah. Yeah. With a little envious. Mhm Yeah. Yeah. Okay. Yeah. Yeah. Mhm. Thank you. Mhm Yeah. Why is 72? Yeah. Okay. Yeah. Mhm. Yeah. You know the kid? Uh I think we want a kid. Mhm. Um Maybe here. I mean this is perfect. All right. Okay. Mm. Yeah. Mhm. Okay. Mhm. Yeah. Yeah. Okay. Yeah. Okay. Jaber to mark support. 20 years old. Yeah. Listen to you. 20 years old. And the drinking here be like so much money for two. Mhm. Oh, out. Is that crazy? Got it. Yeah. A good thing going on. What? Mhm Sputnik. I'm getting over it. Way around it. Yeah, perhaps a poison Get over. That's right. Are we going around? Mhm What were the rules? 5, 10 minutes. Okay, so All right. Mhm. Mhm Yeah. Okay. Okay, boss. Mhm Mhm. Mhm Yeah. Yeah. Yeah. Uh huh. Yeah. Mhm. What will they do? Okay. Yeah. Yeah. Yeah. Problem. No record. Yeah. Yeah.",,539.97,12,False,False,407
1,5f4a4da1575d605c43bef871,550.84,551.95,Can you hear me?,9.200000000000045,1.1100000000000136,1,True,False,4
2,5e4b0189cdf5a6011838a6a2,552.64,553.45,Hi.,0.6899999999999409,0.8100000000000591,0,False,False,1
3,5f4a4da1575d605c43bef871,553.64,554.24,I'm so,0.18999999999994088,0.6000000000000227,0,False,False,3
4,5e4b0189cdf5a6011838a6a2,554.14,555.79,I,-0.10000000000002274,1.6499999999999773,0,False,True,1
5,5f4a4da1575d605c43bef871,554.24,555.94,sorry. You get,-1.5499999999999545,1.7000000000000455,0,False,True,3
6,5e4b0189cdf5a6011838a6a2,555.8,556.26,don't,-0.14000000000010004,0.4600000000000364,0,False,True,2
7,5f4a4da1575d605c43bef871,555.95,561.92,broken links. So I had to come in with a different link on,-0.30999999999994543,5.969999999999914,0,False,True,13
8,5e4b0189cdf5a6011838a6a2,561.54,562.05,I,-0.37999999999999545,0.5099999999999909,0,False,True,1
9,5f4a4da1575d605c43bef871,561.92,562.46,an old,-0.12999999999999545,0.5400000000000773,0,False,True,2
10,5e4b0189cdf5a6011838a6a2,562.06,562.76,would,-0.40000000000009095,0.7000000000000455,0,False,True,1
11,5f4a4da1575d605c43bef871,562.47,563.05,"one,",-0.2899999999999636,0.5799999999999272,0,False,True,1
