turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,561d98e03d7fe8000b0f5e09,0.74,24.85,"You see things going to school to get up, Dipshit is not a small guy. 65, Looking to share. Uh, this visit is his vision for me Dan. He has great vision, great awareness. I think that's why you find that something. Yeah, yeah,",,24.110000000000003,0,False,False,45
1,5c5f7a56054ae60001d066f2,24.14,24.46,Yeah,-0.7100000000000009,0.3200000000000003,0,False,True,1
2,561d98e03d7fe8000b0f5e09,25.24,26.04,course with,0.7799999999999976,0.8000000000000007,0,False,False,2
3,5c5f7a56054ae60001d066f2,27.14,27.35,mm.,1.1000000000000014,0.21000000000000085,0,False,False,1
4,561d98e03d7fe8000b0f5e09,27.24,29.07,I'm,-0.11000000000000298,1.8300000000000018,0,False,True,2
5,5c5f7a56054ae60001d066f2,29.04,29.24,Yeah.,-0.030000000000001137,0.1999999999999993,0,False,True,1
6,561d98e03d7fe8000b0f5e09,29.07,31.56,so happy someone showed up. Do you hear me?,-0.16999999999999815,2.4899999999999984,1,True,True,9
7,5c5f7a56054ae60001d066f2,32.34,33.45,Mhm.,0.7800000000000047,1.1099999999999994,0,False,False,1
8,561d98e03d7fe8000b0f5e09,34.14,39.59,"Okay? Great. Read the hand because not only does it turn around,",0.6899999999999977,5.450000000000003,1,False,False,12
9,5c5f7a56054ae60001d066f2,39.44,39.65,Mhm.,-0.15000000000000568,0.21000000000000085,0,False,True,1
10,561d98e03d7fe8000b0f5e09,39.59,40.26,but it was low.,-0.05999999999999517,0.6699999999999946,0,False,True,4
11,5c5f7a56054ae60001d066f2,40.04,41.06,Okay. Okay.,-0.21999999999999886,1.0200000000000031,0,False,True,2
12,561d98e03d7fe8000b0f5e09,41.34,43.05,"Hi, I'm Karen. Who are you?",0.28000000000000114,1.7099999999999937,1,True,False,7
13,5c5f7a56054ae60001d066f2,45.24,47.94,I'm just e yeah.,2.190000000000005,2.6999999999999957,0,False,False,5
14,561d98e03d7fe8000b0f5e09,47.54,49.56,"Okay, cool.",-0.3999999999999986,2.020000000000003,0,False,True,2
15,5c5f7a56054ae60001d066f2,48.94,51.28,Mhm. Oh yes,-0.6200000000000045,2.3400000000000034,0,False,True,3
16,561d98e03d7fe8000b0f5e09,51.44,52.17,So,0.1599999999999966,0.730000000000004,0,False,False,1
17,5c5f7a56054ae60001d066f2,51.74,52.16,it is.,-0.4299999999999997,0.4199999999999946,0,False,True,2
18,561d98e03d7fe8000b0f5e09,52.18,55.16,where are you located? Are you in the United States?,0.020000000000003126,2.979999999999997,2,True,False,10
19,5c5f7a56054ae60001d066f2,56.14,58.36,Mhm. Texas,0.980000000000004,2.219999999999999,0,False,False,2
20,561d98e03d7fe8000b0f5e09,58.74,64.58,All right. I'm in Virginia. I was just watching a Redskins,0.38000000000000256,5.839999999999996,0,False,False,12
21,5c5f7a56054ae60001d066f2,64.34,64.93,yeah.,-0.23999999999999488,0.5900000000000034,0,False,True,1
22,561d98e03d7fe8000b0f5e09,64.58,65.03,football,-0.3500000000000085,0.45000000000000284,0,False,True,1
23,5c5f7a56054ae60001d066f2,64.94,65.26,Okay.,-0.09000000000000341,0.3200000000000074,0,False,True,1
24,561d98e03d7fe8000b0f5e09,65.03,70.94,"game. They're my favorite team. They don't do very well, unfortunately.",-0.23000000000000398,5.909999999999997,0,False,True,13
25,5c5f7a56054ae60001d066f2,68.84,69.65,Mhm.,-2.0999999999999943,0.8100000000000023,0,False,True,1
26,561d98e03d7fe8000b0f5e09,70.95,72.66,That's kind of sad.,1.2999999999999972,1.7099999999999937,0,False,False,5
27,5c5f7a56054ae60001d066f2,72.94,73.26,Mhm.,0.28000000000000114,0.3200000000000074,0,False,False,1
28,561d98e03d7fe8000b0f5e09,73.64,74.96,Are you a sports fan?,0.37999999999999545,1.3199999999999932,1,True,False,5
29,5c5f7a56054ae60001d066f2,75.54,77.05,Yes. Mhm.,0.5800000000000125,1.509999999999991,0,False,False,2
30,561d98e03d7fe8000b0f5e09,77.94,80.18,No. What do you like,0.8900000000000006,2.240000000000009,0,False,False,5
31,5c5f7a56054ae60001d066f2,79.94,80.15,Mhm.,-0.2400000000000091,0.21000000000000796,0,False,True,1
32,561d98e03d7fe8000b0f5e09,80.18,80.86,to do?,0.030000000000001137,0.6799999999999926,1,True,False,2
33,5c5f7a56054ae60001d066f2,80.74,86.26,Right. Mhm. Yeah. Just stay at home. Read a little bit.,-0.12000000000000455,5.52000000000001,0,False,True,11
34,561d98e03d7fe8000b0f5e09,87.44,92.45,"Okay, so have you participated in any of these prolific chats",1.1799999999999926,5.010000000000005,0,False,False,11
35,5c5f7a56054ae60001d066f2,92.44,92.65,Mhm.,-0.010000000000005116,0.21000000000000796,0,False,True,1
36,561d98e03d7fe8000b0f5e09,92.45,93.26,before?,-0.20000000000000284,0.8100000000000023,1,True,True,1
37,5c5f7a56054ae60001d066f2,93.04,95.96,Yeah. A couple.,-0.21999999999999886,2.9199999999999875,0,False,True,3
