turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f1798fcec2e75013c28cfc7,39.94,42.36,okay.,,2.4200000000000017,0,False,False,1
1,5c27e76978fad500019328cc,41.84,42.59,Yeah,-0.519999999999996,0.75,0,False,True,1
2,5f1798fcec2e75013c28cfc7,43.14,46.05,What's going on? How you doing?,0.5499999999999972,2.9099999999999966,2,True,False,7
3,5c27e76978fad500019328cc,45.14,46.76,myself.,-0.9099999999999966,1.6199999999999974,0,False,True,1
4,5f1798fcec2e75013c28cfc7,46.74,48.26,All right. All right.,-0.01999999999999602,1.519999999999996,0,False,True,4
5,5c27e76978fad500019328cc,48.44,48.86,Mhm.,0.17999999999999972,0.4200000000000017,0,False,False,1
6,5f1798fcec2e75013c28cfc7,48.64,50.52,I'm,-0.21999999999999886,1.8800000000000026,0,False,True,2
7,5c27e76978fad500019328cc,50.24,50.86,Another death.,-0.28000000000000114,0.6199999999999974,0,False,True,2
8,5f1798fcec2e75013c28cfc7,50.52,50.95,stupid.,-0.3399999999999963,0.4299999999999997,0,False,True,1
9,5c27e76978fad500019328cc,51.24,51.47,Oh,0.28999999999999915,0.22999999999999687,0,False,False,1
10,5f1798fcec2e75013c28cfc7,51.44,51.64,Do,-0.030000000000001137,0.20000000000000284,0,False,True,1
11,5c27e76978fad500019328cc,51.47,51.96,go ahead.,-0.1700000000000017,0.490000000000002,0,False,True,2
12,5f1798fcec2e75013c28cfc7,51.64,58.86,you think? What? Oh you said what? I couldn't get that.,-0.3200000000000003,7.219999999999999,3,False,True,12
13,5c27e76978fad500019328cc,59.44,60.46,Like you say that again.,0.5799999999999983,1.0200000000000031,0,False,False,5
14,5f1798fcec2e75013c28cfc7,60.74,62.56,Oh yeah I said I'm steven,0.28000000000000114,1.8200000000000003,0,False,False,7
15,5c27e76978fad500019328cc,62.94,64.26,Oh hi I'm Mark.,0.37999999999999545,1.3200000000000074,0,False,False,5
16,5f1798fcec2e75013c28cfc7,64.34,65.94,Margaret. All right nice,0.0799999999999983,1.5999999999999943,0,False,False,4
17,5c27e76978fad500019328cc,65.84,66.16,Yeah.,-0.09999999999999432,0.3199999999999932,0,False,True,1
18,5f1798fcec2e75013c28cfc7,65.94,67.77,nice meeting you. Mark,-0.21999999999999886,1.8299999999999983,0,False,True,4
19,5c27e76978fad500019328cc,67.44,67.8,Yeah,-0.3299999999999983,0.35999999999999943,0,False,True,1
20,5f1798fcec2e75013c28cfc7,67.78,70.55,are beginning. Have you tried this before?,-0.01999999999999602,2.769999999999996,1,True,True,7
21,5c27e76978fad500019328cc,70.84,74.21,I have actually done this before. Yeah. Although the last couple of times I've tried,0.29000000000000625,3.3699999999999903,0,False,False,16
22,5f1798fcec2e75013c28cfc7,74.04,74.46,Oh,-0.1699999999999875,0.4199999999999875,0,False,True,1
23,5c27e76978fad500019328cc,74.21,75.34,to have the people have been showed,-0.25,1.1300000000000097,0,False,True,7
24,5f1798fcec2e75013c28cfc7,75.14,75.43,what?,-0.20000000000000284,0.29000000000000625,1,True,True,1
25,5c27e76978fad500019328cc,75.34,76.35,up so,-0.09000000000000341,1.009999999999991,0,False,True,2
26,5f1798fcec2e75013c28cfc7,76.34,77.66,Oh.,-0.009999999999990905,1.3199999999999932,0,False,True,1
27,5c27e76978fad500019328cc,76.36,78.96,you know it's just me staring at a blank screen for five,-1.2999999999999972,2.5999999999999943,0,False,True,13
28,5f1798fcec2e75013c28cfc7,78.94,79.98,Oh,-0.01999999999999602,1.0400000000000063,0,False,True,1
29,5c27e76978fad500019328cc,78.96,79.45,minutes.,-1.0200000000000102,0.4900000000000091,0,False,True,1
30,5f1798fcec2e75013c28cfc7,79.99,87.66,wow. Well I did I did bones. This would be my 2nd 1. The person actually did show up. It was a nice conversation.,0.539999999999992,7.670000000000002,0,False,False,24
