turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5eb06b5c438b1810fe2e58a2,1.44,140.94,"Okay, the yeah, okay. Hello? I am, I'm able to hear you. Can you say something again? Can you hear me Okay. Right. I think I will be able to hear, you know, I could hear the mic headphone come out but I couldn't, I still can't hear you. Mhm. I wonder if I nervous to refresh this because then it may go away. Give me one second. Let's try and see what happens. Right. Anything. Can you, can you try to say something? Yeah, no, you know? Okay. Yeah,",,139.5,4,False,False,94
1,5cb62855a8a6d400176eca83,144.14,144.65,Okay.,3.1999999999999886,0.5100000000000193,0,False,False,1
2,5eb06b5c438b1810fe2e58a2,144.44,146.06,"yep, that's it.",-0.21000000000000796,1.6200000000000045,0,False,True,4
3,5cb62855a8a6d400176eca83,146.54,147.64,"Okay,",0.47999999999998977,1.0999999999999943,0,False,False,1
4,5eb06b5c438b1810fe2e58a2,147.54,147.75,And,-0.09999999999999432,0.21000000000000796,0,False,True,1
5,5cb62855a8a6d400176eca83,147.65,148.46,fill it with me.,-0.09999999999999432,0.8100000000000023,0,False,True,4
6,5eb06b5c438b1810fe2e58a2,149.04,149.84,"yeah,",0.5799999999999841,0.8000000000000114,0,False,False,1
7,5cb62855a8a6d400176eca83,149.44,158.16,I'm trying to use my son's headphones because I wanted to make sure that I was heard. But you wouldn't hear my dogs or anything because I live out. I'm very rural,-0.4000000000000057,8.719999999999999,0,False,True,36
8,5eb06b5c438b1810fe2e58a2,158.24,158.74,"Yeah,",0.0800000000000125,0.5,0,False,False,1
9,5cb62855a8a6d400176eca83,158.64,162.59,out on the homestead. So we have dogs and cats and ducks and chickens,-0.10000000000002274,3.950000000000017,0,False,True,14
10,5eb06b5c438b1810fe2e58a2,162.54,162.88,more,-0.05000000000001137,0.3400000000000034,0,False,True,1
11,5cb62855a8a6d400176eca83,162.59,162.86,"and,",-0.28999999999999204,0.27000000000001023,0,False,True,1
12,5eb06b5c438b1810fe2e58a2,162.88,163.26,fun.,0.01999999999998181,0.37999999999999545,0,False,False,1
13,5cb62855a8a6d400176eca83,163.24,166.62,"and I was trying to make it to that you'd only, you'd only hear me, so",-0.01999999999998181,3.3799999999999955,0,False,True,18
14,5eb06b5c438b1810fe2e58a2,166.54,167.16,"No,",-0.0800000000000125,0.6200000000000045,0,False,True,1
15,5cb62855a8a6d400176eca83,166.63,168.96,if you hear the dogs.,-0.5300000000000011,2.3300000000000125,0,False,True,5
16,5eb06b5c438b1810fe2e58a2,167.94,169.64,"it's all right, thanks",-1.0200000000000102,1.6999999999999886,0,False,True,5
17,5cb62855a8a6d400176eca83,169.44,171.26,Okay.,-0.19999999999998863,1.8199999999999932,0,False,True,1
18,5eb06b5c438b1810fe2e58a2,169.64,172.09,for letting them. So how's it,-1.6200000000000045,2.450000000000017,0,False,True,7
19,5cb62855a8a6d400176eca83,172.04,173.3,Yeah.,-0.05000000000001137,1.2600000000000193,0,False,True,1
20,5eb06b5c438b1810fe2e58a2,172.09,173.55,done?,-1.210000000000008,1.460000000000008,1,True,True,1
21,5cb62855a8a6d400176eca83,174.14,178.65,Um I don't know. I feel like pouring some tea or something,0.589999999999975,4.510000000000019,0,False,False,13
22,5eb06b5c438b1810fe2e58a2,178.44,179.36,Yeah.,-0.21000000000000796,0.9200000000000159,0,False,True,1
