turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f15da27044c9b700c9b7432,13.24,1970.15,"trust your teeth. Gotta yourself to take a short drive through the desert. You wouldn't want to let me win with DR capabilities are doing right now. Mhm, introducing the obvious symptoms. This is your world. Are you ready to explore the technology that makes it tick? Get ready to code it, craft it, change it, protect it and create your future destinations. Career academy, entire schools ready to launch beautiful careers. Let them look the skills baby with the technology used to make the difference. Well, destination career. Happy today, anytime. Anyplace education for anyone. When I wake up in the morning, I'm black. I'm black. I'm still black. You will always know the police officer because I'm not always at work. But you always know that I'm now. It's time to make sure that there's change because the world is watching this is fracture. Just ugly image. Place your order and it will show that you were beautifully printed directly in the blast. Yes, there's another, not just another campus house around the corner is a fraction. I'm gonna see if I can contact but honestly I need more options conditions because that's why I need to be mobile the first and only pill of its kind that treats moderate to severe rheumatoid arthritis. Sorry adam in this business is more like a numbers politis another medicines have not helped him out. Zell jones can lower your ability to fight infections before enduring treatment. Your doctor should check for infections like Tv into blood tests. Tell your doctor even had hepatitis B or C. Head like sometimes pension infections serious, sometimes fatal infections, cancers taking the higher than recommended dose to sell jets for already. You may have a barrage also. Hey Siri takes the rock. Yeah. Mhm. You have to see me first. Yeah, here or what's app here or what's app. I really have to look at the message again. Comma. I think he got immediate release period. But Twin said the unicorn unit is hit real bad with Covid. Comma. So he says he wouldn't be surprised if fat dog has covid period. He said like half the unit has it. But he's okay. He tested negative. Yeah, it's not okay. Messenger or WhatsApp? Wait shorts you uh mickey mouse. Hello kitty. Yeah, I see your little fat face. A little Flintstone feet. You uh tomorrow tomorrow, tomorrow tomorrow. You gonna keep me off? I'm not gonna say anything today. You know what I'm talking about them, you know? Uh huh. Yeah. You ready to go to sleep? Huh? How long you gonna be on facebook before you go to sleep? Uh How long you gonna be on facebook? You covering up the microphone? You uh those new braces? Those are new braces. Huh? Actually sure after. Uh Oh yeah. I've never until you have never seen people that have I've never seen braces like that until I met you. Did you can take them out and put them in. Yeah, I've never seen do they feel tight on your teeth when you put them in? Yeah. Oh yeah. I didn't know they made them like that. That's crazy how much they cost. Uh This one is a removable. I know. I want uh I want uh a stable is it's very expensive. Around 50,000 50,000 pesos. About $1000 here snap straight. So what about your bottom seat? What about the bottom down is? Yeah, this one is when the when the coffee this gun. Then I need to go to the dentist and cover it. Mhm. How much those cost you say? Um 400 places. Each top and bottom. 400. Top 404 100 bottom. Okay. All right. No that's good. I don't make sure I think such a thing. Yeah. So um you okay? Ready? Ready ready to uh ready to uh sleep. But I didn't mean oh I have a survey I have to do at 10 o'clock. See oh hey age? Uh huh. Did you say you didn't see this ancient kid? 10 o'clock. 20 more minutes. You have to talk to somebody? I told you I missed one this morning. They had one for like 35 $40. I woke up in the middle and I woke up to pray. I just checked it and I did one. I did what? I did one like four in the morning, like after I prayed for 30 then, but like three of them today, like last night and today they pop up and you click them, they're like it's full. It's full. I'm sorry, it's full. I'm like uh yeah, it happened twice this morning. So yeah, and I'm just sitting in my bed washing, washing clothes, washing my sheets and some other stuff. I have to pay well what you say? I'm getting what getting kept. Who getting swear it is. Oh my God, Here we go. No, I am not your at least at least not not like that, at least already had making with my period not look like a born and looks like a words bomb. You like fat. That's what it is. That's why you always talk about that. You want me to be fat. It's not gonna happen. I'm gonna keep a six pack. Yes. Sometimes we have a shared bread but are places like I have to admit that mine. What's that? I'm not gonna get fat so I'm not gonna happen. I will be dieting and exercising even harder or let that happen. Yeah you're lucky. You need to run more. That's what I need to do. Run more. Yeah yep yep yep. So you had a good day. He picked up all your stock. Yeah a lot of stuff. Huh? Got all this stuff sitting in your house. So you have all that stuff sitting in your house. Yeah some is I sent it to my parents house and is here because I cannot ask them to put in the store because the store is 11 entrance only. It takes long long walk to go there. So I just spoke to I just in the house at my friend's house. Okay well good boy. Hey A J called me last night I think I was talking to you. I was texting you. He just called you like what you doing bro? Just checking on you. I was like I want to go to the beach. I want to go to the beach. He said he's gonna come this week or this week. I want to go to the back and go to the beach. Mhm mm. So how's the coffee there? No more shit. I wish still bad people don't want to wear mask. They don't believe it. They're like you they don't believe it. You don't believe it either. Yeah. Yeah. What? You don't believe it Because yeah I didn't believe that because it's a theory. It's hard. How do you know? But how do you how do you know that though? You don't know that for a fact right? You don't know that for a fact. Yeah. You assume because because the their relatives or the family of that person is uh they said that not all of it, but they want to take you there Because if this time people dry, they ask you to very fast, not that longer. That's bringing the house to get body from the hospital. So the family is angry. Why must you? Re very fast two degrees slash permit at, But they said uh, they said people die from other things like other elements if they have covid it's, I don't know. I don't think it's, I don't think it's anything to play with. You don't want to catch it. You say that but you don't want to catch it. If they said you can wear a mask, you cannot wear a mask. We don't care. Would you wear a mask? Yeah. Well then you believe then you're just frustrated. Yeah, of course I must keep myself but so much because I heard the rumors. It's how much the computer in the Philippines, it took a few talent money to china general give money. How much the total of computer in the Philippines. Yeah. Okay. Yeah. I don't I don't think it's beneficial for people here losing a lot of money. Yeah, losing a lot of money. I don't think it's like a plus or benefit. It's not something people want it, hospitals are stretched and stuff like that. Uh Yeah, so I don't think it's like something that people really really like. Yeah, nobody wants, nobody likes what happened. Sound already that this is just uh obvious everything that's crazy. You better go sleep, put some hydrocortisone on it, you need to put something on it, just put it on there. You know what kind of green? It's not it's not working june hydro hydrocortisone. Just put it on there and leave it where you can see it. Just let it sit. You can sleep with it on there. Yeah you don't have to rub it in. Yeah. Uh Yeah I mean I don't see anything on there. What kind of cream is that you're selling? What is it for me? Uh What you like and vitamin Whiting? Oh my God you're still using that stuff. For what? Why are you using that? You need to stop using it. God are you serious? That's that's crazy. Cheryl. Yeah you need to stop stop using it. Why are you using it? You want to be white? So you already used that? You don't have to keep using it. Yeah let's be stop using this stuff. It's not good. Uh Yeah. You crazy? Yeah. Hello? Hello. Hello. Hello. Uh Today's leg day leg exercises. Uh Today's leg exercises. Yeah. You know I have the survey to do in 10 minutes. It's supposed to be I have to wait for, the person is supposed to be a video call. Somebody else is supposed to be on beyond here. I'm just opened it early and I'm waiting so we'll see. I have to wait till like 10 05 to see if they come and then uh they don't come. I had to close it out. Uh huh. Oh, okay. That's good sweetheart. Go ahead. It takes me when you wake up art. Bye bye. Yeah. You have to go through that. Mhm. Yeah. Mm hmm. Yeah. Yeah. Yeah. Yes. Mhm. Yeah. Yeah. Mhm. Yeah. Okay. Mhm. Oh right. Okay. Do you think that would be? Mhm. Thank you. Yeah. Yeah. Let me see if I can find it. Yeah. Okay. Yeah. The building. Yeah. Yeah. Questions. Mhm. Yeah. People Yeah. Including. Yeah. Yeah. Okay. You have to go with you. Yeah. Mm. Yeah. Yeah. You know what you're asking? Okay. Okay. Yeah. What? Yeah.",,1956.91,47,False,False,1940
1,5eb2f1a1ce5ba10ab2c0a042,2019.04,2019.27,Okay.,48.88999999999987,0.2300000000000182,0,False,False,1
2,5f15da27044c9b700c9b7432,2020.24,2021.05,Okay. Mhm.,0.9700000000000273,0.8099999999999454,0,False,False,2
3,5eb2f1a1ce5ba10ab2c0a042,2021.24,2021.86,Hello.,0.19000000000005457,0.6199999999998909,0,False,False,1
4,5f15da27044c9b700c9b7432,2022.14,2023.67,"Hello, How you doing?",0.2800000000002001,1.5299999999999727,1,True,False,4
5,5eb2f1a1ce5ba10ab2c0a042,2023.34,2026.17,All right so,-0.3300000000001546,2.8300000000001546,0,False,True,3
6,5f15da27044c9b700c9b7432,2025.8,2027.27,And,-0.37000000000011823,1.4700000000000273,0,False,True,1
7,5eb2f1a1ce5ba10ab2c0a042,2026.94,2027.66,I'm richard,-0.32999999999992724,0.7200000000000273,0,False,True,3
8,5f15da27044c9b700c9b7432,2028.44,2029.85,I'm Ed rick.,0.7799999999999727,1.4099999999998545,0,False,False,4
9,5eb2f1a1ce5ba10ab2c0a042,2030.14,2030.77,Ed rick.,0.290000000000191,0.6299999999998818,0,False,False,2
10,5f15da27044c9b700c9b7432,2030.94,2031.93,Yes. Ed,0.17000000000007276,0.9900000000000091,0,False,False,2
11,5eb2f1a1ce5ba10ab2c0a042,2031.74,2032.06,Oh,-0.19000000000005457,0.31999999999993634,0,False,True,1
12,5f15da27044c9b700c9b7432,2031.93,2032.86,rick.,-0.12999999999988177,0.9299999999998363,0,False,True,1
13,5eb2f1a1ce5ba10ab2c0a042,2032.84,2033.67,uncle,-0.01999999999998181,0.8300000000001546,0,False,True,1
14,5f15da27044c9b700c9b7432,2033.84,2035.27,Yeah.,0.16999999999984539,1.4300000000000637,0,False,False,1
15,5eb2f1a1ce5ba10ab2c0a042,2034.84,2037.36,different name. So I'm in Orlando.,-0.43000000000006366,2.519999999999982,0,False,True,7
16,5f15da27044c9b700c9b7432,2037.34,2040.55,"Oh yeah, I'm in California.",-0.01999999999998181,3.2100000000000364,0,False,True,6
17,5eb2f1a1ce5ba10ab2c0a042,2040.24,2044.05,Oh. Oh this is early for you. Well in today's world this seems early.,-0.30999999999994543,3.8099999999999454,0,False,True,15
18,5f15da27044c9b700c9b7432,2044.74,2050.31,"Well, no, it's 10 o'clock. I usually wake up about six or seven regardless. I",0.6900000000000546,5.569999999999936,0,False,False,16
19,5eb2f1a1ce5ba10ab2c0a042,2050.04,2050.44,Oh,-0.2699999999999818,0.40000000000009095,0,False,True,1
20,5f15da27044c9b700c9b7432,2050.32,2050.86,don't,-0.11999999999989086,0.5399999999999636,0,False,True,2
21,5eb2f1a1ce5ba10ab2c0a042,2050.44,2051.26,that's crazy.,-0.42000000000007276,0.8200000000001637,0,False,True,3
22,5f15da27044c9b700c9b7432,2050.87,2053.91,"I don't sleep, I can't sleep late, I",-0.3900000000003274,3.0399999999999636,0,False,True,10
23,5eb2f1a1ce5ba10ab2c0a042,2053.64,2054.26,Okay.,-0.2699999999999818,0.6200000000003456,0,False,True,1
24,5f15da27044c9b700c9b7432,2053.92,2055.65,"can't sleep like that. Yeah,",-0.3400000000001455,1.7300000000000182,0,False,True,6
25,5eb2f1a1ce5ba10ab2c0a042,2055.34,2058.85,Are you currently working right now? Is that part of the reason or?,-0.30999999999994543,3.5099999999997635,2,True,True,13
26,5f15da27044c9b700c9b7432,2059.14,2062.26,"no, I do what I do real estate,",0.2899999999999636,3.1200000000003456,0,False,False,8
27,5eb2f1a1ce5ba10ab2c0a042,2061.84,2062.47,Okay.,-0.42000000000007276,0.6299999999996544,0,False,True,1
28,5f15da27044c9b700c9b7432,2062.84,2068.46,"you do real estate. So you know, it's kind of like that kind of keeps you busy, innocent.",0.3700000000003456,5.619999999999891,0,False,False,19
29,5eb2f1a1ce5ba10ab2c0a042,2067.74,2068.16,Mhm.,-0.7200000000002547,0.42000000000007276,0,False,True,1
